Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,894148,0,15.5173,15.5173,20,15.5173,0.0342885,0,2.31549e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,758146,0,15.5172,15.5172,20,15.5172,0.0279519,0,1.88762e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,407362,0,15.517,15.517,20,15.517,0.0136858,0,924252,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,920355,0,15.5176,15.5176,20,15.5176,0.0354551,0,2.39411e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.05724e+06,0,15.5173,15.5173,20,15.5173,0.0418101,0,2.82341e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.19999e+06,0,15.517,15.517,20,15.517,0.0484828,0,3.27423e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.00725e+06,0,15.517,15.517,20,15.517,0.0394682,0,2.66546e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.27362e+06,0,15.517,15.517,20,15.517,0.0519207,0,3.50643e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.27305e+06,0,15.517,15.517,20,15.517,0.0518965,0,3.50479e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,334490,0,15.517,15.517,20,15.517,0.0103282,0,697508,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,984608,0,15.5173,15.5173,20,15.5173,0.0384693,0,2.5978e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,691984,0,15.5171,15.5171,20,15.5171,0.0268669,0,1.8144e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,425992,0,15.517,15.517,20,15.517,0.0145367,0,981726,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,15.517,15.517,15.517,15.517,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,15.517,15.517,15.517,15.517,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,15.517,15.517,15.517,15.517,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,15.517,15.517,15.517,15.517,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,15.517,15.517,15.517,15.517,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,101958,0,15.517,15.517,20,15.517,0.00225312,0,152161,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,158933,0,15.517,15.517,20,15.517,0.00400984,0,270799,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,248131,0,15.517,15.517,20,15.517,0.00810383,0,547284,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,677456,0,15.5174,15.5174,20,15.5174,0.0262127,0,1.7701e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,524750,0,15.5171,15.5171,20,15.5171,0.019118,0,1.29108e+06,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,578322,0,15.517,15.517,20,15.517,0.0215987,0,1.45865e+06,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,399980,0,15.517,15.517,20,15.517,0.0133489,0,901510,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,584575,0,15.517,15.517,20,15.517,0.0218805,0,1.47769e+06,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,580803,0,15.517,15.517,20,15.517,0.0217035,0,1.46574e+06,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,15.517,15.517,15.517,15.517,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,426451,0,15.5192,15.5192,20,15.5192,0.0145446,0,981777,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,756146,0,15.5196,15.5196,20,15.5196,0.0278113,0,1.87712e+06,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,1.94003e+07,0,15.8999,15.8999,20,15.8999,0.650495,0,4.03374e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.90007e+07,0,15.9629,15.9629,20,15.9629,0.855411,0,5.20185e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,1.41965e+07,0,15.9629,15.9629,20,15.9629,0.680048,0,4.13546e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,1.15632e+07,0,15.9629,15.9629,20,15.9629,0.539375,0,3.28002e+07,0
01/02/2009 11:00,1,2,5,11,0,-5,81,9.66347e+06,0,15.9629,15.9629,20,15.9629,0.441686,0,2.68598e+07,0
01/02/2009 12:00,1,2,5,12,0,-3.9,81,8.71491e+06,0,15.9629,15.9629,20,15.9629,0.393821,0,2.39491e+07,0
01/02/2009 13:00,1,2,5,13,0,-2.2,78,8.93905e+06,0,15.9628,15.9628,20,15.9628,0.404863,0,2.46208e+07,0
01/02/2009 14:00,1,2,5,14,0,-1.7,72,7.02012e+06,0,15.9628,15.9628,20,15.9628,0.310444,0,1.8879e+07,0
01/02/2009 15:00,1,2,5,15,0,-1.7,78,6.12035e+06,0,15.9628,15.9628,20,15.9628,0.267273,0,1.62537e+07,0
01/02/2009 16:00,1,2,5,16,0,-1.7,82,5.7111e+06,0,15.9627,15.9627,20,15.9627,0.248032,0,1.50839e+07,0
01/02/2009 17:00,1,2,5,17,0,-1.7,82,5.33443e+06,0,15.9627,15.9627,20,15.9627,0.230453,0,1.4015e+07,0
01/02/2009 18:00,1,2,5,18,0,0,75,7.40839e+06,0,15.9626,15.9626,20,15.9626,0.329366,0,2.00306e+07,0
01/02/2009 19:00,1,2,5,19,0,1.1,73,8.45971e+06,0,15.9626,15.9626,20,15.9626,0.380986,0,2.31701e+07,0
01/02/2009 20:00,1,2,5,20,0,1.7,73,0,0,15.9626,15.9626,15.9626,15.9626,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,2.2,73,0,0,15.9626,15.9626,15.9626,15.9626,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,3.9,65,0,0,15.9626,15.9626,15.9626,15.9626,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,3.3,70,0,0,15.9626,15.9626,15.9626,15.9626,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-1.7,96,0,0,15.9626,15.9626,15.9626,15.9626,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-0.6,96,0,0,15.9626,15.9626,15.9626,15.9626,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,0.6,89,0,0,15.9626,15.9626,15.9626,15.9626,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-1.1,96,0,0,15.9626,15.9626,15.9626,15.9626,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-6.7,92,0,0,15.9626,15.9626,15.9626,15.9626,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,-6.1,92,0,0,15.9626,15.9626,15.9626,15.9626,0,0,0,0
01/03/2009 06:00,1,3,6,6,0,-6.1,96,0,0,15.9626,15.9626,15.9626,15.9626,0,0,0,0
01/03/2009 07:00,1,3,6,7,0,-4.4,96,1.44565e+07,0,15.9107,15.9107,20,15.9107,0.478573,0,2.95664e+07,0
01/03/2009 08:00,1,3,6,8,0,-6.7,92,1.10462e+07,0,15.9628,15.9628,20,15.9628,0.512848,0,3.11882e+07,0
01/03/2009 09:00,1,3,6,9,0,-3.9,96,7.84808e+06,0,15.9628,15.9628,20,15.9628,0.351683,0,2.13871e+07,0
01/03/2009 10:00,1,3,6,10,0,-3.3,92,5.29136e+06,0,15.9628,15.9628,20,15.9628,0.228893,0,1.39199e+07,0
