Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,902283,0,13.652,13.652,18,13.652,0.0351489,0,2.30337e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,764511,0,13.6519,13.6519,18,13.6519,0.028653,0,1.87773e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,410140,0,13.6518,13.6518,18,13.6518,0.0140292,0,919416,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,928862,0,13.6523,13.6523,18,13.6523,0.0363447,0,2.38158e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.06753e+06,0,13.652,13.652,18,13.652,0.0428589,0,2.80862e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.21214e+06,0,13.6517,13.6517,18,13.6517,0.0496993,0,3.25712e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.01691e+06,0,13.6517,13.6517,18,13.6517,0.0404584,0,2.65151e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.28672e+06,0,13.6517,13.6517,18,13.6517,0.0532234,0,3.48809e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.28615e+06,0,13.6517,13.6517,18,13.6517,0.0531985,0,3.48646e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,336300,0,13.6517,13.6517,18,13.6517,0.0105873,0,693858,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,993935,0,13.6521,13.6521,18,13.6521,0.0394343,0,2.58419e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,698509,0,13.6518,13.6518,18,13.6518,0.0275409,0,1.80491e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,429023,0,13.6517,13.6517,18,13.6517,0.0149014,0,976590,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,13.6517,13.6517,13.6517,13.6517,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,13.6517,13.6517,13.6517,13.6517,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,13.6517,13.6517,13.6517,13.6517,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,13.6517,13.6517,13.6517,13.6517,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,13.6517,13.6517,13.6517,13.6517,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,102033,0,13.6518,13.6518,18,13.6518,0.00230963,0,151364,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,159319,0,13.6518,13.6518,18,13.6518,0.00411045,0,269382,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,249711,0,13.6517,13.6517,18,13.6517,0.00830717,0,544422,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,683776,0,13.6521,13.6521,18,13.6521,0.0268702,0,1.76083e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,529075,0,13.6518,13.6518,18,13.6518,0.0195976,0,1.28432e+06,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,583355,0,13.6517,13.6517,18,13.6517,0.0221407,0,1.45102e+06,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,402659,0,13.6517,13.6517,18,13.6517,0.0136838,0,896793,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,589693,0,13.6517,13.6517,18,13.6517,0.0224295,0,1.46996e+06,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,585873,0,13.6517,13.6517,18,13.6517,0.022248,0,1.45807e+06,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,13.6517,13.6517,13.6517,13.6517,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,429492,0,13.6539,13.6539,18,13.6539,0.0149098,0,976639,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,762498,0,13.6543,13.6543,18,13.6543,0.0285085,0,1.86723e+06,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,1.97826e+07,0,14.0348,14.0348,18,14.0348,0.664741,0,3.98753e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.95729e+07,0,14.0975,14.0975,18,14.0975,0.872939,0,5.1338e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,1.43763e+07,0,14.0975,14.0975,18,14.0975,0.698249,0,4.10644e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,1.1714e+07,0,14.0975,14.0975,18,14.0975,0.553816,0,3.25705e+07,0
01/02/2009 11:00,1,2,5,11,0,-5,81,9.79189e+06,0,14.0974,14.0974,18,14.0974,0.453514,0,2.66718e+07,0
01/02/2009 12:00,1,2,5,12,0,-3.9,81,8.83191e+06,0,14.0974,14.0974,18,14.0974,0.40437,0,2.37816e+07,0
01/02/2009 13:00,1,2,5,13,0,-2.2,78,9.05889e+06,0,14.0974,14.0974,18,14.0974,0.415709,0,2.44487e+07,0
01/02/2009 14:00,1,2,5,14,0,-1.7,72,7.11578e+06,0,14.0974,14.0974,18,14.0974,0.318762,0,1.87471e+07,0
01/02/2009 15:00,1,2,5,15,0,-1.7,78,6.20424e+06,0,14.0974,14.0974,18,14.0974,0.274437,0,1.61403e+07,0
01/02/2009 16:00,1,2,5,16,0,-1.7,82,5.78947e+06,0,14.0973,14.0973,18,14.0973,0.254682,0,1.49788e+07,0
01/02/2009 17:00,1,2,5,17,0,-1.7,82,5.40763e+06,0,14.0972,14.0972,18,14.0972,0.236633,0,1.39175e+07,0
01/02/2009 18:00,1,2,5,18,0,0,75,7.50924e+06,0,14.0972,14.0972,18,14.0972,0.338202,0,1.98914e+07,0
01/02/2009 19:00,1,2,5,19,0,1.1,73,8.57396e+06,0,14.0972,14.0972,18,14.0972,0.39121,0,2.30092e+07,0
01/02/2009 20:00,1,2,5,20,0,1.7,73,0,0,14.0972,14.0972,14.0972,14.0972,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,2.2,73,0,0,14.0972,14.0972,14.0972,14.0972,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,3.9,65,0,0,14.0972,14.0972,14.0972,14.0972,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,3.3,70,0,0,14.0972,14.0972,14.0972,14.0972,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-1.7,96,0,0,14.0972,14.0972,14.0972,14.0972,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-0.6,96,0,0,14.0972,14.0972,14.0972,14.0972,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,0.6,89,0,0,14.0972,14.0972,14.0972,14.0972,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-1.1,96,0,0,14.0972,14.0972,14.0972,14.0972,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-6.7,92,0,0,14.0972,14.0972,14.0972,14.0972,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,-6.1,92,0,0,14.0972,14.0972,14.0972,14.0972,0,0,0,0
01/03/2009 06:00,1,3,6,6,0,-6.1,96,0,0,14.0972,14.0972,14.0972,14.0972,0,0,0,0
01/03/2009 07:00,1,3,6,7,0,-4.4,96,1.47558e+07,0,14.0457,14.0457,18,14.0457,0.488912,0,2.92182e+07,0
01/03/2009 08:00,1,3,6,8,0,-6.7,92,1.11911e+07,0,14.0973,14.0973,18,14.0973,0.526594,0,3.09706e+07,0
01/03/2009 09:00,1,3,6,9,0,-3.9,96,7.95385e+06,0,14.0973,14.0973,18,14.0973,0.361101,0,2.12374e+07,0
01/03/2009 10:00,1,3,6,10,0,-3.3,92,5.36367e+06,0,14.0973,14.0973,18,14.0973,0.235026,0,1.38227e+07,0
01/03/2009 11:00,1,3,6,11,0,-0.6,82,4.31984e+06,0,14.0973,14.0973,18,14.0973,0.185666,0,1.09197e+07,0
01/03/2009 12:00,1,3,6,12,0,2.2,73,2.89614e+06,0,14.0972,14.0972,18,14.0972,0.120673,0,7.09728e+06,0
01/03/2009 13:00,1,3,6,13,0,3.9,57,3.9291e+06,0,14.0972,14.0972,18,14.0972,0.167211,0,9.83449e+06,0
01/03/2009 14:00,1,3,6,14,0,3.3,67,2.36075e+06,0,14.0972,14.0972,18,14.0972,0.0977164,0,5.74715e+06,0
01/03/2009 15:00,1,3,6,15,0,3.9,65,2.26983e+06,0,14.0972,14.0972,18,14.0972,0.0933233,0,5.48881e+06,0
01/03/2009 16:00,1,3,6,16,0,4.4,51,1.77055e+06,0,14.0972,14.0972,18,14.0972,0.0709512,0,4.17302e+06,0
01/03/2009 17:00,1,3,6,17,0,3.3,55,1.18018e+06,0,14.0971,14.0971,18,14.0971,0.0469194,0,2.75962e+06,0
01/03/2009 18:00,1,3,6,18,0,-1.1,78,3.93352e+06,0,14.0981,14.0981,18,14.0981,0.167357,0,9.84085e+06,0
01/03/2009 19:00,1,3,6,19,0,-3.9,85,5.72152e+06,0,14.097,14.097,18,14.097,0.251555,0,1.47959e+07,0
01/03/2009 20:00,1,3,6,20,0,-6.1,88,0,0,14.097,14.097,14.097,14.097,0,0,0,0
01/03/2009 21:00,1,3,6,21,0,-7.2,96,0,0,14.097,14.097,14.097,14.097,0,0,0,0
01/03/2009 22:00,1,3,6,22,0,-6.7,92,0,0,14.097,14.097,14.097,14.097,0,0,0,0
01/03/2009 23:00,1,3,6,23,0,-7.2,88,0,0,14.097,14.097,14.097,14.097,0,0,0,0
01/04/2009 00:00,1,4,0,0,0,-10,92,0,0,14.097,14.097,14.097,14.097,0,0,0,0
01/04/2009 01:00,1,4,0,1,0,-7.8,88,0,0,14.097,14.097,14.097,14.097,0,0,0,0
01/04/2009 02:00,1,4,0,2,0,-7.8,88,0,0,14.097,14.097,14.097,14.097,0,0,0,0
01/04/2009 03:00,1,4,0,3,0,-7.2,92,0,0,14.097,14.097,14.097,14.097,0,0,0,0
01/04/2009 04:00,1,4,0,4,0,-6.7,84,0,0,14.097,14.097,14.097,14.097,0,0,0,0
01/04/2009 05:00,1,4,0,5,0,-6.1,78,0,0,14.097,14.097,14.097,14.097,0,0,0,0
01/04/2009 06:00,1,4,0,6,0,-6.1,78,0,0,14.097,14.097,14.097,14.097,0,0,0,0
01/04/2009 07:00,1,4,0,7,0,-7.2,77,1.56796e+07,0,14.0501,14.0501,18,14.0501,0.546141,0,3.26016e+07,0
01/04/2009 08:00,1,4,0,8,0,-6.7,78,1.08427e+07,0,14.0973,14.0973,18,14.0973,0.509043,0,2.99387e+07,0
01/04/2009 09:00,1,4,0,9,0,-6.7,74,7.82712e+06,0,14.0973,14.0973,18,14.0973,0.355781,0,2.09246e+07,0
01/04/2009 10:00,1,4,0,10,0,-6.7,74,5.85888e+06,0,14.0973,14.0973,18,14.0973,0.259357,0,1.52537e+07,0
01/04/2009 11:00,1,4,0,11,0,-6.1,74,5.4013e+06,0,14.0973,14.0973,18,14.0973,0.237478,0,1.39669e+07,0
01/04/2009 12:00,1,4,0,12,0,-6.7,74,4.22625e+06,0,14.0973,14.0973,18,14.0973,0.181839,0,1.06945e+07,0
01/04/2009 13:00,1,4,0,13,0,-6.7,78,4.54968e+06,0,14.0972,14.0972,18,14.0972,0.196833,0,1.15767e+07,0
01/04/2009 14:00,1,4,0,14,0,-5.6,74,2.94099e+06,0,14.0972,14.0972,18,14.0972,0.124611,0,7.3289e+06,0
01/04/2009 15:00,1,4,0,15,0,-4.4,72,2.76659e+06,0,14.0972,14.0972,18,14.0972,0.116163,0,6.83215e+06,0
01/04/2009 16:00,1,4,0,16,0,-4.4,69,2.44585e+06,0,14.0971,14.0971,18,14.0971,0.10154,0,5.97217e+06,0
01/04/2009 17:00,1,4,0,17,0,-5,75,2.63347e+06,0,14.0971,14.0971,18,14.0971,0.10989,0,6.46332e+06,0
01/04/2009 18:00,1,4,0,18,0,-5.6,81,5.05907e+06,0,14.0976,14.0976,18,14.0976,0.220467,0,1.29654e+07,0
01/04/2009 19:00,1,4,0,19,0,-5,78,6.43233e+06,0,14.0969,14.0969,18,14.0969,0.285861,0,1.6814e+07,0
01/04/2009 20:00,1,4,0,20,0,-3.9,78,0,0,14.0969,14.0969,14.0969,14.0969,0,0,0,0
01/04/2009 21:00,1,4,0,21,0,-5,81,0,0,14.0969,14.0969,14.0969,14.0969,0,0,0,0
01/04/2009 22:00,1,4,0,22,0,-3.3,75,0,0,14.0969,14.0969,14.0969,14.0969,0,0,0,0
01/04/2009 23:00,1,4,0,23,0,-3.9,81,0,0,14.0969,14.0969,14.0969,14.0969,0,0,0,0
01/05/2009 00:00,1,5,1,0,0,-3.3,78,0,0,14.0969,14.0969,14.0969,14.0969,0,0,0,0
01/05/2009 01:00,1,5,1,1,0,-3.9,92,0,0,14.0969,14.0969,14.0969,14.0969,0,0,0,0
01/05/2009 02:00,1,5,1,2,0,-3.9,92,0,0,14.0969,14.0969,14.0969,14.0969,0,0,0,0
01/05/2009 03:00,1,5,1,3,0,-3.9,96,0,0,14.0969,14.0969,14.0969,14.0969,0,0,0,0
01/05/2009 04:00,1,5,1,4,0,-3.9,96,0,0,14.0969,14.0969,14.0969,14.0969,0,0,0,0
01/05/2009 05:00,1,5,1,5,0,-3.3,92,0,0,14.0969,14.0969,14.0969,14.0969,0,0,0,0
01/05/2009 06:00,1,5,1,6,0,-3.3,96,0,0,14.0969,14.0969,14.0969,14.0969,0,0,0,0
01/05/2009 07:00,1,5,1,7,0,-1.7,92,1.13465e+07,0,14.043,14.043,18,14.043,0.398585,0,2.38327e+07,0
01/05/2009 08:00,1,5,1,8,0,-1.1,92,9.86097e+06,0,14.0972,14.0972,18,14.0972,0.457671,0,2.69181e+07,0
01/05/2009 09:00,1,5,1,9,0,-2.2,96,6.86048e+06,0,14.0972,14.0972,18,14.0972,0.30776,0,1.81008e+07,0
01/05/2009 10:00,1,5,1,10,0,-2.2,100,5.21638e+06,0,14.0972,14.0972,18,14.0972,0.228453,0,1.34364e+07,0
01/05/2009 11:00,1,5,1,11,0,-1.1,92,4.1823e+06,0,14.0972,14.0972,18,14.0972,0.179531,0,1.05591e+07,0
01/05/2009 12:00,1,5,1,12,0,0.6,82,3.5409e+06,0,14.0972,14.0972,18,14.0972,0.149784,0,8.80953e+06,0
01/05/2009 13:00,1,5,1,13,0,0,89,3.9093e+06,0,14.0971,14.0971,18,14.0971,0.166371,0,9.78528e+06,0
01/05/2009 14:00,1,5,1,14,0,0,85,2.78037e+06,0,14.0971,14.0971,18,14.0971,0.116523,0,6.85342e+06,0
01/05/2009 15:00,1,5,1,15,0,0.6,85,2.11712e+06,0,14.0971,14.0971,18,14.0971,0.0863669,0,5.07983e+06,0
01/05/2009 16:00,1,5,1,16,0,0.6,85,2.06835e+06,0,14.097,14.097,18,14.097,0.0840934,0,4.94617e+06,0
01/05/2009 17:00,1,5,1,17,0,0,89,2.01354e+06,0,14.097,14.097,18,14.097,0.081642,0,4.80205e+06,0
01/05/2009 18:00,1,5,1,18,0,0,92,4.18733e+06,0,14.0971,14.0971,18,14.0971,0.179477,0,1.05563e+07,0
01/05/2009 19:00,1,5,1,19,0,0,92,5.50638e+06,0,14.0968,14.0968,18,14.0968,0.24116,0,1.41851e+07,0
01/05/2009 20:00,1,5,1,20,0,-0.6,96,0,0,14.0968,14.0968,14.0968,14.0968,0,0,0,0
01/05/2009 21:00,1,5,1,21,0,0,92,0,0,14.0968,14.0968,14.0968,14.0968,0,0,0,0
01/05/2009 22:00,1,5,1,22,0,-0.6,96,0,0,14.0968,14.0968,14.0968,14.0968,0,0,0,0
01/05/2009 23:00,1,5,1,23,0,0,92,0,0,14.0968,14.0968,14.0968,14.0968,0,0,0,0
01/06/2009 00:00,1,6,2,0,0,0,96,0,0,14.0968,14.0968,14.0968,14.0968,0,0,0,0
01/06/2009 01:00,1,6,2,1,0,-1.7,96,0,0,14.0968,14.0968,14.0968,14.0968,0,0,0,0
01/06/2009 02:00,1,6,2,2,0,-1.7,96,0,0,14.0968,14.0968,14.0968,14.0968,0,0,0,0
01/06/2009 03:00,1,6,2,3,0,-1.7,100,0,0,14.0968,14.0968,14.0968,14.0968,0,0,0,0
