Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,885360,0,17.6641,17.6641,22.3009,17.6641,0.0333494,0,2.32852e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,751294,0,17.664,17.664,22.3009,17.664,0.0271866,0,1.89825e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,404399,0,17.6638,17.6638,22.3009,17.6638,0.0133111,0,929456,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,911164,0,17.6644,17.6644,22.3009,17.6644,0.034484,0,2.4076e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.04609e+06,0,17.6641,17.6641,22.3009,17.6641,0.0406654,0,2.83932e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.18682e+06,0,17.6638,17.6638,22.3009,17.6638,0.0471549,0,3.29265e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,996801,0,17.6638,17.6638,22.3009,17.6638,0.0383874,0,2.68046e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.25941e+06,0,17.6638,17.6638,22.3009,17.6638,0.0504988,0,3.52616e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.25885e+06,0,17.6638,17.6638,22.3009,17.6638,0.0504752,0,3.52452e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,332585,0,17.6638,17.6638,22.3009,17.6638,0.0100454,0,701435,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,974519,0,17.6641,17.6641,22.3009,17.6641,0.037416,0,2.61244e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,684929,0,17.6639,17.6639,22.3009,17.6639,0.0261311,0,1.82461e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,422755,0,17.6638,17.6638,22.3009,17.6638,0.0141386,0,987251,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,17.6638,17.6638,17.6638,17.6638,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,17.6638,17.6638,17.6638,17.6638,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,17.6638,17.6638,17.6638,17.6638,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,17.6638,17.6638,17.6638,17.6638,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,17.6638,17.6638,17.6638,17.6638,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,101910,0,17.6638,17.6638,22.3009,17.6638,0.00219143,0,153018,0
