Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,905960,0,12.8441,12.8441,17.1338,12.8441,0.035535,0,2.29798e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,767393,0,12.844,12.844,17.1338,12.844,0.0289677,0,1.87333e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,411406,0,12.8439,12.8439,17.1338,12.8439,0.0141833,0,917264,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,932705,0,12.8444,12.8444,17.1338,12.8444,0.036744,0,2.37601e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.07218e+06,0,12.8441,12.8441,17.1338,12.8441,0.0433297,0,2.80204e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.21762e+06,0,12.8438,12.8438,17.1338,12.8438,0.0502453,0,3.24949e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.02126e+06,0,12.8438,12.8438,17.1338,12.8438,0.0409028,0,2.64531e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.29263e+06,0,12.8438,12.8438,17.1338,12.8438,0.0538081,0,3.47992e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.29205e+06,0,12.8438,12.8438,17.1338,12.8438,0.053783,0,3.4783e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,337132,0,12.8438,12.8438,17.1338,12.8438,0.0107036,0,692234,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,998146,0,12.8442,12.8442,17.1338,12.8442,0.0398674,0,2.57813e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,701456,0,12.8439,12.8439,17.1338,12.8439,0.0278435,0,1.80068e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,430402,0,12.8438,12.8438,17.1338,12.8438,0.0150651,0,974304,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,12.8438,12.8438,12.8438,12.8438,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,12.8438,12.8438,12.8438,12.8438,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,12.8438,12.8438,12.8438,12.8438,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,12.8438,12.8438,12.8438,12.8438,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,12.8438,12.8438,12.8438,12.8438,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,102076,0,12.8439,12.8439,17.1338,12.8439,0.002335,0,151009,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,159505,0,12.8439,12.8439,17.1338,12.8439,0.00415561,0,268752,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,250432,0,12.8438,12.8438,17.1338,12.8438,0.00839844,0,543148,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,686631,0,12.8442,12.8442,17.1338,12.8442,0.0271653,0,1.7567e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,531035,0,12.844,12.844,17.1338,12.844,0.0198128,0,1.28131e+06,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,585632,0,12.8438,12.8438,17.1338,12.8438,0.0223839,0,1.44762e+06,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,403880,0,12.8438,12.8438,17.1338,12.8438,0.0138341,0,894694,0
