Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,887234,0,17.1942,17.1942,21.7972,17.1942,0.0335506,0,2.32573e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,752753,0,17.1941,17.1941,21.7972,17.1941,0.0273505,0,1.89598e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,405027,0,17.1939,17.1939,21.7972,17.1939,0.0133913,0,928342,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,913124,0,17.1944,17.1944,21.7972,17.1944,0.034692,0,2.40471e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.04847e+06,0,17.1942,17.1942,21.7972,17.1942,0.0409106,0,2.83591e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.18963e+06,0,17.1939,17.1939,21.7972,17.1939,0.0474393,0,3.28871e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,999030,0,17.1938,17.1938,21.7972,17.1938,0.0386189,0,2.67725e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.26244e+06,0,17.1938,17.1938,21.7972,17.1938,0.0508034,0,3.52194e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.26188e+06,0,17.1938,17.1938,21.7972,17.1938,0.0507796,0,3.52029e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,332986,0,17.1938,17.1938,21.7972,17.1938,0.010106,0,700594,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,976672,0,17.1942,17.1942,21.7972,17.1942,0.0376416,0,2.60931e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,686434,0,17.1939,17.1939,21.7972,17.1939,0.0262887,0,1.82243e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,423441,0,17.1938,17.1938,21.7972,17.1938,0.0142239,0,986069,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,17.1938,17.1938,17.1938,17.1938,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,17.1938,17.1938,17.1938,17.1938,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,17.1938,17.1938,17.1938,17.1938,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,17.1938,17.1938,17.1938,17.1938,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,17.1938,17.1938,17.1938,17.1938,0,0,0,0
