Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,899198,0,14.3465,14.3465,18.7447,14.3465,0.0348235,0,2.30791e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,762095,0,14.3465,14.3465,18.7447,14.3465,0.0283879,0,1.88143e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,409083,0,14.3463,14.3463,18.7447,14.3463,0.0138993,0,921229,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,925636,0,14.3468,14.3468,18.7447,14.3468,0.0360083,0,2.38628e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.06363e+06,0,14.3466,14.3466,18.7447,14.3466,0.0424623,0,2.81416e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.20754e+06,0,14.3462,14.3462,18.7447,14.3462,0.0492393,0,3.26353e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.01324e+06,0,14.3462,14.3462,18.7447,14.3462,0.040084,0,2.65674e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.28176e+06,0,14.3462,14.3462,18.7447,14.3462,0.0527308,0,3.49496e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.28119e+06,0,14.3462,14.3462,18.7447,14.3462,0.0527062,0,3.49333e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,335609,0,14.3462,14.3462,18.7447,14.3462,0.0104893,0,695226,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,990399,0,14.3466,14.3466,18.7447,14.3466,0.0390694,0,2.58929e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,696035,0,14.3463,14.3463,18.7447,14.3463,0.027286,0,1.80847e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,427870,0,14.3462,14.3462,18.7447,14.3462,0.0147635,0,978515,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,14.3462,14.3462,14.3462,14.3462,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,14.3462,14.3462,14.3462,14.3462,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,14.3462,14.3462,14.3462,14.3462,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,14.3462,14.3462,14.3462,14.3462,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,14.3462,14.3462,14.3462,14.3462,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,102001,0,14.3463,14.3463,18.7447,14.3463,0.00228826,0,151662,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,159169,0,14.3463,14.3463,18.7447,14.3463,0.00407241,0,269913,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,249109,0,14.3463,14.3463,18.7447,14.3463,0.00823028,0,545494,0
