Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,879179,0,19.2648,19.2648,24.0165,19.2648,0.032682,0,2.33777e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,746490,0,19.2647,19.2647,24.0165,19.2647,0.0266427,0,1.9058e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,402342,0,19.2646,19.2646,24.0165,19.2646,0.0130447,0,933146,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,904695,0,19.2651,19.2651,24.0165,19.2651,0.0337939,0,2.41716e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.03823e+06,0,19.2648,19.2648,24.0165,19.2648,0.0398517,0,2.8506e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.17752e+06,0,19.2645,19.2645,24.0165,19.2645,0.0462112,0,3.30572e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,989439,0,19.2645,19.2645,24.0165,19.2645,0.0376192,0,2.69111e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.24937e+06,0,19.2645,19.2645,24.0165,19.2645,0.0494882,0,3.54016e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.24881e+06,0,19.2645,19.2645,24.0165,19.2645,0.0494651,0,3.5385e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,331280,0,19.2645,19.2645,24.0165,19.2645,0.00984436,0,704220,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,967412,0,19.2648,19.2648,24.0165,19.2648,0.0366674,0,2.62283e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,679961,0,19.2646,19.2646,24.0165,19.2646,0.0256082,0,1.83186e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,420502,0,19.2645,19.2645,24.0165,19.2645,0.0138557,0,991170,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,19.2645,19.2645,19.2645,19.2645,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,19.2645,19.2645,19.2645,19.2645,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,19.2645,19.2645,19.2645,19.2645,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,19.2645,19.2645,19.2645,19.2645,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,19.2645,19.2645,19.2645,19.2645,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,101900,0,19.2645,19.2645,24.0165,19.2645,0.00214759,0,153627,0
