Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,907521,0,12.5072,12.5072,16.7726,12.5072,0.0356986,0,2.29569e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,768618,0,12.5071,12.5071,16.7726,12.5071,0.029101,0,1.87146e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,411946,0,12.5069,12.5069,16.7726,12.5069,0.0142486,0,916351,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,934337,0,12.5075,12.5075,16.7726,12.5075,0.0369132,0,2.37364e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.07415e+06,0,12.5072,12.5072,16.7726,12.5072,0.043529,0,2.79925e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.21995e+06,0,12.5069,12.5069,16.7726,12.5069,0.0504766,0,3.24627e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.02312e+06,0,12.5069,12.5069,16.7726,12.5069,0.0410911,0,2.64267e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.29513e+06,0,12.5069,12.5069,16.7726,12.5069,0.0540557,0,3.47646e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.29455e+06,0,12.5069,12.5069,16.7726,12.5069,0.0540305,0,3.47484e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,337488,0,12.5069,12.5069,16.7726,12.5069,0.0107529,0,691545,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,999934,0,12.5072,12.5072,16.7726,12.5072,0.0400509,0,2.57557e+06,0
