Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,883738,0,18.0766,18.0766,22.743,18.0766,0.0331748,0,2.33094e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,750032,0,18.0765,18.0765,22.743,18.0765,0.0270443,0,1.90023e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,403857,0,18.0764,18.0764,22.743,18.0764,0.0132414,0,930422,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,909466,0,18.0769,18.0769,22.743,18.0769,0.0343035,0,2.4101e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.04403e+06,0,18.0766,18.0766,22.743,18.0766,0.0404525,0,2.84227e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.18438e+06,0,18.0763,18.0763,22.743,18.0763,0.046908,0,3.29607e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,994870,0,18.0763,18.0763,22.743,18.0763,0.0381864,0,2.68325e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.25678e+06,0,18.0763,18.0763,22.743,18.0763,0.0502344,0,3.52983e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.25622e+06,0,18.0763,18.0763,22.743,18.0763,0.050211,0,3.52818e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,332239,0,18.0763,18.0763,22.743,18.0763,0.00999279,0,702164,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,972655,0,18.0766,18.0766,22.743,18.0766,0.0372202,0,2.61516e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,683625,0,18.0764,18.0764,22.743,18.0764,0.0259943,0,1.82651e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,422161,0,18.0763,18.0763,22.743,18.0763,0.0140646,0,988277,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,18.0763,18.0763,18.0763,18.0763,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,18.0763,18.0763,18.0763,18.0763,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,18.0763,18.0763,18.0763,18.0763,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,18.0763,18.0763,18.0763,18.0763,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,18.0763,18.0763,18.0763,18.0763,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,101906,0,18.0763,18.0763,22.743,18.0763,0.00217996,0,153178,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,158495,0,18.0764,18.0764,22.743,18.0764,0.00387961,0,272605,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,246146,0,18.0763,18.0763,22.743,18.0763,0.00784062,0,550934,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,669362,0,18.0767,18.0767,22.743,18.0767,0.0253615,0,1.78193e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,519243,0,18.0764,18.0764,22.743,18.0764,0.0184972,0,1.2997e+06,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,571897,0,18.0763,18.0763,22.743,18.0763,0.0208972,0,1.46837e+06,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,396605,0,18.0763,18.0763,22.743,18.0763,0.0129154,0,907527,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,578040,0,18.0763,18.0763,22.743,18.0763,0.0211699,0,1.48755e+06,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,574331,0,18.0763,18.0763,22.743,18.0763,0.0209987,0,1.47552e+06,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,18.0763,18.0763,18.0763,18.0763,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,422608,0,18.0784,18.0784,22.743,18.0784,0.0140718,0,988332,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,748049,0,18.0789,18.0789,22.743,18.0789,0.0269087,0,1.88974e+06,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,1.8887e+07,0,18.459,18.459,22.743,18.459,0.632124,0,4.0947e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.82284e+07,0,18.5224,18.5224,22.743,18.5224,0.832807,0,5.29209e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,1.39635e+07,0,18.5224,18.5224,22.743,18.5224,0.656577,0,4.17223e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,1.13681e+07,0,18.5223,18.5223,22.743,18.5223,0.520751,0,3.30914e+07,0
