Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,879250,0,19.2459,19.2459,23.9963,19.2459,0.0326897,0,2.33766e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,746545,0,19.2459,19.2459,23.9963,19.2459,0.026649,0,1.90571e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,402366,0,19.2457,19.2457,23.9963,19.2457,0.0130478,0,933103,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,904769,0,19.2462,19.2462,23.9963,19.2462,0.0338018,0,2.41705e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.03832e+06,0,19.246,19.246,23.9963,19.246,0.0398611,0,2.85047e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.17763e+06,0,19.2456,19.2456,23.9963,19.2456,0.0462221,0,3.30556e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,989524,0,19.2456,19.2456,23.9963,19.2456,0.0376281,0,2.69098e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.24948e+06,0,19.2456,19.2456,23.9963,19.2456,0.0494999,0,3.54e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.24893e+06,0,19.2456,19.2456,23.9963,19.2456,0.0494768,0,3.53834e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,331294,0,19.2456,19.2456,23.9963,19.2456,0.00984668,0,704188,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,967494,0,19.246,19.246,23.9963,19.246,0.036676,0,2.62271e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,680018,0,19.2457,19.2457,23.9963,19.2457,0.0256142,0,1.83177e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,420528,0,19.2456,19.2456,23.9963,19.2456,0.013859,0,991125,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,19.2456,19.2456,19.2456,19.2456,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,19.2456,19.2456,19.2456,19.2456,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,19.2456,19.2456,19.2456,19.2456,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,19.2456,19.2456,19.2456,19.2456,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,19.2456,19.2456,19.2456,19.2456,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,101900,0,19.2457,19.2457,23.9963,19.2457,0.0021481,0,153620,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,158327,0,19.2457,19.2457,23.9963,19.2457,0.00382288,0,273391,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,245305,0,19.2456,19.2456,23.9963,19.2456,0.00772597,0,552521,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,665870,0,19.246,19.246,23.9963,19.246,0.0249907,0,1.78707e+06,0
