Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,3.41282e+07,6.69644e+06,15.6361,15.6361,15.6361,15.6361,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,3.41282e+07,6.69644e+06,15.6361,15.6361,15.6361,15.6361,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,3.41282e+07,6.69644e+06,15.6361,15.6361,15.6361,15.6361,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,3.41282e+07,6.69644e+06,15.6361,15.6361,15.6361,15.6361,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,3.41282e+07,6.69644e+06,15.6361,15.6361,15.6361,15.6361,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,3.41282e+07,6.69644e+06,15.6361,15.6361,15.6361,15.6361,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,4.02089e+07,6.69644e+06,15.6361,15.6361,15.6361,15.6361,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,7.21904e+07,0,1.05875e+08,6.69644e+06,15.5366,15.5366,20.3411,15.5366,2.24628,0,1.62739e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,2.83474e+07,0,5.44295e+07,6.69644e+06,15.6349,15.6349,20.3411,15.6349,0.980057,0,6.94813e+07,0
01/01/2009 10:00,1,1,4,10,0,2,80,3.30438e+07,0,8.35911e+07,6.69644e+06,15.6556,15.6556,20.3411,15.6556,1.17008,0,8.25888e+07,0
01/01/2009 11:00,1,1,4,11,0,2,80,8.63828e+06,0,1.41995e+08,6.69644e+06,15.6938,15.6938,20.3411,15.6938,0.260925,0,1.82667e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,7.98541e+06,0,1.41205e+08,6.69644e+06,15.7386,15.7386,20.3411,15.7386,0.234542,0,1.62614e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.73759e+07,725193,2.24606e+08,6.69644e+06,15.9754,15.9754,20.3411,15.9754,1.04524,0,6.872e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,2.90519e+07,376885,2.25977e+08,6.69644e+06,15.9545,15.9545,20.3411,15.9545,1.09806,0,7.25571e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.06986e+07,2.68582e+06,2.65764e+08,6.69644e+06,16.2061,16.2061,20.3411,16.2061,1.22593,0,7.60458e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.07188e+07,7.07284e+06,2.70868e+08,6.69644e+06,17.4171,17.4171,20.3411,17.4171,1.36937,0,6.02966e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.21646e+07,8.55315e+06,2.74192e+08,6.69644e+06,17.8186,17.8186,20.3411,17.8186,1.48815,0,5.65267e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,3.38378e+07,0,2.12321e+08,6.69644e+06,16.2995,16.2995,20.3411,16.2995,1.2884,0,7.84334e+07,0
01/01/2009 19:00,1,1,4,19,0,-2,71,8.84639e+06,0,1.10439e+08,6.69644e+06,15.8355,15.8355,20.3411,15.8355,0.264643,0,1.79652e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.87022e+06,0,4.53309e+07,6.69644e+06,15.7215,15.7215,20.3411,15.7215,0.140283,0,9.76801e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,4.02089e+07,6.69644e+06,15.6362,15.6362,15.6362,15.6362,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,4.02089e+07,6.69644e+06,15.6362,15.6362,15.6362,15.6362,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,4.02089e+07,6.69644e+06,15.6362,15.6362,15.6362,15.6362,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,0,0,4.02089e+07,6.69644e+06,15.6362,15.6362,15.6362,15.6362,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,3.62895e+07,6.69644e+06,15.6362,15.6362,15.6362,15.6362,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,3.62895e+07,6.69644e+06,15.6362,15.6362,15.6362,15.6362,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,3.62895e+07,6.69644e+06,15.6362,15.6362,15.6362,15.6362,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,754872,0,3.70462e+07,6.69644e+06,15.6359,15.6359,17.9887,15.6359,0.00104774,0,74268,0
01/02/2009 05:00,1,2,5,5,0,-12,91,1.54422e+06,0,3.784e+07,6.69644e+06,15.6334,15.6334,20.3411,15.6334,0.00352292,0,249841,0
01/02/2009 06:00,1,2,5,6,0,-15,83,1.02275e+08,0,1.53253e+08,6.69644e+06,15.3944,15.3944,20.3411,15.3944,3.11624,0,2.32016e+08,0
01/02/2009 07:00,1,2,5,7,0,-14,83,4.8675e+07,0,9.99477e+07,6.69644e+06,15.4492,15.4492,20.3411,15.4492,1.89399,0,1.3958e+08,0
01/02/2009 08:00,1,2,5,8,0,-13,83,4.52047e+07,0,1.37243e+08,6.69644e+06,15.4584,15.4584,20.3411,15.4584,1.73694,0,1.27764e+08,0
01/02/2009 09:00,1,2,5,9,0,-11,84,2.26216e+07,0,1.75682e+08,6.69644e+06,15.5732,15.5732,20.3411,15.5732,0.752514,0,5.40494e+07,0
01/02/2009 10:00,1,2,5,10,0,-7,64,1.00562e+07,0,3.36256e+08,6.69644e+06,15.6811,15.6811,20.3411,15.6811,0.309371,0,2.17176e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,8.36111e+06,0,2.87742e+08,6.69644e+06,15.7491,15.7491,20.3411,15.7491,0.257302,0,1.77986e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,7.25797e+06,1.30123e+07,3.01784e+08,6.69644e+06,19.9098,19.9098,21.4103,18.2887,0.499036,0.183168,1.07413e+07,8.99214e+06
01/02/2009 13:00,1,2,5,13,0,-5,54,3.95463e+07,1.78443e+07,3.42129e+08,6.69644e+06,19.8457,19.8457,20.8133,19.6239,1.81749,0.350538,2.57491e+07,3.51121e+06
01/02/2009 14:00,1,2,5,14,0,-5,54,3.98303e+07,2.09835e+07,3.92833e+08,6.69644e+06,19.5187,19.5187,20.3411,19.5187,2.31394,0,2.86337e+07,0
01/02/2009 15:00,1,2,5,15,0,-6,77,4.09314e+07,2.92878e+07,3.97453e+08,6.69644e+06,20.3706,20.3706,20.5661,20.1804,2.01665,0.677466,5.29503e+06,3.87845e+06
01/02/2009 16:00,1,2,5,16,0,-7,92,4.27556e+07,2.88158e+07,4.18378e+08,6.69644e+06,20.32,20.32,20.3411,20.32,2.75352,0,874328,0
01/02/2009 17:00,1,2,5,17,0,-8,92,4.43941e+07,2.70707e+07,4.11535e+08,6.69644e+06,20.0223,20.0223,20.3411,20.0223,2.75136,0,1.32039e+07,0
01/02/2009 18:00,1,2,5,18,0,-8,92,4.45937e+07,2.35209e+07,4.31107e+08,6.69644e+06,19.6483,19.6483,20.3411,19.6483,2.6199,0,2.7324e+07,0
01/02/2009 19:00,1,2,5,19,0,-9,84,8.30297e+06,1.30997e+07,2.46504e+08,6.69644e+06,21.6792,21.6792,21.6792,20.3411,0,0.713311,0,1.43919e+07
01/02/2009 20:00,1,2,5,20,0,-11,84,8.9323e+06,5.75807e+06,2.2979e+08,6.69644e+06,21.3538,21.3538,21.3538,20.3411,0,0.451153,0,6.86816e+06
01/02/2009 21:00,1,2,5,21,0,-11,91,1.69456e+06,5.2593e+06,2.21454e+08,6.69644e+06,21.8797,21.8797,21.8797,20.3411,0,0.151004,0,3.49868e+06
01/02/2009 22:00,1,2,5,22,0,-11,91,0,0,9.23028e+07,6.69644e+06,22.997,22.997,22.997,22.997,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,-12,83,0,0,4.23702e+07,6.69644e+06,22.997,22.997,22.997,22.997,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-12,83,0,0,4.23702e+07,6.69644e+06,22.997,22.997,22.997,22.997,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-13,83,0,0,3.62895e+07,6.69644e+06,22.997,22.997,22.997,22.997,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,-13.2,79,0,0,3.62895e+07,6.69644e+06,22.997,22.997,22.997,22.997,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-13.6,77,0,0,3.62895e+07,6.69644e+06,22.997,22.997,22.997,22.997,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-14,76,1.52565e+06,0,3.78199e+07,6.69644e+06,22.9694,22.9694,22.9694,20.3411,0,0.00267095,0,105371
01/03/2009 05:00,1,3,6,5,0,-14,76,1.56191e+06,0,3.7859e+07,6.69644e+06,22.8751,22.8751,22.8751,20.3411,0,0.00425972,0,162420
01/03/2009 06:00,1,3,6,6,0,-14,76,8.57771e+07,0,1.3543e+08,6.69644e+06,15.7416,15.7416,20.3411,15.7416,2.8432,0,1.78387e+08,0
