Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,2.53714e+07,6.69644e+06,12.8486,12.8486,12.8486,12.8486,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,2.53714e+07,6.69644e+06,12.8486,12.8486,12.8486,12.8486,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,2.53714e+07,6.69644e+06,12.8486,12.8486,12.8486,12.8486,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,2.53714e+07,6.69644e+06,12.8486,12.8486,12.8486,12.8486,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,1.46401e+06,0,2.68393e+07,6.69644e+06,12.8482,12.8482,15.7771,12.8482,0.00259565,0,114611,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,2.53714e+07,6.69644e+06,12.8478,12.8478,12.8478,12.8478,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,1.4653e+06,0,3.29215e+07,6.69644e+06,12.8474,12.8474,15.7771,12.8474,0.00268597,0,118632,0
01/01/2009 08:00,1,1,4,8,0,-1,100,8.66775e+07,0,1.14597e+08,6.69644e+06,12.7887,12.7887,15.7771,12.7887,4.3927,0,1.98411e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,3.84251e+07,0,5.86435e+07,6.69644e+06,12.8485,12.8485,15.7771,12.8485,2.23727,0,9.87757e+07,0
01/01/2009 10:00,1,1,4,10,0,2,80,4.28046e+07,0,7.85551e+07,6.69644e+06,12.8663,12.8663,15.7771,12.8663,2.51926,0,1.1055e+08,0
01/01/2009 11:00,1,1,4,11,0,2,80,1.24135e+07,0,9.02339e+07,6.69644e+06,12.9083,12.9083,15.7771,12.9083,0.572711,0,2.47683e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,9.64309e+06,0,8.71541e+07,6.69644e+06,12.9521,12.9521,15.7771,12.9521,0.476619,0,2.02975e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,3.02823e+07,0,1.43427e+08,6.69644e+06,13.0203,13.0203,15.7771,13.0203,1.75087,0,7.27636e+07,0
