Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,2.16365e+07,6.69644e+06,19.2018,19.2018,19.2018,19.2018,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,742867,0,2.23804e+07,6.69644e+06,19.2018,19.2018,20.2501,19.2018,0.00080033,0,25261.3,0
01/01/2009 03:00,1,1,4,3,0,-4,77,1.48919e+06,0,2.31284e+07,6.69644e+06,19.2017,19.2017,21.2985,19.2017,0.00213189,0,67292.9,0
01/01/2009 04:00,1,1,4,4,0,-2,78,1.48395e+06,0,2.31225e+07,6.69644e+06,19.2015,19.2015,21.2985,19.2015,0.00161207,0,50887.5,0
01/01/2009 05:00,1,1,4,5,0,-2,85,1.5359e+06,0,2.31809e+07,6.69644e+06,19.2013,19.2013,21.2985,19.2013,0.00658613,0,207926,0
01/01/2009 06:00,1,1,4,6,0,-1,92,1.47963e+06,0,2.31177e+07,6.69644e+06,19.2011,19.2011,21.2985,19.2011,0.00118949,0,37556.5,0
01/01/2009 07:00,1,1,4,7,0,-1,100,1.53296e+06,0,2.92584e+07,6.69644e+06,19.2009,19.2009,21.2985,19.2009,0.00629568,0,198798,0
01/01/2009 08:00,1,1,4,8,0,-1,100,8.40888e+07,0,1.10093e+08,6.69644e+06,19.164,19.164,21.2985,19.164,6.95738,0,2.24266e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,4.01004e+07,0,5.79927e+07,6.69644e+06,19.2067,19.2067,21.2985,19.2067,3.62118,0,1.14029e+08,0
01/01/2009 10:00,1,1,4,10,0,2,80,4.42795e+07,0,7.39242e+07,6.69644e+06,19.222,19.222,21.2985,19.222,4.02998,0,1.25973e+08,0
01/01/2009 11:00,1,1,4,11,0,2,80,1.60494e+07,0,7.09484e+07,6.69644e+06,19.2459,19.2459,21.2985,19.2459,1.24175,0,3.8369e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,1.30904e+07,0,6.73583e+07,6.69644e+06,19.2713,19.2713,21.2985,19.2713,0.953323,0,2.9091e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.9789e+07,0,1.0779e+08,6.69644e+06,19.3509,19.3509,21.2985,19.3509,2.58326,0,7.5736e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,3.15774e+07,0,1.09806e+08,6.69644e+06,19.3705,19.3705,21.2985,19.3705,2.74864,0,7.97729e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.3957e+07,0,1.21391e+08,6.69644e+06,19.3681,19.3681,21.2985,19.3681,2.97082,0,8.6326e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.40088e+07,0,1.21463e+08,6.69644e+06,19.3676,19.3676,21.2985,19.3676,2.97605,0,8.65014e+07,0
