Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,3.29077e+07,6.69644e+06,12.8563,12.8563,12.8563,12.8563,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,3.29077e+07,6.69644e+06,12.8563,12.8563,12.8563,12.8563,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,3.29077e+07,6.69644e+06,12.8563,12.8563,12.8563,12.8563,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,3.29077e+07,6.69644e+06,12.8563,12.8563,12.8563,12.8563,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,3.29077e+07,6.69644e+06,12.8563,12.8563,12.8563,12.8563,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,3.29077e+07,6.69644e+06,12.8563,12.8563,12.8563,12.8563,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,3.89884e+07,6.69644e+06,12.8563,12.8563,12.8563,12.8563,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,7.81748e+07,0,1.10864e+08,6.69644e+06,12.7599,12.7599,17.7594,12.7599,2.17303,0,1.63952e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,2.97358e+07,0,5.49183e+07,6.69644e+06,12.8663,12.8663,17.7594,12.8663,0.978899,0,7.22073e+07,0
01/01/2009 10:00,1,1,4,10,0,2,80,3.47964e+07,0,8.32661e+07,6.69644e+06,12.8879,12.8879,17.7594,12.8879,1.17187,0,8.60606e+07,0
01/01/2009 11:00,1,1,4,11,0,2,80,8.93127e+06,0,1.34505e+08,6.69644e+06,12.9333,12.9333,17.7594,12.9333,0.257151,0,1.87085e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,8.28611e+06,0,1.33723e+08,6.69644e+06,12.9847,12.9847,17.7594,12.9847,0.232558,0,1.67388e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.79057e+07,531908,2.13173e+08,6.69644e+06,13.1928,13.1928,17.7594,13.1928,0.995705,0,6.85292e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,2.96124e+07,103142,2.14492e+08,6.69644e+06,13.1431,13.1431,17.7594,13.1431,1.04621,0,7.28018e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.12942e+07,0,2.4901e+08,6.69644e+06,13.0911,13.0911,17.7594,13.0911,1.11063,0,7.81563e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.13152e+07,4.71186e+06,2.54368e+08,6.69644e+06,14.0327,14.0327,17.7594,14.0327,1.23286,0,6.92394e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.27891e+07,5.64061e+06,2.57069e+08,6.69644e+06,14.4933,14.4933,17.7594,14.4933,1.32655,0,6.52838e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,3.4871e+07,0,2.03614e+08,6.69644e+06,13.4032,13.4032,17.7594,13.4032,1.24213,0,8.15872e+07,0
01/01/2009 19:00,1,1,4,19,0,-2,71,9.58919e+06,0,1.06406e+08,6.69644e+06,13.0729,13.0729,17.7594,13.0729,0.275867,0,1.94916e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.93622e+06,0,4.41766e+07,6.69644e+06,12.9488,12.9488,17.7594,12.9488,0.135056,0,9.80024e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,3.89884e+07,6.69644e+06,12.8564,12.8564,12.8564,12.8564,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,3.89884e+07,6.69644e+06,12.8564,12.8564,12.8564,12.8564,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,3.89884e+07,6.69644e+06,12.8564,12.8564,12.8564,12.8564,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,0,0,3.89884e+07,6.69644e+06,12.8564,12.8564,12.8564,12.8564,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,3.5069e+07,6.69644e+06,12.8564,12.8564,12.8564,12.8564,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,3.5069e+07,6.69644e+06,12.8564,12.8564,12.8564,12.8564,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,3.5069e+07,6.69644e+06,12.8564,12.8564,12.8564,12.8564,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,1.47803e+06,0,3.65497e+07,6.69644e+06,12.8558,12.8558,17.7594,12.8558,0.00143595,0,106155,0
01/02/2009 05:00,1,2,5,5,0,-12,91,1.53624e+06,0,3.66124e+07,6.69644e+06,12.8527,12.8527,17.7594,12.8527,0.00381575,0,282253,0
01/02/2009 06:00,1,2,5,6,0,-15,83,1.09351e+08,0,1.59605e+08,6.69644e+06,12.5991,12.5991,17.7594,12.5991,3.05008,0,2.37073e+08,0
01/02/2009 07:00,1,2,5,7,0,-14,83,5.11365e+07,0,1.01681e+08,6.69644e+06,12.6576,12.6576,17.7594,12.6576,1.89141,0,1.45479e+08,0
01/02/2009 08:00,1,2,5,8,0,-13,83,4.81269e+07,0,1.35869e+08,6.69644e+06,12.667,12.667,17.7594,12.667,1.76078,0,1.35182e+08,0
