Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,3.31398e+07,6.69644e+06,11.327,11.327,11.327,11.327,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,3.31398e+07,6.69644e+06,11.327,11.327,11.327,11.327,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,3.31398e+07,6.69644e+06,11.327,11.327,11.327,11.327,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,3.31398e+07,6.69644e+06,11.327,11.327,11.327,11.327,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,3.31398e+07,6.69644e+06,11.327,11.327,11.327,11.327,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,3.31398e+07,6.69644e+06,11.327,11.327,11.327,11.327,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,3.92205e+07,6.69644e+06,11.327,11.327,11.327,11.327,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,7.927e+07,0,1.12338e+08,6.69644e+06,11.2326,11.2326,16.2007,11.2326,2.16413,0,1.62326e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,2.99396e+07,0,5.53998e+07,6.69644e+06,11.3407,11.3407,16.2007,11.3407,0.976645,0,7.15856e+07,0
01/01/2009 10:00,1,1,4,10,0,2,80,3.50241e+07,0,8.40218e+07,6.69644e+06,11.3623,11.3623,16.2007,11.3623,1.16847,0,8.52634e+07,0
01/01/2009 11:00,1,1,4,11,0,2,80,8.98015e+06,0,1.36049e+08,6.69644e+06,11.4087,11.4087,16.2007,11.4087,0.256609,0,1.8545e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,8.32155e+06,0,1.35251e+08,6.69644e+06,11.461,11.461,16.2007,11.461,0.231778,0,1.65677e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.8231e+07,527638,2.15751e+08,6.69644e+06,11.6753,11.6753,16.2007,11.6753,0.998407,0,6.81245e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,2.99584e+07,123800,2.17119e+08,6.69644e+06,11.6268,11.6268,16.2007,11.6268,1.04961,0,7.23994e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.16605e+07,861837,2.53024e+08,6.69644e+06,11.6163,11.6163,16.2007,11.6163,1.12013,0,7.74369e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.16815e+07,5.16405e+06,2.58072e+08,6.69644e+06,12.7188,12.7188,16.2007,12.7188,1.25919,0,6.60972e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.31736e+07,5.7642e+06,2.60403e+08,6.69644e+06,13.0766,13.0766,16.2007,13.0766,1.34075,0,6.31226e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,3.52012e+07,0,2.05816e+08,6.69644e+06,11.9175,11.9175,16.2007,11.9175,1.24223,0,8.02501e+07,0
01/01/2009 19:00,1,1,4,19,0,-2,71,9.52738e+06,0,1.07258e+08,6.69644e+06,11.5515,11.5515,16.2007,11.5515,0.271014,0,1.90049e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.97273e+06,0,4.44486e+07,6.69644e+06,11.423,11.423,16.2007,11.423,0.135538,0,9.77233e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,3.92205e+07,6.69644e+06,11.327,11.327,11.327,11.327,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,3.92205e+07,6.69644e+06,11.327,11.327,11.327,11.327,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,3.92205e+07,6.69644e+06,11.327,11.327,11.327,11.327,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,0,0,3.92205e+07,6.69644e+06,11.327,11.327,11.327,11.327,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,3.53011e+07,6.69644e+06,11.327,11.327,11.327,11.327,0,0,0,0
