Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,2.46413e+07,6.69644e+06,20.2319,20.2319,20.2319,20.2319,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,2.46413e+07,6.69644e+06,20.2319,20.2319,20.2319,20.2319,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,2.46413e+07,6.69644e+06,20.2319,20.2319,20.2319,20.2319,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,2.46413e+07,6.69644e+06,20.2319,20.2319,20.2319,20.2319,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,1.53725e+06,0,2.61823e+07,6.69644e+06,20.2314,20.2314,24.2308,20.2314,0.00232454,0,139926,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,2.46413e+07,6.69644e+06,20.2309,20.2309,20.2309,20.2309,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,1.53794e+06,0,3.22638e+07,6.69644e+06,20.2304,20.2304,24.2308,20.2304,0.00235565,0,141834,0
01/01/2009 08:00,1,1,4,8,0,-1,100,7.69278e+07,0,1.02242e+08,6.69644e+06,20.155,20.155,24.2308,20.155,3.38415,0,2.08183e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,3.64819e+07,0,5.50073e+07,6.69644e+06,20.2286,20.2286,24.2308,20.2286,1.68792,0,1.01675e+08,0
01/01/2009 10:00,1,1,4,10,0,2,80,4.05937e+07,0,7.37528e+07,6.69644e+06,20.2512,20.2512,24.2308,20.2512,1.89923,0,1.1376e+08,0
01/01/2009 11:00,1,1,4,11,0,2,80,1.26691e+07,0,8.57107e+07,6.69644e+06,20.2964,20.2964,24.2308,20.2964,0.467838,0,2.77034e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,9.29078e+06,0,8.19602e+07,6.69644e+06,20.3492,20.3492,24.2308,20.3492,0.361902,0,2.11427e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.86654e+07,0,1.34286e+08,6.69644e+06,20.4387,20.4387,24.2308,20.4387,1.31897,0,7.52791e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,3.00741e+07,0,1.35793e+08,6.69644e+06,20.4628,20.4628,24.2308,20.4628,1.39117,0,7.88946e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.21478e+07,0,1.53297e+08,6.69644e+06,20.4616,20.4616,24.2308,20.4616,1.48998,0,8.45255e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.20959e+07,0,1.53242e+08,6.69644e+06,20.4612,20.4612,24.2308,20.4612,1.48751,0,8.43941e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.3102e+07,0,1.54283e+08,6.69644e+06,20.4633,20.4633,24.2308,20.4633,1.53984,0,8.73155e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,3.72529e+07,0,1.40702e+08,6.69644e+06,20.4518,20.4518,24.2308,20.4518,1.75141,0,9.96159e+07,0
01/01/2009 19:00,1,1,4,19,0,-2,71,1.61718e+07,0,8.1002e+07,6.69644e+06,20.385,20.385,24.2308,20.385,0.654874,0,3.79505e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.75831e+06,0,3.57494e+07,6.69644e+06,20.2773,20.2773,24.2308,20.2773,0.167274,0,9.95719e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,3.0722e+07,6.69644e+06,20.2322,20.2322,20.2322,20.2322,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,3.0722e+07,6.69644e+06,20.2322,20.2322,20.2322,20.2322,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,3.0722e+07,6.69644e+06,20.2322,20.2322,20.2322,20.2322,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,758425,0,3.14814e+07,6.69644e+06,20.2322,20.2322,22.2315,20.2322,0.000615847,0,37064.7,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,2.68026e+07,6.69644e+06,20.232,20.232,20.232,20.232,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,2.68026e+07,6.69644e+06,20.232,20.232,20.232,20.232,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,1.52415e+06,0,2.83295e+07,6.69644e+06,20.2316,20.2316,24.2308,20.2316,0.00169613,0,102095,0
01/02/2009 04:00,1,2,5,4,0,-11,91,1.70229e+06,0,2.8521e+07,6.69644e+06,20.2294,20.2294,24.2308,20.2294,0.00772634,0,465352,0
01/02/2009 05:00,1,2,5,5,0,-12,91,2.28688e+06,0,2.92143e+07,6.69644e+06,20.2065,20.2065,24.2308,20.2065,0.0360319,0,2.18199e+06,0
01/02/2009 06:00,1,2,5,6,0,-15,83,1.07522e+08,0,1.50873e+08,6.69644e+06,19.9789,19.9789,24.2308,19.9789,4.77216,0,3.05743e+08,0
01/02/2009 07:00,1,2,5,7,0,-14,83,5.87701e+07,0,1.02253e+08,6.69644e+06,20.0253,20.0253,24.2308,20.0253,3.03913,0,1.92372e+08,0
01/02/2009 08:00,1,2,5,8,0,-13,83,5.69219e+07,0,1.12989e+08,6.69644e+06,20.0306,20.0306,24.2308,20.0306,2.92305,0,1.84792e+08,0
01/02/2009 09:00,1,2,5,9,0,-11,84,3.85046e+07,0,1.23633e+08,6.69644e+06,20.117,20.117,24.2308,20.117,1.82324,0,1.12893e+08,0
01/02/2009 10:00,1,2,5,10,0,-7,64,1.4572e+07,0,1.78323e+08,6.69644e+06,20.2435,20.2435,24.2308,20.2435,0.614734,0,3.68922e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,1.26176e+07,0,1.55987e+08,6.69644e+06,20.3293,20.3293,24.2308,20.3293,0.514305,0,3.02007e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,7.23091e+06,0,1.49758e+08,6.69644e+06,20.3836,20.3836,24.2308,20.3836,0.271481,0,1.572e+07,0
01/02/2009 13:00,1,2,5,13,0,-5,54,3.87925e+07,0,1.83878e+08,6.69644e+06,20.4587,20.4587,24.2308,20.4587,1.86164,0,1.05691e+08,0
01/02/2009 14:00,1,2,5,14,0,-5,54,3.89947e+07,0,2.04143e+08,6.69644e+06,20.4689,20.4689,24.2308,20.4689,1.87222,0,1.06005e+08,0
01/02/2009 15:00,1,2,5,15,0,-6,77,4.01033e+07,2.177e+06,2.0511e+08,6.69644e+06,20.8017,20.8017,24.2308,20.8017,2.02408,0,1.04426e+08,0
01/02/2009 16:00,1,2,5,16,0,-7,92,4.18807e+07,569680,2.13517e+08,6.69644e+06,20.6016,20.6016,24.2308,20.6016,2.04199,0,1.11538e+08,0
01/02/2009 17:00,1,2,5,17,0,-8,92,4.34492e+07,0,2.11775e+08,6.69644e+06,20.483,20.483,24.2308,20.483,2.10694,0,1.18846e+08,0
01/02/2009 18:00,1,2,5,18,0,-8,92,4.36465e+07,0,2.31869e+08,6.69644e+06,20.4676,20.4676,24.2308,20.4676,2.11738,0,1.19925e+08,0
01/02/2009 19:00,1,2,5,19,0,-9,84,9.30734e+06,0,1.37527e+08,6.69644e+06,20.4573,20.4573,24.2308,20.4573,0.359842,0,2.04379e+07,0
01/02/2009 20:00,1,2,5,20,0,-11,84,1.33496e+07,0,1.33576e+08,6.69644e+06,20.4006,20.4006,24.2308,20.4006,0.55835,0,3.21903e+07,0
01/02/2009 21:00,1,2,5,21,0,-11,91,6.25845e+06,0,1.25928e+08,6.69644e+06,20.3235,20.3235,24.2308,20.3235,0.215734,0,1.26882e+07,0
01/02/2009 22:00,1,2,5,22,0,-11,91,0,0,5.43553e+07,6.69644e+06,20.2832,20.2832,20.2832,20.2832,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,-12,83,0,0,3.28834e+07,6.69644e+06,20.2832,20.2832,20.2832,20.2832,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-12,83,0,0,3.28834e+07,6.69644e+06,20.2832,20.2832,20.2832,20.2832,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-13,83,0,0,2.68026e+07,6.69644e+06,20.2832,20.2832,20.2832,20.2832,0,0,0,0
