Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,3.13946e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,3.13946e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,3.13946e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,3.13946e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,3.13946e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,3.13946e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,3.74753e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,7.56066e+07,0,1.07429e+08,6.69644e+06,20.8965,20.8965,24.1373,20.8965,3.50468,0,1.71111e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,2.94735e+07,0,5.36126e+07,6.69644e+06,20.9609,20.9609,24.1373,20.9609,1.58493,0,7.57696e+07,0
01/01/2009 10:00,1,1,4,10,0,2,80,3.45688e+07,0,8.05243e+07,6.69644e+06,20.9742,20.9742,24.1373,20.9742,1.90336,0,9.06111e+07,0
01/01/2009 11:00,1,1,4,11,0,2,80,8.84205e+06,0,1.24835e+08,6.69644e+06,21.002,21.002,24.1373,21.002,0.412778,0,1.94778e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,8.25822e+06,0,1.24118e+08,6.69644e+06,21.0337,21.0337,24.1373,21.0337,0.376254,0,1.75748e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.73682e+07,425081,1.98439e+08,6.69644e+06,21.1326,21.1326,24.1373,21.1326,1.55903,0,7.04941e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,2.83479e+07,0,1.99037e+08,6.69644e+06,21.1236,21.1236,24.1373,21.1236,1.62861,0,7.38674e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,2.99563e+07,0,2.30397e+08,6.69644e+06,21.1003,21.1003,24.1373,21.1003,1.72998,0,7.90735e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,2.99787e+07,0,2.30422e+08,6.69644e+06,21.0996,21.0996,24.1373,21.0996,1.73139,0,7.91549e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.13881e+07,443399,2.32455e+08,6.69644e+06,21.1408,21.1408,24.1373,21.1408,1.83442,0,8.27283e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,3.40109e+07,0,1.91272e+08,6.69644e+06,21.1102,21.1102,24.1373,21.1102,1.96118,0,8.93531e+07,0
01/01/2009 19:00,1,1,4,19,0,-2,71,9.96614e+06,0,1.00959e+08,6.69644e+06,21.08,21.08,24.1373,21.08,0.472342,0,2.17359e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.84331e+06,0,4.26317e+07,6.69644e+06,21.0122,21.0122,24.1373,21.0122,0.21156,0,9.95573e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,3.74753e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,3.74753e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,3.74753e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,0,0,3.74753e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,3.35559e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,3.35559e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,3.35559e+07,6.69644e+06,20.9617,20.9617,20.9617,20.9617,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,1.54303e+06,0,3.51037e+07,6.69644e+06,20.9613,20.9613,24.1373,20.9613,0.00320653,0,153280,0
01/02/2009 05:00,1,2,5,5,0,-12,91,1.59881e+06,0,3.51649e+07,6.69644e+06,20.9592,20.9592,24.1373,20.9592,0.00689173,0,329647,0
01/02/2009 06:00,1,2,5,6,0,-15,83,1.0297e+08,0,1.52484e+08,6.69644e+06,20.7986,20.7986,24.1373,20.7986,4.87832,0,2.44961e+08,0
01/02/2009 07:00,1,2,5,7,0,-14,83,5.00006e+07,0,9.94961e+07,6.69644e+06,20.832,20.832,24.1373,20.832,3.01933,0,1.50202e+08,0
01/02/2009 08:00,1,2,5,8,0,-13,83,4.72899e+07,0,1.29462e+08,6.69644e+06,20.8377,20.8377,24.1373,20.8377,2.82672,0,1.40377e+08,0
01/02/2009 09:00,1,2,5,9,0,-11,84,2.64331e+07,0,1.6019e+08,6.69644e+06,20.9079,20.9079,24.1373,20.9079,1.40546,0,6.8311e+07,0
01/02/2009 10:00,1,2,5,10,0,-7,64,1.10387e+07,0,2.90516e+08,6.69644e+06,20.9791,20.9791,24.1373,20.9791,0.535895,0,2.54722e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,8.6944e+06,0,2.48866e+08,6.69644e+06,21.0297,21.0297,24.1373,21.0297,0.415021,0,1.94105e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,7.15158e+06,6.20576e+06,2.54238e+08,6.69644e+06,22.2087,22.2087,24.1373,22.2087,0.608046,0,1.57051e+07,0
01/02/2009 13:00,1,2,5,13,0,-5,54,3.86582e+07,1.37348e+07,2.9752e+08,6.69644e+06,22.9344,22.9344,24.1373,22.9344,2.96498,0,5.3521e+07,0
01/02/2009 14:00,1,2,5,14,0,-5,54,3.88705e+07,1.86775e+07,3.42608e+08,6.69644e+06,23.206,23.206,24.1373,23.206,3.26386,0,4.565e+07,0
01/02/2009 15:00,1,2,5,15,0,-6,77,3.99867e+07,2.60425e+07,3.472e+08,6.69644e+06,23.7615,23.7615,24.1373,23.7615,3.75981,0,2.1211e+07,0
01/02/2009 16:00,1,2,5,16,0,-7,92,4.17293e+07,2.50824e+07,3.64261e+08,6.69644e+06,23.6949,23.6949,24.1373,23.6949,3.81401,0,2.53928e+07,0
01/02/2009 17:00,1,2,5,17,0,-8,92,4.3318e+07,2.2995e+07,3.58097e+08,6.69644e+06,23.4885,23.4885,24.1373,23.4885,3.80502,0,3.71473e+07,0
01/02/2009 18:00,1,2,5,18,0,-8,92,4.35194e+07,1.91788e+07,3.76268e+08,6.69644e+06,23.1838,23.1838,24.1373,23.1838,3.59474,0,5.15795e+07,0
01/02/2009 19:00,1,2,5,19,0,-9,84,8.18806e+06,9.41859e+06,2.14716e+08,6.69644e+06,24.1719,24.1719,25.0795,23.7373,0.546018,0.274163,6.72693e+06,2.68724e+06
01/02/2009 20:00,1,2,5,20,0,-11,84,8.78448e+06,0,1.95862e+08,6.69644e+06,23.6454,23.6454,24.4884,23.473,0.373597,0.0532907,4.5662e+06,552761
01/02/2009 21:00,1,2,5,21,0,-11,91,1.77177e+06,0,1.88233e+08,6.69644e+06,22.718,22.718,24.1373,22.718,0.0105246,0,224782,0
01/02/2009 22:00,1,2,5,22,0,-11,91,0,0,8.13686e+07,6.69644e+06,22.7014,22.7014,22.7014,22.7014,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,-12,83,0,0,3.96367e+07,6.69644e+06,22.7014,22.7014,22.7014,22.7014,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-12,83,0,0,3.96367e+07,6.69644e+06,22.7014,22.7014,22.7014,22.7014,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-13,83,0,0,3.35559e+07,6.69644e+06,22.7014,22.7014,22.7014,22.7014,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,-13.2,79,0,0,3.35559e+07,6.69644e+06,22.7014,22.7014,22.7014,22.7014,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-13.6,77,1.00328e+06,0,3.456e+07,6.69644e+06,22.7008,22.7008,23.6587,22.7008,0.000519495,0,11232.6,0
01/03/2009 04:00,1,3,6,4,0,-14,76,1.59763e+06,0,3.51634e+07,6.69644e+06,22.6875,22.6875,24.1373,22.6875,0.00668339,0,145885,0
01/03/2009 05:00,1,3,6,5,0,-14,76,1.62189e+06,0,3.519e+07,6.69644e+06,22.6586,22.6586,24.1373,22.6586,0.00824875,0,183546,0
01/03/2009 06:00,1,3,6,6,0,-14,76,9.26736e+07,0,1.41046e+08,6.69644e+06,20.901,20.901,24.1373,20.901,4.53923,0,2.14427e+08,0
01/03/2009 07:00,1,3,6,7,0,-14,76,4.32954e+07,0,9.12975e+07,6.69644e+06,20.8384,20.8384,24.1373,20.8384,2.56998,0,1.276e+08,0
01/03/2009 08:00,1,3,6,8,0,-17,83,4.42062e+07,0,1.25754e+08,6.69644e+06,20.816,20.816,24.1373,20.816,2.64117,0,1.32024e+08,0
01/03/2009 09:00,1,3,6,9,0,-13,69,1.80992e+07,0,1.50096e+08,6.69644e+06,20.9164,20.9164,24.1373,20.9164,0.888275,0,4.30588e+07,0
01/03/2009 10:00,1,3,6,10,0,-11,70,9.75976e+06,685242,2.84326e+08,6.69644e+06,21.1463,21.1463,24.1373,21.1463,0.497377,0,2.23554e+07,0
01/03/2009 11:00,1,3,6,11,0,-9,53,7.74911e+06,1.51189e+06,2.49443e+08,6.69644e+06,21.5024,21.5024,24.1373,21.5024,0.420143,0,1.65883e+07,0
01/03/2009 12:00,1,3,6,12,0,-8,49,7.44012e+06,1.31172e+07,2.62683e+08,6.69644e+06,24.1226,24.1226,26.0691,23.0054,0.603991,0.381279,1.72929e+07,8.40732e+06
01/03/2009 13:00,1,3,6,13,0,-7,41,4.13153e+07,2.33852e+07,3.1195e+08,6.69644e+06,23.9129,23.9129,24.1995,23.8726,2.78796,0.897643,1.50464e+07,1.08985e+06
01/03/2009 14:00,1,3,6,14,0,-7.1,43,4.1304e+07,2.70647e+07,3.16371e+08,6.69644e+06,23.7774,23.7774,24.1373,23.7774,3.90774,0,2.1159e+07,0
01/03/2009 15:00,1,3,6,15,0,-7.8,48,4.21856e+07,3.3582e+07,3.58684e+08,6.69644e+06,24.1389,24.1389,24.1389,24.1373,0,4.35333,0,103009
01/03/2009 16:00,1,3,6,16,0,-9,58,4.40801e+07,3.57225e+07,3.63319e+08,6.69644e+06,24.2098,24.2098,24.2098,24.1373,0,4.60253,0,5.01871e+06
01/03/2009 17:00,1,3,6,17,0,-9,58,4.46033e+07,2.75802e+07,3.59532e+08,6.69644e+06,23.7608,23.7608,24.1373,23.7608,4.14922,0,2.35093e+07,0
01/03/2009 18:00,1,3,6,18,0,-9,58,4.49528e+07,2.11379e+07,3.80194e+08,6.69644e+06,23.291,23.291,24.1373,23.291,3.8042,0,4.84474e+07,0
01/03/2009 19:00,1,3,6,19,0,-9,58,8.08712e+06,1.21286e+07,2.17848e+08,6.69644e+06,24.6061,24.6061,25.0321,23.4972,0.646367,0.324323,3.73624e+06,8.11512e+06
01/03/2009 20:00,1,3,6,20,0,-9,53,8.21227e+06,3.16748e+06,1.98698e+08,6.69644e+06,24.2833,24.2833,24.4242,23.9964,0.160173,0.31948,1.01915e+06,2.06153e+06
01/03/2009 21:00,1,3,6,21,0,-8,58,1.6985e+06,2.26008e+06,1.90533e+08,6.69644e+06,23.6902,23.6902,24.1373,23.6902,0.0419538,0,281646,0
01/03/2009 22:00,1,3,6,22,0,-9,70,0,0,8.13686e+07,6.69644e+06,23.863,23.863,23.863,23.863,0,0,0,0
01/03/2009 23:00,1,3,6,23,0,-9,70,0,0,3.96367e+07,6.69644e+06,23.863,23.863,23.863,23.863,0,0,0,0
01/04/2009 00:00,1,4,0,0,0,-9,70,0,0,3.96367e+07,6.69644e+06,23.863,23.863,23.863,23.863,0,0,0,0
01/04/2009 01:00,1,4,0,1,0,-8,64,0,0,3.35559e+07,6.69644e+06,23.863,23.863,23.863,23.863,0,0,0,0
01/04/2009 02:00,1,4,0,2,0,-10,70,0,0,3.35559e+07,6.69644e+06,23.863,23.863,23.863,23.863,0,0,0,0
01/04/2009 03:00,1,4,0,3,0,-9,70,0,0,3.35559e+07,6.69644e+06,23.863,23.863,23.863,23.863,0,0,0,0
01/04/2009 04:00,1,4,0,4,0,-10,76,0,0,3.35559e+07,6.69644e+06,23.863,23.863,23.863,23.863,0,0,0,0
01/04/2009 05:00,1,4,0,5,0,-8,70,0,0,3.35559e+07,6.69644e+06,23.863,23.863,23.863,23.863,0,0,0,0
01/04/2009 06:00,1,4,0,6,0,-9.6,70,6.68961e+07,0,1.12521e+08,6.69644e+06,20.9897,20.9897,24.1373,20.9897,3.70575,0,1.63441e+08,0
01/04/2009 07:00,1,4,0,7,0,-11,70,3.70448e+07,0,8.36126e+07,6.69644e+06,20.8664,20.8664,24.1373,20.8664,2.13664,0,1.05185e+08,0
01/04/2009 08:00,1,4,0,8,0,-8,64,3.43735e+07,0,1.13623e+08,6.69644e+06,20.8819,20.8819,24.1373,20.8819,1.94878,0,9.5481e+07,0
01/04/2009 09:00,1,4,0,9,0,-4,45,1.9012e+07,0,1.58616e+08,6.69644e+06,20.9534,20.9534,24.1373,20.9534,0.9332,0,4.47187e+07,0
01/04/2009 10:00,1,4,0,10,0,-1,32,7.13819e+06,0,2.47098e+08,6.69644e+06,21.0147,21.0147,24.1373,21.0147,0.306708,0,1.4414e+07,0
01/04/2009 11:00,1,4,0,11,0,0,32,5.99806e+06,610346,2.46485e+08,6.69644e+06,21.0738,21.0738,24.1373,21.0738,0.272455,0,1.25485e+07,0
01/04/2009 12:00,1,4,0,12,0,1,33,5.78048e+06,1.39108e+07,3.00793e+08,6.69644e+06,23.7798,23.7798,25.5021,22.7214,0.620454,0.319483,1.60643e+07,1.01743e+07
01/04/2009 13:00,1,4,0,13,0,2,34,2.86234e+07,1.88806e+07,3.31626e+08,6.69644e+06,24.3845,24.3845,24.455,24.0668,1.33436,1.28494,2.8323e+06,1.22815e+07
01/04/2009 14:00,1,4,0,14,0,3,29,2.6554e+07,2.91965e+07,3.02786e+08,6.69644e+06,24.7161,24.7161,24.7161,24.1373,0,3.09288,0,2.71084e+07
01/04/2009 15:00,1,4,0,15,0,4,32,2.47638e+07,3.56989e+07,3.42137e+08,6.69644e+06,25.328,25.328,25.328,24.1373,0,3.36403,0,6.02795e+07
