Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,2.10948e+07,6.69644e+06,15.4263,15.4263,15.4263,15.4263,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,739995,0,2.18356e+07,6.69644e+06,15.4262,15.4262,17.7487,15.4262,0.000466902,0,32670.6,0
01/01/2009 03:00,1,1,4,3,0,-4,77,1.48347e+06,0,2.25803e+07,6.69644e+06,15.426,15.426,20.071,15.426,0.00115779,0,81017,0
01/01/2009 04:00,1,1,4,4,0,-2,78,1.47727e+06,0,2.25736e+07,6.69644e+06,15.4258,15.4258,20.071,15.4258,0.000879253,0,61529.6,0
01/01/2009 05:00,1,1,4,5,0,-2,85,1.52965e+06,0,2.263e+07,6.69644e+06,15.4253,15.4253,20.071,15.4253,0.00315926,0,221105,0
01/01/2009 06:00,1,1,4,6,0,-1,92,1.47263e+06,0,2.25686e+07,6.69644e+06,15.4249,15.4249,20.071,15.4249,0.000673612,0,47148.1,0
01/01/2009 07:00,1,1,4,7,0,-1,100,1.52625e+06,0,2.87071e+07,6.69644e+06,15.4245,15.4245,20.071,15.4245,0.00300747,0,210520,0
01/01/2009 08:00,1,1,4,8,0,-1,100,9.92068e+07,0,1.23046e+08,6.69644e+06,15.3606,15.3606,20.071,15.3606,3.24114,0,2.30359e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,4.2765e+07,0,5.96886e+07,6.69644e+06,15.4482,15.4482,20.071,15.4482,1.79607,0,1.25082e+08,0
01/01/2009 10:00,1,1,4,10,0,2,80,4.68492e+07,0,7.48541e+07,6.69644e+06,15.4832,15.4832,20.071,15.4832,1.98049,0,1.3688e+08,0
01/01/2009 11:00,1,1,4,11,0,2,80,1.71084e+07,0,6.83375e+07,6.69644e+06,15.5344,15.5344,20.071,15.5344,0.623608,0,4.26187e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,1.3904e+07,0,6.45e+07,6.69644e+06,15.5843,15.5843,20.071,15.5843,0.48058,0,3.24824e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,3.01479e+07,0,1.01686e+08,6.69644e+06,15.7764,15.7764,20.071,15.7764,1.18998,0,7.69832e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,3.20456e+07,0,1.03747e+08,6.69644e+06,15.8194,15.8194,20.071,15.8194,1.26994,0,8.13337e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.44861e+07,0,1.1414e+08,6.69644e+06,15.8132,15.8132,20.071,15.8132,1.37385,0,8.81178e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.45763e+07,0,1.14256e+08,6.69644e+06,15.8115,15.8115,20.071,15.8115,1.37799,0,8.84178e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.56898e+07,0,1.15411e+08,6.69644e+06,15.8135,15.8135,20.071,15.8135,1.4271,0,9.15266e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,4.35943e+07,0,1.19454e+08,6.69644e+06,15.7646,15.7646,20.071,15.7646,1.75505,0,1.13891e+08,0
01/01/2009 19:00,1,1,4,19,0,-2,71,2.7796e+07,0,8.07157e+07,6.69644e+06,15.5286,15.5286,20.071,15.5286,1.09565,0,7.49745e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.78973e+06,0,3.22192e+07,6.69644e+06,15.4486,15.4486,20.071,15.4486,0.145447,0,1.013e+07,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,2.71756e+07,6.69644e+06,15.4266,15.4266,15.4266,15.4266,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,2.71756e+07,6.69644e+06,15.4266,15.4266,15.4266,15.4266,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,2.71756e+07,6.69644e+06,15.4266,15.4266,15.4266,15.4266,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,1.49344e+06,0,2.86717e+07,6.69644e+06,15.4265,15.4265,20.071,15.4265,0.00151124,0,105741,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,2.32562e+07,6.69644e+06,15.4263,15.4263,15.4263,15.4263,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,1.48153e+06,0,2.47394e+07,6.69644e+06,15.4262,15.4262,20.071,15.4262,0.000974643,0,68199.3,0
01/02/2009 03:00,1,2,5,3,0,-10,91,1.51466e+06,0,2.47753e+07,6.69644e+06,15.4258,15.4258,20.071,15.4258,0.00254138,0,177845,0
01/02/2009 04:00,1,2,5,4,0,-11,91,1.92244e+06,0,2.52471e+07,6.69644e+06,15.4191,15.4191,20.071,15.4191,0.0187475,0,1.31495e+06,0
01/02/2009 05:00,1,2,5,5,0,-12,91,2.52069e+06,0,2.5958e+07,6.69644e+06,15.3705,15.3705,20.071,15.3705,0.0442557,0,3.1341e+06,0
01/02/2009 06:00,1,2,5,6,0,-15,83,1.45852e+08,0,1.9126e+08,6.69644e+06,15.0678,15.0678,20.071,15.0678,5.17278,0,3.89817e+08,0
01/02/2009 07:00,1,2,5,7,0,-14,83,7.63326e+07,0,1.21589e+08,6.69644e+06,15.1118,15.1118,20.071,15.1118,3.71,0,2.77192e+08,0
01/02/2009 08:00,1,2,5,8,0,-13,83,7.44175e+07,0,1.21639e+08,6.69644e+06,15.1185,15.1185,20.071,15.1185,3.6049,0,2.68972e+08,0
01/02/2009 09:00,1,2,5,9,0,-11,84,5.21296e+07,0,1.14196e+08,6.69644e+06,15.2326,15.2326,20.071,15.2326,2.3133,0,1.68621e+08,0
01/02/2009 10:00,1,2,5,10,0,-7,64,2.4421e+07,0,1.28825e+08,6.69644e+06,15.4123,15.4123,20.071,15.4123,0.94541,0,6.63518e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,1.9033e+07,0,1.1229e+08,6.69644e+06,15.5243,15.5243,20.071,15.5243,0.697522,0,4.77759e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,8.56683e+06,0,1.00076e+08,6.69644e+06,15.6486,15.6486,20.071,15.6486,0.276845,0,1.84435e+07,0
01/02/2009 13:00,1,2,5,13,0,-5,54,4.07607e+07,0,1.3466e+08,6.69644e+06,15.8138,15.8138,20.071,15.8138,1.66106,0,1.06522e+08,0
01/02/2009 14:00,1,2,5,14,0,-5,54,4.08797e+07,0,1.44898e+08,6.69644e+06,15.831,15.831,20.071,15.831,1.66343,0,1.06244e+08,0
01/02/2009 15:00,1,2,5,15,0,-6,77,4.16763e+07,946671,1.45431e+08,6.69644e+06,16.0101,16.0101,20.071,16.0101,1.73903,0,1.06349e+08,0
01/02/2009 16:00,1,2,5,16,0,-7,92,4.31738e+07,0,1.50188e+08,6.69644e+06,15.8652,15.8652,20.071,15.8652,1.78381,0,1.13014e+08,0
01/02/2009 17:00,1,2,5,17,0,-8,92,4.50372e+07,0,1.50781e+08,6.69644e+06,15.8321,15.8321,20.071,15.8321,1.86127,0,1.1885e+08,0
01/02/2009 18:00,1,2,5,18,0,-8,92,4.78422e+07,0,1.72519e+08,6.69644e+06,15.8146,15.8146,20.071,15.8146,1.97258,0,1.26476e+08,0
01/02/2009 19:00,1,2,5,19,0,-9,84,1.31142e+07,0,1.06461e+08,6.69644e+06,15.7385,15.7385,20.071,15.7385,0.470577,0,3.07119e+07,0
01/02/2009 20:00,1,2,5,20,0,-11,84,1.78563e+07,0,1.03309e+08,6.69644e+06,15.6434,15.6434,20.071,15.6434,0.669035,0,4.4634e+07,0
01/02/2009 21:00,1,2,5,21,0,-11,91,1.36192e+07,0,9.90633e+07,6.69644e+06,15.445,15.445,20.071,15.445,0.484687,0,3.37778e+07,0
01/02/2009 22:00,1,2,5,22,0,-11,91,0,0,4.01695e+07,6.69644e+06,15.3641,15.3641,15.3641,15.3641,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,-12,83,0,0,2.93369e+07,6.69644e+06,15.3641,15.3641,15.3641,15.3641,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-12,83,0,0,2.93369e+07,6.69644e+06,15.3641,15.3641,15.3641,15.3641,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-13,83,0,0,2.32562e+07,6.69644e+06,15.3641,15.3641,15.3641,15.3641,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,-13.2,79,1.53594e+06,0,2.4798e+07,6.69644e+06,15.3642,15.3642,20.071,15.3642,0.00338157,0,239779,0
01/03/2009 03:00,1,3,6,3,0,-13.6,77,2.50424e+06,0,2.59404e+07,6.69644e+06,15.3335,15.3335,20.071,15.3335,0.0436507,0,3.11469e+06,0
01/03/2009 04:00,1,3,6,4,0,-14,76,3.85259e+06,0,2.75482e+07,6.69644e+06,15.2514,15.2514,20.071,15.2514,0.101142,0,7.34628e+06,0
01/03/2009 05:00,1,3,6,5,0,-14,76,3.89856e+06,0,2.76056e+07,6.69644e+06,15.1627,15.1627,20.071,15.1627,0.103092,0,7.62336e+06,0
01/03/2009 06:00,1,3,6,6,0,-14,76,1.45875e+08,0,1.91294e+08,6.69644e+06,15.0871,15.0871,20.071,15.0871,5.19049,0,3.89891e+08,0
01/03/2009 07:00,1,3,6,7,0,-14,76,7.40574e+07,0,1.18713e+08,6.69644e+06,15.1226,15.1226,20.071,15.1226,3.57616,0,2.6661e+08,0
01/03/2009 08:00,1,3,6,8,0,-17,83,8.12016e+07,0,1.30357e+08,6.69644e+06,15.0325,15.0325,20.071,15.0325,4.05358,0,3.07706e+08,0
01/03/2009 09:00,1,3,6,9,0,-13,69,4.63544e+07,0,1.07145e+08,6.69644e+06,15.1836,15.1836,20.071,15.1836,2.04794,0,1.50793e+08,0
01/03/2009 10:00,1,3,6,10,0,-11,70,1.32257e+07,0,1.14079e+08,6.69644e+06,15.4781,15.4781,20.071,15.4781,0.480998,0,3.32804e+07,0
01/03/2009 11:00,1,3,6,11,0,-9,53,1.15467e+07,0,1.03462e+08,6.69644e+06,15.6723,15.6723,20.071,15.6723,0.406114,0,2.69103e+07,0
01/03/2009 12:00,1,3,6,12,0,-8,49,9.72285e+06,0,1.01376e+08,6.69644e+06,15.7306,15.7306,20.071,15.7306,0.326284,0,2.13338e+07,0
01/03/2009 13:00,1,3,6,13,0,-7,41,4.3273e+07,1.80736e+06,1.39497e+08,6.69644e+06,16.1595,16.1595,20.071,16.1595,1.84661,0,1.08764e+08,0
01/03/2009 14:00,1,3,6,14,0,-7.1,43,4.27626e+07,2.4869e+06,1.39768e+08,6.69644e+06,16.3572,16.3572,20.071,16.3572,1.86528,0,1.04338e+08,0
01/03/2009 15:00,1,3,6,15,0,-7.8,48,4.36619e+07,4.20278e+06,1.51493e+08,6.69644e+06,16.6689,16.6689,20.071,16.6689,1.97784,0,1.01333e+08,0
01/03/2009 16:00,1,3,6,16,0,-9,58,4.5591e+07,3.8168e+06,1.53106e+08,6.69644e+06,16.6189,16.6189,20.071,16.6189,2.04777,0,1.06471e+08,0
01/03/2009 17:00,1,3,6,17,0,-9,58,4.61074e+07,800841,1.51461e+08,6.69644e+06,16.0556,16.0556,20.071,16.0556,1.9444,0,1.17605e+08,0
01/03/2009 18:00,1,3,6,18,0,-9,58,4.77625e+07,0,1.72273e+08,6.69644e+06,15.8438,15.8438,20.071,15.8438,1.9763,0,1.25853e+08,0
01/03/2009 19:00,1,3,6,19,0,-9,58,1.10068e+07,0,1.03947e+08,6.69644e+06,15.7881,15.7881,20.071,15.7881,0.377707,0,2.43728e+07,0
01/03/2009 20:00,1,3,6,20,0,-9,53,1.42613e+07,0,9.91198e+07,6.69644e+06,15.705,15.705,20.071,15.705,0.520609,0,3.42414e+07,0
01/03/2009 21:00,1,3,6,21,0,-8,58,8.3486e+06,0,9.28761e+07,6.69644e+06,15.6002,15.6002,20.071,15.6002,0.280906,0,1.89205e+07,0
01/03/2009 22:00,1,3,6,22,0,-9,70,0,0,4.01695e+07,6.69644e+06,15.5467,15.5467,15.5467,15.5467,0,0,0,0
01/03/2009 23:00,1,3,6,23,0,-9,70,0,0,2.93369e+07,6.69644e+06,15.5467,15.5467,15.5467,15.5467,0,0,0,0
01/04/2009 00:00,1,4,0,0,0,-9,70,0,0,2.93369e+07,6.69644e+06,15.5467,15.5467,15.5467,15.5467,0,0,0,0
01/04/2009 01:00,1,4,0,1,0,-8,64,0,0,2.32562e+07,6.69644e+06,15.5467,15.5467,15.5467,15.5467,0,0,0,0
01/04/2009 02:00,1,4,0,2,0,-10,70,0,0,2.32562e+07,6.69644e+06,15.5467,15.5467,15.5467,15.5467,0,0,0,0
