Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,2.88815e+07,6.69644e+06,18.5415,18.5415,18.5415,18.5415,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,2.88815e+07,6.69644e+06,18.5415,18.5415,18.5415,18.5415,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,2.88815e+07,6.69644e+06,18.5415,18.5415,18.5415,18.5415,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,2.88815e+07,6.69644e+06,18.5415,18.5415,18.5415,18.5415,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,2.88815e+07,6.69644e+06,18.5415,18.5415,18.5415,18.5415,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,2.88815e+07,6.69644e+06,18.5415,18.5415,18.5415,18.5415,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,1.46328e+06,0,3.64262e+07,6.69644e+06,18.5415,18.5415,19.8242,18.5415,0.000587527,0,11346.3,0
01/01/2009 08:00,1,1,4,8,0,-1,100,8.14686e+07,0,1.16321e+08,6.69644e+06,18.5156,18.5156,19.8242,18.5156,8.88222,0,1.75245e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,3.34444e+07,0,5.83001e+07,6.69644e+06,18.5419,18.5419,19.8242,18.5419,4.31991,0,8.34014e+07,0
01/01/2009 10:00,1,1,4,10,0,2,80,3.80349e+07,0,8.24087e+07,6.69644e+06,18.5482,18.5482,19.8242,18.5482,4.99356,0,9.59321e+07,0
01/01/2009 11:00,1,1,4,11,0,2,80,9.41389e+06,0,1.09947e+08,6.69644e+06,18.5632,18.5632,19.8242,18.5632,1.05117,0,1.99572e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,8.86174e+06,0,1.09226e+08,6.69644e+06,18.5789,18.5789,19.8242,18.5789,0.969801,0,1.81831e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.86934e+07,58818.4,1.77367e+08,6.69644e+06,18.6021,18.6021,19.8242,18.6021,3.78987,0,6.9728e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,3.00489e+07,0,1.78869e+08,6.69644e+06,18.609,18.609,19.8242,18.609,3.99029,0,7.30019e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.16513e+07,0,2.04995e+08,6.69644e+06,18.6091,18.6091,19.8242,18.6091,4.22669,0,7.73201e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.13179e+07,0,2.04576e+08,6.69644e+06,18.6096,18.6096,19.8242,18.6096,4.18002,0,7.64389e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.2375e+07,0,2.05876e+08,6.69644e+06,18.6097,18.6097,19.8242,18.6097,4.39081,0,8.02881e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,3.63778e+07,0,1.76475e+08,6.69644e+06,18.6071,18.6071,19.8242,18.6071,4.90426,0,8.98626e+07,0
01/01/2009 19:00,1,1,4,19,0,-2,71,1.16071e+07,0,9.35663e+07,6.69644e+06,18.5949,18.5949,19.8242,18.5949,1.34064,0,2.48137e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.92029e+06,0,4.0477e+07,6.69644e+06,18.5635,18.5635,19.8242,18.5635,0.509704,0,9.68004e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,3.49622e+07,6.69644e+06,18.5415,18.5415,18.5415,18.5415,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,3.49622e+07,6.69644e+06,18.5415,18.5415,18.5415,18.5415,0,0,0,0
