Time,CORE_ZN ZN:BOISE AIR TERMINAL  UO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:BOISE AIR TERMINAL  UO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:BOISE AIR TERMINAL  UO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:BOISE AIR TERMINAL  UO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:BOISE AIR TERMINAL  UO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:BOISE AIR TERMINAL  UO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:BOISE AIR TERMINAL  UO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:BOISE AIR TERMINAL  UO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:BOISE AIR TERMINAL  UO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:BOISE AIR TERMINAL  UO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:BOISE AIR TERMINAL  UO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:BOISE AIR TERMINAL  UO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:BOISE AIR TERMINAL  UO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:BOISE AIR TERMINAL  UO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:BOISE AIR TERMINAL  UO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:BOISE AIR TERMINAL  UO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:BOISE AIR TERMINAL  UO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:BOISE AIR TERMINAL  UO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:BOISE AIR TERMINAL  UO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:BOISE AIR TERMINAL  UO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.357587E+03,2.989744E+03,1.223935E-01,2.641695E-01,4.195282E+03,2.557176E+03,2.177876E-01,2.259403E-01,2.494299E+03,1.649986E+03,1.294850E-01,1.457846E-01,3.847697E+03,2.514732E+03,1.997440E-01,2.221905E-01,2.478671E+03,1.780694E+03,1.286737E-01,1.573332E-01
00:20:00,2.357487E+03,2.979593E+03,1.223883E-01,2.632726E-01,4.195205E+03,2.539010E+03,2.177836E-01,2.243352E-01,2.494253E+03,1.638111E+03,1.294826E-01,1.447353E-01,3.847618E+03,2.498708E+03,1.997398E-01,2.207746E-01,2.478624E+03,1.766719E+03,1.286713E-01,1.560984E-01
00:30:00,2.357387E+03,2.969441E+03,1.223831E-01,2.623756E-01,4.195128E+03,2.520925E+03,2.177796E-01,2.227373E-01,2.494207E+03,1.626309E+03,1.294803E-01,1.436926E-01,3.847539E+03,2.482757E+03,1.997357E-01,2.193653E-01,2.478578E+03,1.752876E+03,1.286689E-01,1.548753E-01
00:40:00,2.357288E+03,2.959292E+03,1.223780E-01,2.614789E-01,4.195052E+03,2.502872E+03,2.177757E-01,2.211422E-01,2.494162E+03,1.614562E+03,1.294779E-01,1.426547E-01,3.847460E+03,2.466849E+03,1.997316E-01,2.179597E-01,2.478532E+03,1.739149E+03,1.286665E-01,1.536625E-01
00:50:00,2.357190E+03,2.949150E+03,1.223729E-01,2.605828E-01,4.194977E+03,2.484895E+03,2.177718E-01,2.195539E-01,2.494117E+03,1.602850E+03,1.294756E-01,1.416198E-01,3.847383E+03,2.450933E+03,1.997276E-01,2.165535E-01,2.478486E+03,1.725521E+03,1.286642E-01,1.524583E-01
01:00:00,2.357093E+03,2.939018E+03,1.223678E-01,2.596876E-01,4.194902E+03,2.467010E+03,2.177679E-01,2.179736E-01,2.494073E+03,1.591195E+03,1.294733E-01,1.405901E-01,3.847305E+03,2.435060E+03,1.997236E-01,2.151510E-01,2.478441E+03,1.711968E+03,1.286618E-01,1.512609E-01
01:10:00,2.357100E+03,2.928985E+03,1.223682E-01,2.588011E-01,4.194910E+03,2.449453E+03,2.177683E-01,2.164224E-01,2.494078E+03,1.579744E+03,1.294736E-01,1.395783E-01,3.847314E+03,2.419453E+03,1.997240E-01,2.137720E-01,2.478446E+03,1.698591E+03,1.286621E-01,1.500790E-01
01:20:00,2.357108E+03,2.918969E+03,1.223686E-01,2.579161E-01,4.194919E+03,2.432174E+03,2.177688E-01,2.148957E-01,2.494083E+03,1.568463E+03,1.294738E-01,1.385816E-01,3.847322E+03,2.404057E+03,1.997245E-01,2.124117E-01,2.478451E+03,1.685379E+03,1.286624E-01,1.489116E-01
01:30:00,2.357116E+03,2.908976E+03,1.223690E-01,2.570331E-01,4.194927E+03,2.415190E+03,2.177692E-01,2.133950E-01,2.494088E+03,1.557362E+03,1.294741E-01,1.376008E-01,3.847330E+03,2.388888E+03,1.997249E-01,2.110715E-01,2.478457E+03,1.672353E+03,1.286626E-01,1.477607E-01
01:40:00,2.357123E+03,2.899017E+03,1.223694E-01,2.561532E-01,4.194935E+03,2.398522E+03,2.177696E-01,2.119223E-01,2.494093E+03,1.546455E+03,1.294743E-01,1.366371E-01,3.847339E+03,2.373968E+03,1.997253E-01,2.097532E-01,2.478462E+03,1.659533E+03,1.286629E-01,1.466280E-01
01:50:00,2.357131E+03,2.889093E+03,1.223698E-01,2.552763E-01,4.194943E+03,2.382179E+03,2.177700E-01,2.104783E-01,2.494098E+03,1.535745E+03,1.294746E-01,1.356908E-01,3.847347E+03,2.359304E+03,1.997257E-01,2.084575E-01,2.478467E+03,1.646927E+03,1.286631E-01,1.455142E-01
02:00:00,2.357138E+03,2.879205E+03,1.223702E-01,2.544027E-01,4.194951E+03,2.366169E+03,2.177704E-01,2.090637E-01,2.494103E+03,1.525238E+03,1.294749E-01,1.347624E-01,3.847355E+03,2.344904E+03,1.997262E-01,2.071852E-01,2.478471E+03,1.634541E+03,1.286634E-01,1.444198E-01
02:10:00,2.357145E+03,2.869357E+03,1.223706E-01,2.535325E-01,4.194959E+03,2.350377E+03,2.177709E-01,2.076684E-01,2.494108E+03,1.514865E+03,1.294751E-01,1.338460E-01,3.847363E+03,2.330668E+03,1.997266E-01,2.059274E-01,2.478476E+03,1.622312E+03,1.286636E-01,1.433393E-01
02:20:00,2.357153E+03,2.859549E+03,1.223710E-01,2.526659E-01,4.194967E+03,2.334797E+03,2.177713E-01,2.062919E-01,2.494112E+03,1.504627E+03,1.294753E-01,1.329413E-01,3.847370E+03,2.316596E+03,1.997270E-01,2.046840E-01,2.478481E+03,1.610237E+03,1.286639E-01,1.422724E-01
02:30:00,2.357160E+03,2.849783E+03,1.223713E-01,2.518030E-01,4.194974E+03,2.319428E+03,2.177717E-01,2.049340E-01,2.494117E+03,1.494521E+03,1.294756E-01,1.320485E-01,3.847378E+03,2.302689E+03,1.997274E-01,2.034553E-01,2.478486E+03,1.598319E+03,1.286641E-01,1.412194E-01
02:40:00,2.357167E+03,2.840052E+03,1.223717E-01,2.509433E-01,4.194982E+03,2.304264E+03,2.177721E-01,2.035942E-01,2.494122E+03,1.484545E+03,1.294758E-01,1.311670E-01,3.847386E+03,2.288942E+03,1.997278E-01,2.022407E-01,2.478491E+03,1.586551E+03,1.286644E-01,1.401797E-01
02:50:00,2.357174E+03,2.830362E+03,1.223721E-01,2.500871E-01,4.194990E+03,2.289310E+03,2.177724E-01,2.022729E-01,2.494126E+03,1.474700E+03,1.294761E-01,1.302972E-01,3.847393E+03,2.275360E+03,1.997282E-01,2.010407E-01,2.478495E+03,1.574940E+03,1.286646E-01,1.391538E-01
03:00:00,2.357182E+03,2.820716E+03,1.223725E-01,2.492348E-01,4.194997E+03,2.274570E+03,2.177728E-01,2.009705E-01,2.494131E+03,1.464989E+03,1.294763E-01,1.294392E-01,3.847401E+03,2.261949E+03,1.997285E-01,1.998558E-01,2.478500E+03,1.563487E+03,1.286649E-01,1.381419E-01
03:10:00,2.357189E+03,2.811116E+03,1.223728E-01,2.483865E-01,4.195004E+03,2.259921E+03,2.177732E-01,1.996762E-01,2.494135E+03,1.455341E+03,1.294765E-01,1.285867E-01,3.847408E+03,2.248601E+03,1.997289E-01,1.986764E-01,2.478504E+03,1.552121E+03,1.286651E-01,1.371377E-01
03:20:00,2.357196E+03,2.801562E+03,1.223732E-01,2.475424E-01,4.195012E+03,2.245353E+03,2.177736E-01,1.983891E-01,2.494140E+03,1.445751E+03,1.294768E-01,1.277394E-01,3.847415E+03,2.235311E+03,1.997293E-01,1.975021E-01,2.478509E+03,1.540839E+03,1.286653E-01,1.361408E-01
