Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,1.5146e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,1.5146e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,1.5146e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,1.5146e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,1.5146e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,1.5146e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,1.62597e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,0,0,1.28879e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 09:00,1,1,4,9,0,0,92,0,0,1.18837e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 10:00,1,1,4,10,0,2,80,0,0,1.28879e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,2,80,0,0,1.14711e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,1,79,0,0,1.18436e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,3,63,0,0,1.19568e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2,62,0,0,1.2216e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,1,67,0,0,1.28879e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,1,67,0,0,1.28879e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,0,72,0,0,1.27016e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,-1,78,0,0,1.62597e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-2,71,0,0,1.62597e+07,19.7642,19.7642,19.7642,19.7642,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-4,71,25167.8,0,1.62855e+07,19.7599,19.7599,20.7083,19.7599,0.000138942,0,3966.69,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,1.62597e+07,19.7472,19.7472,19.7472,19.7472,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,1.62597e+07,19.7472,19.7472,19.7472,19.7472,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,209621,0,1.64966e+07,19.5165,19.5165,21.6524,19.5165,0.00574026,0,192648,0
01/02/2009 00:00,1,2,5,0,0,-7,84,330712,0,1.66353e+07,18.7317,18.7317,21.6524,18.7317,0.00941908,0,414174,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,1.88896e+07,18.3908,18.3908,18.3908,18.3908,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,1.88896e+07,18.3908,18.3908,18.3908,18.3908,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,1.88896e+07,18.3908,18.3908,18.3908,18.3908,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,0,0,1.88896e+07,18.3908,18.3908,18.3908,18.3908,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-12,91,0,0,1.88896e+07,18.3908,18.3908,18.3908,18.3908,0,0,0,0
01/02/2009 06:00,1,2,5,6,0,-15,83,190609,0,2.14204e+07,18.2386,18.2386,21.6524,18.2386,0.00515039,0,264730,0
01/02/2009 07:00,1,2,5,7,0,-14,83,2.30227e+07,0,4.93671e+07,17.2799,17.2799,21.6524,17.2799,0.850094,0,5.5954e+07,0
01/02/2009 08:00,1,2,5,8,0,-13,83,1.85352e+07,0,5.07412e+07,17.3176,17.3176,21.6524,17.3176,0.9419,0,6.14862e+07,0
01/02/2009 09:00,1,2,5,9,0,-11,84,1.18935e+07,0,6.85848e+07,17.3352,17.3352,21.6524,17.3352,0.570473,0,3.70885e+07,0
01/02/2009 10:00,1,2,5,10,0,-7,64,9.01968e+06,0,6.62888e+07,17.3672,17.3672,21.6524,17.3672,0.418829,0,2.70274e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,7.57231e+06,0,6.413e+07,17.3778,17.3778,21.6524,17.3778,0.345668,0,2.22512e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,5.21574e+06,0,5.73053e+07,17.3839,17.3839,21.6524,17.3839,0.230264,0,1.48014e+07,0
01/02/2009 13:00,1,2,5,13,0,-5,54,5.90975e+06,0,5.33539e+07,17.3891,17.3891,21.6524,17.3891,0.263097,0,1.68912e+07,0
01/02/2009 14:00,1,2,5,14,0,-5,54,4.06095e+06,0,6.05555e+07,17.3921,17.3921,21.6524,17.3921,0.177935,0,1.14155e+07,0
01/02/2009 15:00,1,2,5,15,0,-6,77,2.19079e+06,0,5.27036e+07,17.3894,17.3894,21.6524,17.3894,0.0937869,0,6.02077e+06,0
01/02/2009 16:00,1,2,5,16,0,-7,92,2.95373e+06,0,5.97681e+07,17.3822,17.3822,21.6524,17.3822,0.125894,0,8.09566e+06,0
01/02/2009 17:00,1,2,5,17,0,-8,92,2.28846e+06,0,5.80266e+07,17.372,17.372,21.6524,17.372,0.095178,0,6.13506e+06,0
