Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,1.26492e+07,15.3758,15.3758,15.3758,15.3758,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,56031.5,0,1.27092e+07,15.3769,15.3769,18.388,15.3769,0.0011301,0,51264,0
01/01/2009 03:00,1,1,4,3,0,-4,77,75290.8,0,1.27332e+07,15.3798,15.3798,18.388,15.3798,0.00250246,0,113408,0
01/01/2009 04:00,1,1,4,4,0,-2,78,48667.3,0,1.27e+07,15.3821,15.3821,18.388,15.3821,0.0006159,0,27890.6,0
01/01/2009 05:00,1,1,4,5,0,-2,85,267946,0,1.29551e+07,15.3888,15.3888,18.388,15.3888,0.0108219,0,488963,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,1.26492e+07,15.3943,15.3943,15.3943,15.3943,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,135063,0,1.3913e+07,15.3973,15.3973,18.388,15.3973,0.00428871,0,193229,0
01/01/2009 08:00,1,1,4,8,0,-1,100,89048.3,0,1.04922e+07,15.402,15.402,18.388,15.402,0.00345689,0,155506,0
01/01/2009 09:00,1,1,4,9,0,0,92,0,0,9.68771e+06,15.4038,15.4038,15.4038,15.4038,0,0,0,0
01/01/2009 10:00,1,1,4,10,0,2,80,0,0,1.03911e+07,15.4038,15.4038,15.4038,15.4038,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,2,80,0,0,9.39867e+06,15.4038,15.4038,15.4038,15.4038,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,1,79,0,0,9.65957e+06,15.4038,15.4038,15.4038,15.4038,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,3,63,0,0,9.73886e+06,15.4038,15.4038,15.4038,15.4038,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2,62,0,0,9.92047e+06,15.4038,15.4038,15.4038,15.4038,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,1,67,0,0,1.03911e+07,15.4038,15.4038,15.4038,15.4038,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,1,67,0,0,1.03911e+07,15.4038,15.4038,15.4038,15.4038,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,0,72,0,0,1.02607e+07,15.4038,15.4038,15.4038,15.4038,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,-1,78,0,0,1.37629e+07,15.4038,15.4038,15.4038,15.4038,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-2,71,0,0,1.37629e+07,15.4038,15.4038,15.4038,15.4038,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-4,71,516926,0,1.43806e+07,15.4023,15.4023,18.388,15.4023,0.0287173,0,1.29178e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,293902,0,1.41016e+07,15.3992,15.3992,18.388,15.3992,0.0127712,0,575037,0
01/01/2009 22:00,1,1,4,22,0,-6,100,164947,0,1.39488e+07,15.3987,15.3987,18.388,15.3987,0.00600815,0,270571,0
