Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,1.26791e+07,21.5889,21.5889,21.5889,21.5889,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,57042.6,0,1.27403e+07,21.5897,21.5897,23.931,21.5897,0.00148484,0,52319.4,0
01/01/2009 03:00,1,1,4,3,0,-4,77,75387.8,0,1.27635e+07,21.5917,21.5917,23.931,21.5917,0.00323622,0,113935,0
01/01/2009 04:00,1,1,4,4,0,-2,78,49842.9,0,1.27312e+07,21.5932,21.5932,23.931,21.5932,0.000811413,0,28547.9,0
01/01/2009 05:00,1,1,4,5,0,-2,85,266552,0,1.29847e+07,21.5978,21.5978,23.931,21.5978,0.0139958,0,491445,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,1.26791e+07,21.6016,21.6016,21.6016,21.6016,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,135373,0,1.39436e+07,21.6036,21.6036,23.931,21.6036,0.00554249,0,194133,0
01/01/2009 08:00,1,1,4,8,0,-1,100,88446.5,0,1.05218e+07,21.6069,21.6069,23.931,21.6069,0.00444917,0,155620,0
01/01/2009 09:00,1,1,4,9,0,0,92,0,0,9.714e+06,21.6081,21.6081,21.6081,21.6081,0,0,0,0
01/01/2009 10:00,1,1,4,10,0,2,80,0,0,1.0421e+07,21.6081,21.6081,21.6081,21.6081,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,2,80,0,0,9.42347e+06,21.6081,21.6081,21.6081,21.6081,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,1,79,0,0,9.68571e+06,21.6081,21.6081,21.6081,21.6081,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,3,63,0,0,9.76541e+06,21.6081,21.6081,21.6081,21.6081,0,0,0,0
