Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,238411,0,8.94302e+06,20.9186,20.9186,24.8547,20.9186,0.00840213,0,497728,0
01/01/2009 02:00,1,1,4,2,0,-3,77,656716,0,9.44981e+06,20.9402,20.9402,24.8547,20.9402,0.0311246,0,1.83365e+06,0
01/01/2009 03:00,1,1,4,3,0,-4,77,736508,0,9.5479e+06,20.9431,20.9431,24.8547,20.9431,0.0359637,0,2.11715e+06,0
01/01/2009 04:00,1,1,4,4,0,-2,78,629893,0,9.41639e+06,20.9501,20.9501,24.8547,20.9501,0.0294676,0,1.73166e+06,0
01/01/2009 05:00,1,1,4,5,0,-2,85,1.03272e+06,0,9.91206e+06,20.9554,20.9554,24.8547,20.9554,0.0535399,0,3.14199e+06,0
01/01/2009 06:00,1,1,4,6,0,-1,92,437679,0,9.17986e+06,20.9615,20.9615,24.8547,20.9615,0.0180378,0,1.05688e+06,0
01/01/2009 07:00,1,1,4,7,0,-1,100,896778,0,1.08579e+07,20.9651,20.9651,24.8547,20.9651,0.0452875,0,2.6511e+06,0
01/01/2009 08:00,1,1,4,8,0,-1,100,629230,0,7.1572e+06,20.9641,20.9641,24.8547,20.9641,0.0294457,0,1.72417e+06,0
01/01/2009 09:00,1,1,4,9,0,0,92,300207,0,6.543e+06,20.9678,20.9678,24.8547,20.9678,0.0137177,0,802465,0
01/01/2009 10:00,1,1,4,10,0,2,80,249166,0,6.70434e+06,20.9765,20.9765,24.8547,20.9765,0.0106621,0,622319,0
01/01/2009 11:00,1,1,4,11,0,2,80,159845,0,6.27817e+06,20.9824,20.9824,24.8547,20.9824,0.00544493,0,317322,0
01/01/2009 12:00,1,1,4,12,0,1,79,282695,0,6.51247e+06,20.9822,20.9822,24.8547,20.9822,0.0126824,0,739150,0
01/01/2009 13:00,1,1,4,13,0,3,63,39317.2,0,6.24573e+06,20.9814,20.9814,24.8547,20.9814,0.000220442,0,12850.3,0
01/01/2009 14:00,1,1,4,14,0,2,62,180929,0,6.47047e+06,20.9829,20.9829,24.8547,20.9829,0.00667919,0,389202,0
01/01/2009 15:00,1,1,4,15,0,1,67,342181,0,6.81551e+06,20.9834,20.9834,24.8547,20.9834,0.0153072,0,891837,0
01/01/2009 16:00,1,1,4,16,0,1,67,212926,0,6.65987e+06,20.9843,20.9843,24.8547,20.9843,0.00855565,0,498357,0
01/01/2009 17:00,1,1,4,17,0,0,72,191138,0,6.59336e+06,20.9778,20.9778,24.8547,20.9778,0.00773538,0,451341,0
01/01/2009 18:00,1,1,4,18,0,-1,78,430671,0,1.02935e+07,20.969,20.969,24.8547,20.969,0.0197258,0,1.15356e+06,0
01/01/2009 19:00,1,1,4,19,0,-2,71,521279,0,1.04052e+07,20.965,20.965,24.8547,20.965,0.0251149,0,1.47022e+06,0
01/01/2009 20:00,1,1,4,20,0,-4,71,1.3084e+06,0,1.13685e+07,20.9456,20.9456,24.8547,20.9456,0.0705421,0,4.15013e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,974641,0,1.09566e+07,20.9341,20.9341,24.8547,20.9341,0.0504125,0,2.97457e+06,0
01/01/2009 22:00,1,1,4,22,0,-6,100,860831,0,1.08164e+07,20.9265,20.9265,24.8547,20.9265,0.0436354,0,2.57974e+06,0
01/01/2009 23:00,1,1,4,23,0,-7,84,1.70549e+06,0,1.18611e+07,20.9116,20.9116,24.8547,20.9116,0.0954481,0,5.66432e+06,0
01/02/2009 00:00,1,2,5,0,0,-7,84,1.79626e+06,0,1.19735e+07,20.9082,20.9082,24.8547,20.9082,0.101088,0,6.00414e+06,0
01/02/2009 01:00,1,2,5,1,0,-9,84,174674,0,1.26085e+07,20.9112,20.9112,24.8547,20.9112,0.00474452,0,281589,0
01/02/2009 02:00,1,2,5,2,0,-10,91,261830,0,1.27161e+07,20.9136,20.9136,24.8547,20.9136,0.00993762,0,589438,0
01/02/2009 03:00,1,2,5,3,0,-10,91,342385,0,1.28076e+07,20.9118,20.9118,24.8547,20.9118,0.0127273,0,755260,0
01/02/2009 04:00,1,2,5,4,0,-11,91,1.10738e+06,0,1.37516e+07,20.8854,20.8854,24.8547,20.8854,0.0591294,0,3.53233e+06,0
01/02/2009 05:00,1,2,5,5,0,-12,91,1.45032e+06,0,1.41769e+07,20.8668,20.8668,24.8547,20.8668,0.0804521,0,4.82865e+06,0
01/02/2009 06:00,1,2,5,6,0,-15,83,2.03804e+06,0,1.54271e+07,20.8388,20.8388,24.8547,20.8388,0.118123,0,7.13937e+06,0
01/02/2009 07:00,1,2,5,7,0,-14,83,3.53518e+07,0,5.34884e+07,21.0731,21.0731,24.8547,21.0731,1.05722,0,6.01836e+07,0
01/02/2009 08:00,1,2,5,8,0,-13,83,4.05442e+07,0,5.74437e+07,21.1275,21.1275,24.8547,21.1275,1.10007,0,6.17063e+07,0
01/02/2009 09:00,1,2,5,9,0,-11,84,2.52306e+07,0,5.24416e+07,21.1297,21.1297,24.8547,21.1297,0.999978,0,5.60592e+07,0
01/02/2009 10:00,1,2,5,10,0,-7,64,1.71664e+07,0,4.4422e+07,21.1703,21.1703,24.8547,21.1703,0.937652,0,5.19923e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,1.44468e+07,0,4.13412e+07,21.1823,21.1823,24.8547,21.1823,0.865022,0,4.78089e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,1.12267e+07,0,3.66334e+07,21.1827,21.1827,24.8547,21.1827,0.704067,0,3.89083e+07,0
01/02/2009 13:00,1,2,5,13,0,-5,54,1.14484e+07,0,3.52529e+07,21.1927,21.1927,24.8547,21.1927,0.717829,0,3.95614e+07,0
01/02/2009 14:00,1,2,5,14,0,-5,54,1.01311e+07,0,3.62627e+07,21.1951,21.1951,24.8547,21.1951,0.624256,0,3.43813e+07,0
01/02/2009 15:00,1,2,5,15,0,-6,77,7.64017e+06,0,3.19044e+07,21.1825,21.1825,24.8547,21.1825,0.461049,0,2.54804e+07,0
