Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,1.14558e+07,23.2383,23.2383,23.2383,23.2383,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,213599,0,1.17088e+07,23.2401,23.2401,24.1869,23.2401,0.0232456,0,331170,0
01/01/2009 03:00,1,1,4,3,0,-4,77,277336,0,1.17977e+07,23.2428,23.2428,24.1869,23.2428,0.0380114,0,539955,0
01/01/2009 04:00,1,1,4,4,0,-2,78,197496,0,1.16865e+07,23.2447,23.2447,24.1869,23.2447,0.0195762,0,277516,0
01/01/2009 05:00,1,1,4,5,0,-2,85,535819,0,1.21402e+07,23.247,23.247,24.1869,23.247,0.0876623,0,1.2397e+06,0
01/01/2009 06:00,1,1,4,6,0,-1,92,53495.1,0,1.15146e+07,23.2482,23.2482,24.1869,23.2482,0.00317487,0,44841,0
01/01/2009 07:00,1,1,4,7,0,-1,100,357379,0,1.30221e+07,23.2495,23.2495,24.1869,23.2495,0.0560689,0,790827,0
01/01/2009 08:00,1,1,4,8,0,-1,100,239071,0,9.49892e+06,23.2505,23.2505,24.1869,23.2505,0.0367363,0,517583,0
01/01/2009 09:00,1,1,4,9,0,0,92,68163.2,0,8.71715e+06,23.251,23.251,24.1869,23.251,0.00648413,0,91314,0
01/01/2009 10:00,1,1,4,10,0,2,80,46100.7,0,9.24626e+06,23.2513,23.2513,24.1869,23.2513,0.00146842,0,20670.6,0
01/01/2009 11:00,1,1,4,11,0,2,80,0,0,8.40805e+06,23.2514,23.2514,23.2514,23.2514,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,1,79,0,0,8.61563e+06,23.2514,23.2514,23.2514,23.2514,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,3,63,0,0,8.67872e+06,23.2514,23.2514,23.2514,23.2514,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2,62,0,0,8.82321e+06,23.2514,23.2514,23.2514,23.2514,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,1,67,53792.1,0,9.2569e+06,23.2516,23.2516,24.1869,23.2516,0.00321176,0,45198.2,0
01/01/2009 16:00,1,1,4,16,0,1,67,0,0,9.19767e+06,23.2518,23.2518,23.2518,23.2518,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,0,72,0,0,9.09388e+06,23.2518,23.2518,23.2518,23.2518,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,-1,78,41720.6,0,1.26123e+07,23.2517,23.2517,24.1869,23.2517,0.000672135,0,9457.39,0
01/01/2009 19:00,1,1,4,19,0,-2,71,164363,0,1.27671e+07,23.2517,23.2517,24.1869,23.2517,0.0196513,0,276523,0
01/01/2009 20:00,1,1,4,20,0,-4,71,771266,0,1.35912e+07,23.2485,23.2485,24.1869,23.2485,0.147682,0,2.08546e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,477201,0,1.31898e+07,23.2456,23.2456,24.1869,23.2456,0.0843159,0,1.19424e+06,0
01/01/2009 22:00,1,1,4,22,0,-6,100,393561,0,1.30735e+07,23.2444,23.2444,24.1869,23.2444,0.0650627,0,922707,0
01/01/2009 23:00,1,1,4,23,0,-7,84,1.18486e+06,0,1.41612e+07,23.2406,23.2406,24.1869,23.2406,0.24061,0,3.42599e+06,0
01/02/2009 00:00,1,2,5,0,0,-7,84,1.30678e+06,0,1.43315e+07,23.2385,23.2385,24.1869,23.2385,0.2695,0,3.8457e+06,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,1.51994e+07,23.2383,23.2383,23.2383,23.2383,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,1.51994e+07,23.2383,23.2383,23.2383,23.2383,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,1.51994e+07,23.2383,23.2383,23.2383,23.2383,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,512532,0,1.58534e+07,23.2373,23.2373,24.1869,23.2373,0.0835913,0,1.19431e+06,0
01/02/2009 05:00,1,2,5,5,0,-12,91,919052,0,1.64214e+07,23.2325,23.2325,24.1869,23.2325,0.179564,0,2.5787e+06,0
01/02/2009 06:00,1,2,5,6,0,-15,83,1.3993e+06,0,1.83873e+07,23.225,23.225,24.1869,23.225,0.295422,0,4.27558e+06,0
01/02/2009 07:00,1,2,5,7,0,-14,83,2.4671e+07,0,4.94643e+07,23.2868,23.2868,24.1869,23.2868,4.26752,0,5.78494e+07,0
01/02/2009 08:00,1,2,5,8,0,-13,83,2.80158e+07,0,5.5471e+07,23.2993,23.2993,24.1869,23.2993,4.93473,0,6.59033e+07,0
01/02/2009 09:00,1,2,5,9,0,-11,84,1.52521e+07,0,5.81668e+07,23.303,23.303,24.1869,23.303,3.7919,0,5.0429e+07,0
01/02/2009 10:00,1,2,5,10,0,-7,64,1.25262e+07,0,5.48444e+07,23.3115,23.3115,24.1869,23.3115,3.0097,0,3.96428e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,1.11279e+07,0,5.26033e+07,23.314,23.314,24.1869,23.314,2.6303,0,3.45471e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,8.69845e+06,0,4.69315e+07,23.3146,23.3146,24.1869,23.3146,2.00001,0,2.62494e+07,0
01/02/2009 13:00,1,2,5,13,0,-5,54,9.10937e+06,0,4.45027e+07,23.3164,23.3164,24.1869,23.3164,2.09998,0,2.75045e+07,0
01/02/2009 14:00,1,2,5,14,0,-5,54,7.53591e+06,0,4.78618e+07,23.3169,23.3169,24.1869,23.3169,1.70548,0,2.23245e+07,0
01/02/2009 15:00,1,2,5,15,0,-6,77,5.0792e+06,0,4.13128e+07,23.3154,23.3154,24.1869,23.3154,1.11975,0,1.46833e+07,0
01/02/2009 16:00,1,2,5,16,0,-7,92,6.00326e+06,0,4.60264e+07,23.3138,23.3138,24.1869,23.3138,1.33831,0,1.75805e+07,0
01/02/2009 17:00,1,2,5,17,0,-8,92,5.22163e+06,0,4.44143e+07,23.3124,23.3124,24.1869,23.3124,1.15306,0,1.51725e+07,0
01/02/2009 18:00,1,2,5,18,0,-8,92,8.14579e+06,0,3.87086e+07,23.3107,23.3107,24.1869,23.3107,1.86895,0,2.46399e+07,0
01/02/2009 19:00,1,2,5,19,0,-9,84,9.92442e+06,0,3.26118e+07,23.3083,23.3083,24.1869,23.3083,2.32778,0,3.07733e+07,0
01/02/2009 20:00,1,2,5,20,0,-11,84,0,0,1.87646e+07,23.3082,23.3082,23.3082,23.3082,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,-11,91,0,0,1.61833e+07,23.3082,23.3082,23.3082,23.3082,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,-11,91,0,0,1.61833e+07,23.3082,23.3082,23.3082,23.3082,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,-12,83,0,0,1.38601e+07,23.3082,23.3082,23.3082,23.3082,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-12,83,0,0,1.25695e+07,23.3082,23.3082,23.3082,23.3082,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-13,83,0,0,1.51994e+07,23.3082,23.3082,23.3082,23.3082,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,-13.2,79,0,0,1.51994e+07,23.3082,23.3082,23.3082,23.3082,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-13.6,77,0,0,1.51994e+07,23.3082,23.3082,23.3082,23.3082,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-14,76,0,0,1.51994e+07,23.3082,23.3082,23.3082,23.3082,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,-14,76,0,0,1.51994e+07,23.3082,23.3082,23.3082,23.3082,0,0,0,0
01/03/2009 06:00,1,3,6,6,0,-14,76,0,0,1.649e+07,23.3082,23.3082,23.3082,23.3082,0,0,0,0
01/03/2009 07:00,1,3,6,7,0,-14,76,1.91368e+07,0,4.24889e+07,23.2905,23.2905,24.1869,23.2905,3.41304,0,4.60695e+07,0
