Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,1.5875e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,1.5875e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,1.5875e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,1.5875e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,1.5875e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,1.5875e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,1.69887e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,0,0,1.36169e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 09:00,1,1,4,9,0,0,92,0,0,1.25249e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 10:00,1,1,4,10,0,2,80,0,0,1.36169e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,2,80,0,0,1.20762e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,1,79,0,0,1.24812e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,3,63,0,0,1.26043e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2,62,0,0,1.28863e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,1,67,0,0,1.36169e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,1,67,0,0,1.36169e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,0,72,0,0,1.34144e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,-1,78,0,0,1.69887e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-2,71,0,0,1.69887e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-4,71,0,0,1.69887e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,1.69887e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,1.69887e+07,19.1443,19.1443,19.1443,19.1443,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,58510.6,0,1.70555e+07,19.0786,19.0786,19.3866,19.0786,0.00188411,0,17469.1,0
01/02/2009 00:00,1,2,5,0,0,-7,84,108112,0,1.71113e+07,18.675,18.675,19.6288,18.675,0.00330333,0,47439.4,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,1.96186e+07,18.474,18.474,18.474,18.474,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,1.96186e+07,18.474,18.474,18.474,18.474,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,1.96186e+07,18.474,18.474,18.474,18.474,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,0,0,1.96186e+07,18.474,18.474,18.474,18.474,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-12,91,0,0,1.96186e+07,18.474,18.474,18.474,18.474,0,0,0,0
01/02/2009 06:00,1,2,5,6,0,-15,83,68997.4,0,2.22114e+07,18.3998,18.3998,19.6288,18.3998,0.00128284,0,23738,0
01/02/2009 07:00,1,2,5,7,0,-14,83,2.34897e+07,0,5.08442e+07,15.8085,15.8085,19.6288,15.8085,0.929796,0,5.32038e+07,0
01/02/2009 08:00,1,2,5,8,0,-13,83,1.81937e+07,0,5.21331e+07,15.8144,15.8144,19.6288,15.8144,1.01775,0,5.84797e+07,0
01/02/2009 09:00,1,2,5,9,0,-11,84,1.13456e+07,0,7.14269e+07,15.83,15.83,19.6288,15.83,0.598356,0,3.42409e+07,0
01/02/2009 10:00,1,2,5,10,0,-7,64,8.40454e+06,0,6.91472e+07,15.858,15.858,19.6288,15.858,0.428802,0,2.43571e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,6.93396e+06,0,6.69207e+07,15.8675,15.8675,19.6288,15.8675,0.347482,0,1.96878e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,4.57109e+06,0,5.97321e+07,15.8739,15.8739,19.6288,15.8739,0.220733,0,1.24852e+07,0
