Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,1.3143e+07,18.0612,18.0612,18.0612,18.0612,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,1.3143e+07,18.0612,18.0612,18.0612,18.0612,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,57226.8,0,1.32034e+07,18.0626,18.0626,23.8536,18.0626,0.000594213,0,51813.2,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,1.3143e+07,18.0639,18.0639,18.0639,18.0639,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,151887,0,1.33105e+07,18.0709,18.0709,23.8536,18.0709,0.00286012,0,249033,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,1.3143e+07,18.0775,18.0775,18.0775,18.0775,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,73433.4,0,1.43367e+07,18.0806,18.0806,23.8536,18.0806,0.00121031,0,105205,0
01/01/2009 08:00,1,1,4,8,0,-1,100,72533.7,0,1.09638e+07,18.0862,18.0862,23.8536,18.0862,0.00117876,0,102364,0
01/01/2009 09:00,1,1,4,9,0,0,92,0,0,1.0122e+07,18.0886,18.0886,18.0886,18.0886,0,0,0,0
01/01/2009 10:00,1,1,4,10,0,2,80,0,0,1.08849e+07,18.0886,18.0886,18.0886,18.0886,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,2,80,0,0,9.8085e+06,18.0886,18.0886,18.0886,18.0886,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,1,79,0,0,1.00915e+07,18.0886,18.0886,18.0886,18.0886,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,3,63,0,0,1.01775e+07,18.0886,18.0886,18.0886,18.0886,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2,62,0,0,1.03744e+07,18.0886,18.0886,18.0886,18.0886,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,1,67,0,0,1.08849e+07,18.0886,18.0886,18.0886,18.0886,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,1,67,0,0,1.08849e+07,18.0886,18.0886,18.0886,18.0886,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,0,72,0,0,1.07434e+07,18.0886,18.0886,18.0886,18.0886,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,-1,78,0,0,1.42567e+07,18.0886,18.0886,18.0886,18.0886,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-2,71,0,0,1.42567e+07,18.0886,18.0886,18.0886,18.0886,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-4,71,415876,0,1.47358e+07,18.092,18.092,23.8536,18.092,0.0114949,0,997118,0
01/01/2009 21:00,1,1,4,21,0,-5,84,214245,0,1.44908e+07,18.0949,18.0949,23.8536,18.0949,0.00362508,0,314328,0
01/01/2009 22:00,1,1,4,22,0,-6,100,83862.8,0,1.43494e+07,18.097,18.097,23.8536,18.097,0.00163188,0,141447,0
01/01/2009 23:00,1,1,4,23,0,-7,84,783874,0,1.51787e+07,18.0836,18.0836,23.8536,18.0836,0.0251834,0,2.18826e+06,0
01/02/2009 00:00,1,2,5,0,0,-7,84,935636,0,1.5358e+07,18.0643,18.0643,23.8536,18.0643,0.0302905,0,2.64045e+06,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,1.68866e+07,18.0612,18.0612,18.0612,18.0612,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,1.68866e+07,18.0612,18.0612,18.0612,18.0612,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,1.68866e+07,18.0612,18.0612,18.0612,18.0612,0,0,0,0
