Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,1.29287e+07,20.6448,20.6448,20.6448,20.6448,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,42790.8,0,1.2972e+07,20.6448,20.6448,21.8886,20.6448,0.000272674,0,5104.16,0
01/01/2009 03:00,1,1,4,3,0,-4,77,64590,0,1.30011e+07,20.6454,20.6454,21.8886,20.6454,0.00403324,0,75466.6,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,1.29287e+07,20.6458,20.6458,20.6458,20.6458,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,168943,0,1.31288e+07,20.6478,20.6478,21.8886,20.6478,0.0158716,0,296394,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,1.29287e+07,20.6496,20.6496,20.6496,20.6496,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,81167.5,0,1.41369e+07,20.6505,20.6505,21.8886,20.6505,0.00682539,0,127182,0
01/01/2009 08:00,1,1,4,8,0,-1,100,78653.8,0,1.07618e+07,20.652,20.652,21.8886,20.652,0.00640849,0,119268,0
01/01/2009 09:00,1,1,4,9,0,0,92,0,0,9.9335e+06,20.6527,20.6527,20.6527,20.6527,0,0,0,0
01/01/2009 10:00,1,1,4,10,0,2,80,0,0,1.06706e+07,20.6527,20.6527,20.6527,20.6527,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,2,80,0,0,9.63062e+06,20.6527,20.6527,20.6527,20.6527,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,1,79,0,0,9.90401e+06,20.6527,20.6527,20.6527,20.6527,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,3,63,0,0,9.9871e+06,20.6527,20.6527,20.6527,20.6527,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2,62,0,0,1.01774e+07,20.6527,20.6527,20.6527,20.6527,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,1,67,0,0,1.06706e+07,20.6527,20.6527,20.6527,20.6527,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,1,67,0,0,1.06706e+07,20.6527,20.6527,20.6527,20.6527,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,0,72,0,0,1.05339e+07,20.6527,20.6527,20.6527,20.6527,0,0,0,0
