year,Month,DayofWeek,Hour,minute,SiteOutdoorAirDrybulbTemperature,dew_point,SiteOutdoorAirRelativeHumidity,datetime,lpd_average,epd_average,HeatingElectricity,CoolingElectricity
1999,1,1,1,0,-3.0,-4.0,92.0,1/1/2017 0:00,9.4,12,900000.0,0.0
1999,1,1,2,0,-3.0,-6.0,77.0,1/1/2017 1:00,9.4,12,900000.0,0.0
1999,1,1,3,0,-4.0,-7.0,77.0,1/1/2017 2:00,9.4,12,900000.0,0.0
1999,1,1,4,0,-2.0,-5.0,78.0,1/1/2017 3:00,9.4,12,900000.0,0.0
1999,1,1,5,0,-2.0,-4.0,85.0,1/1/2017 4:00,9.4,12,900000.0,0.0
1999,1,1,6,0,-1.0,-2.0,92.0,1/1/2017 5:00,9.4,12,900000.0,0.0
1999,1,1,7,0,-1.0,-1.0,100.0,1/1/2017 6:00,9.4,12,7176438.0,0.0
1999,1,1,8,0,-1.0,-1.0,100.0,1/1/2017 7:00,9.4,12,10978291.0,0.0
1999,1,1,9,0,0.0,-1.0,92.0,1/1/2017 8:00,9.4,12,2778574.0,0.0
1999,1,1,10,0,2.0,-1.0,80.0,1/1/2017 9:00,9.4,12,939270.4,0.0
1999,1,1,11,0,2.0,-1.0,80.0,1/1/2017 10:00,9.4,12,919569.4,0.0
1999,1,1,12,0,1.0,-2.0,79.0,1/1/2017 11:00,9.4,12,919569.4,0.0
1999,1,1,13,0,3.0,-3.0,63.0,1/1/2017 12:00,9.4,12,1503960.0,0.0
1999,1,1,14,0,2.0,-4.0,62.0,1/1/2017 13:00,9.4,12,1749793.0,0.0
1999,1,1,15,0,1.0,-4.0,67.0,1/1/2017 14:00,9.4,12,2070238.0,0.0
1999,1,1,16,0,1.0,-4.0,67.0,1/1/2017 15:00,9.4,12,3432366.0,0.0
1999,1,1,17,0,0.0,-3.9,72.0,1/1/2017 16:00,9.4,12,3360454.0,0.0
1999,1,1,18,0,-1.0,-4.0,78.0,1/1/2017 17:00,9.4,12,3360454.0,0.0
1999,1,1,19,0,-2.0,-6.0,71.0,1/1/2017 18:00,9.4,12,3360454.0,0.0
1999,1,1,20,0,-4.0,-8.0,71.0,1/1/2017 19:00,9.4,12,900000.0,0.0
1999,1,1,21,0,-5.0,-7.0,84.0,1/1/2017 20:00,9.4,12,900000.0,0.0
1999,1,1,22,0,-6.0,-6.0,100.0,1/1/2017 21:00,9.4,12,900000.0,0.0
1999,1,1,23,0,-7.0,-9.0,84.0,1/1/2017 22:00,9.4,12,900000.0,0.0
1999,1,1,24,0,-7.0,-9.0,84.0,1/1/2017 23:00,9.4,12,900000.0,0.0
1999,1,2,1,0,-9.0,-11.0,84.0,1/2/2017 0:00,9.4,12,900000.0,0.0
1999,1,2,2,0,-10.0,-11.0,91.0,1/2/2017 1:00,9.4,12,900000.0,0.0
1999,1,2,3,0,-10.0,-11.0,91.0,1/2/2017 2:00,9.4,12,900000.0,0.0
1999,1,2,4,0,-11.0,-12.0,91.0,1/2/2017 3:00,9.4,12,900000.0,0.0
1999,1,2,5,0,-12.0,-13.0,91.0,1/2/2017 4:00,9.4,12,900000.0,0.0
1999,1,2,6,0,-15.0,-17.0,83.0,1/2/2017 5:00,9.4,12,900000.0,0.0
1999,1,2,7,0,-14.0,-16.0,83.0,1/2/2017 6:00,9.4,12,7345329.0,0.0
1999,1,2,8,0,-13.0,-15.0,83.0,1/2/2017 7:00,9.4,12,11159750.0,0.0
1999,1,2,9,0,-11.0,-13.0,84.0,1/2/2017 8:00,9.4,12,2582065.0,0.0
1999,1,2,10,0,-7.0,-12.0,64.0,1/2/2017 9:00,9.4,12,1749793.0,0.0
1999,1,2,11,0,-6.0,-12.0,59.0,1/2/2017 10:00,9.4,12,1749793.0,0.0
1999,1,2,12,0,-6.0,-12.0,59.0,1/2/2017 11:00,9.4,12,1749793.0,0.0
1999,1,2,13,0,-5.0,-12.0,54.0,1/2/2017 12:00,9.4,12,1749793.0,0.0
1999,1,2,14,0,-5.0,-12.0,54.0,1/2/2017 13:00,9.4,12,1749793.0,0.0
1999,1,2,15,0,-6.0,-9.0,77.0,1/2/2017 14:00,9.4,12,1994066.4,0.0
1999,1,2,16,0,-7.0,-8.0,92.0,1/2/2017 15:00,9.4,12,2305658.0,71737.1
1999,1,2,17,0,-8.0,-9.0,92.0,1/2/2017 16:00,9.4,12,2305658.0,71737.1
1999,1,2,18,0,-8.0,-9.0,92.0,1/2/2017 17:00,9.4,12,2305658.0,71737.1
1999,1,2,19,0,-9.0,-11.0,84.0,1/2/2017 18:00,9.4,12,2285957.0,0.0
1999,1,2,20,0,-11.0,-13.0,84.0,1/2/2017 19:00,9.4,12,900000.0,0.0
1999,1,2,21,0,-11.0,-12.0,91.0,1/2/2017 20:00,9.4,12,900000.0,0.0
1999,1,2,22,0,-11.0,-12.0,91.0,1/2/2017 21:00,9.4,12,900000.0,0.0
1999,1,2,23,0,-12.0,-14.0,83.0,1/2/2017 22:00,9.4,12,900000.0,0.0
1999,1,2,24,0,-12.0,-14.0,83.0,1/2/2017 23:00,9.4,12,900000.0,0.0
1999,1,3,1,0,-13.0,-15.0,83.0,1/3/2017 0:00,9.4,12,900000.0,0.0
1999,1,3,2,0,-13.2,-15.7,79.0,1/3/2017 1:00,9.4,12,900000.0,0.0
1999,1,3,3,0,-13.6,-16.4,77.0,1/3/2017 2:00,9.4,12,900000.0,0.0
1999,1,3,4,0,-14.0,-17.0,76.0,1/3/2017 3:00,9.4,12,900000.0,0.0
1999,1,3,5,0,-14.0,-17.0,76.0,1/3/2017 4:00,9.4,12,900000.0,0.0
1999,1,3,6,0,-14.0,-17.0,76.0,1/3/2017 5:00,9.4,12,900000.0,0.0
1999,1,3,7,0,-14.0,-17.0,76.0,1/3/2017 6:00,9.4,12,900000.0,0.0
1999,1,3,8,0,-17.0,-19.0,83.0,1/3/2017 7:00,9.4,12,900000.0,0.0
1999,1,3,9,0,-13.0,-17.0,69.0,1/3/2017 8:00,9.4,12,1933174.0,0.0
1999,1,3,10,0,-11.0,-15.0,70.0,1/3/2017 9:00,9.4,12,1689441.0,0.0
1999,1,3,11,0,-9.0,-16.0,53.0,1/3/2017 10:00,9.4,12,1689441.0,0.0
1999,1,3,12,0,-8.0,-16.0,49.0,1/3/2017 11:00,9.4,12,1804756.0,17682.3
1999,1,3,13,0,-7.0,-17.0,41.0,1/3/2017 12:00,9.4,12,1895550.0,0.0
1999,1,3,14,0,-7.1,-16.5,43.0,1/3/2017 13:00,9.4,12,2071993.0,0.0
1999,1,3,15,0,-7.8,-15.9,48.0,1/3/2017 14:00,9.4,12,2125201.0,7357.4800000000005
1999,1,3,16,0,-9.0,-15.0,58.0,1/3/2017 15:00,9.4,12,3372014.0,0.0
1999,1,3,17,0,-9.0,-15.0,58.0,1/3/2017 16:00,9.4,12,3372014.0,0.0
1999,1,3,18,0,-9.0,-15.0,58.0,1/3/2017 17:00,9.4,12,3372014.0,0.0
1999,1,3,19,0,-9.0,-15.0,58.0,1/3/2017 18:00,9.4,12,3372014.0,0.0
1999,1,3,20,0,-9.0,-16.0,53.0,1/3/2017 19:00,9.4,12,900000.0,0.0
1999,1,3,21,0,-8.0,-14.0,58.0,1/3/2017 20:00,9.4,12,900000.0,0.0
