Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,902740,0,13.5505,13.5505,17.8912,13.5505,0.0351969,0,2.3027e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,764868,0,13.5505,13.5505,17.8912,13.5505,0.0286922,0,1.87718e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,410297,0,13.5503,13.5503,17.8912,13.5503,0.0140483,0,919149,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,929339,0,13.5508,13.5508,17.8912,13.5508,0.0363944,0,2.38089e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.06811e+06,0,13.5506,13.5506,17.8912,13.5506,0.0429175,0,2.8078e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.21283e+06,0,13.5502,13.5502,17.8912,13.5502,0.0497672,0,3.25617e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.01745e+06,0,13.5502,13.5502,17.8912,13.5502,0.0405137,0,2.65074e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.28746e+06,0,13.5502,13.5502,17.8912,13.5502,0.0532961,0,3.48707e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.28688e+06,0,13.5502,13.5502,17.8912,13.5502,0.0532712,0,3.48545e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,336403,0,13.5502,13.5502,17.8912,13.5502,0.0106018,0,693656,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,994458,0,13.5506,13.5506,17.8912,13.5506,0.0394882,0,2.58344e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,698875,0,13.5503,13.5503,17.8912,13.5503,0.0275786,0,1.80438e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,429194,0,13.5502,13.5502,17.8912,13.5502,0.0149218,0,976306,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,13.5502,13.5502,13.5502,13.5502,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,13.5502,13.5502,13.5502,13.5502,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,13.5502,13.5502,13.5502,13.5502,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,13.5502,13.5502,13.5502,13.5502,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,13.5502,13.5502,13.5502,13.5502,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,102038,0,13.5503,13.5503,17.8912,13.5503,0.00231279,0,151320,0
