Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,887861,0,17.0383,17.0383,21.6302,17.0383,0.0336178,0,2.3248e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,753242,0,17.0382,17.0382,21.6302,17.0382,0.0274053,0,1.89522e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,405238,0,17.0381,17.0381,21.6302,17.0381,0.0134182,0,927970,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,913780,0,17.0386,17.0386,21.6302,17.0386,0.0347615,0,2.40375e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.04926e+06,0,17.0383,17.0383,21.6302,17.0383,0.0409925,0,2.83477e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.19058e+06,0,17.038,17.038,21.6302,17.038,0.0475344,0,3.28739e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,999777,0,17.038,17.038,21.6302,17.038,0.0386963,0,2.67618e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.26346e+06,0,17.038,17.038,21.6302,17.038,0.0509052,0,3.52053e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.2629e+06,0,17.038,17.038,21.6302,17.038,0.0508814,0,3.51888e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,333121,0,17.038,17.038,21.6302,17.038,0.0101262,0,700313,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,977392,0,17.0383,17.0383,21.6302,17.0383,0.0377171,0,2.60826e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,686938,0,17.0381,17.0381,21.6302,17.0381,0.0263414,0,1.8217e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,423672,0,17.038,17.038,21.6302,17.038,0.0142524,0,985673,0
