Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,899135,0,14.9351,14.9351,18.76,14.9351,0.0399701,0,2.30335e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,762045,0,14.9351,14.9351,18.76,14.9351,0.0325834,0,1.87771e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,409061,0,14.9349,14.9349,18.76,14.9349,0.0159535,0,919407,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,925570,0,14.9354,14.9354,18.76,14.9354,0.04133,0,2.38156e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.06355e+06,0,14.9352,14.9352,18.76,14.9352,0.0487379,0,2.8086e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.20745e+06,0,14.9349,14.9349,18.76,14.9349,0.0565163,0,3.25708e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.01317e+06,0,14.9349,14.9349,18.76,14.9349,0.046008,0,2.65149e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.28166e+06,0,14.9349,14.9349,18.76,14.9349,0.0605239,0,3.48805e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.28108e+06,0,14.9349,14.9349,18.76,14.9349,0.0604956,0,3.48642e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,335595,0,14.9349,14.9349,18.76,14.9349,0.0120396,0,693852,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,990327,0,14.9352,14.9352,18.76,14.9352,0.0448435,0,2.58417e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,695985,0,14.9349,14.9349,18.76,14.9349,0.0313186,0,1.80489e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,427846,0,14.9349,14.9349,18.76,14.9349,0.0169454,0,976580,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,14.9349,14.9349,14.9349,14.9349,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,14.9349,14.9349,14.9349,14.9349,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,14.9349,14.9349,14.9349,14.9349,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,14.9349,14.9349,14.9349,14.9349,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,14.9349,14.9349,14.9349,14.9349,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,102001,0,14.9349,14.9349,18.76,14.9349,0.00262645,0,151363,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,159165,0,14.9349,14.9349,18.76,14.9349,0.00467427,0,269380,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,249096,0,14.9349,14.9349,18.76,14.9349,0.00944664,0,544416,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,681331,0,14.9352,14.9352,18.76,14.9352,0.030556,0,1.76082e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,527399,0,14.935,14.935,18.76,14.935,0.0222858,0,1.28431e+06,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,581406,0,14.9349,14.9349,18.76,14.9349,0.0251776,0,1.451e+06,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,401618,0,14.9349,14.9349,18.76,14.9349,0.0155608,0,896784,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,587711,0,14.9349,14.9349,18.76,14.9349,0.0255061,0,1.46995e+06,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,583910,0,14.9348,14.9348,18.76,14.9348,0.0252997,0,1.45805e+06,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,14.9348,14.9348,14.9348,14.9348,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,428312,0,14.9368,14.9368,18.76,14.9368,0.0169548,0,976629,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,760038,0,14.9372,14.9372,18.76,14.9372,0.0324192,0,1.86723e+06,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,1.96365e+07,0,15.2685,15.2685,18.76,15.2685,0.756811,0,3.9965e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.93545e+07,0,15.3232,15.3232,18.76,15.3232,0.994369,0,5.14842e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,1.43069e+07,0,15.3232,15.3232,18.76,15.3232,0.793525,0,4.10854e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,1.16558e+07,0,15.3232,15.3232,18.76,15.3232,0.629382,0,3.25869e+07,0
01/02/2009 11:00,1,2,5,11,0,-5,81,9.74233e+06,0,15.3232,15.3232,18.76,15.3232,0.515393,0,2.66852e+07,0
01/02/2009 12:00,1,2,5,12,0,-3.9,81,8.78675e+06,0,15.3232,15.3232,18.76,15.3232,0.459542,0,2.37935e+07,0
01/02/2009 13:00,1,2,5,13,0,-2.2,78,9.01264e+06,0,15.3231,15.3231,18.76,15.3231,0.472428,0,2.44609e+07,0
01/02/2009 14:00,1,2,5,14,0,-1.7,72,7.07885e+06,0,15.3231,15.3231,18.76,15.3231,0.362253,0,1.87565e+07,0
01/02/2009 15:00,1,2,5,15,0,-1.7,78,6.17185e+06,0,15.3231,15.3231,18.76,15.3231,0.31188,0,1.61483e+07,0
01/02/2009 16:00,1,2,5,16,0,-1.7,82,5.75921e+06,0,15.323,15.323,18.76,15.323,0.289428,0,1.49862e+07,0
01/02/2009 17:00,1,2,5,17,0,-1.7,82,5.37936e+06,0,15.323,15.323,18.76,15.323,0.268917,0,1.39243e+07,0
01/02/2009 18:00,1,2,5,18,0,0,75,7.47031e+06,0,15.323,15.323,18.76,15.323,0.384341,0,1.99011e+07,0
01/02/2009 19:00,1,2,5,19,0,1.1,73,8.52986e+06,0,15.3229,15.3229,18.76,15.3229,0.444579,0,2.30203e+07,0
01/02/2009 20:00,1,2,5,20,0,1.7,73,0,0,15.3229,15.3229,15.3229,15.3229,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,2.2,73,0,0,15.3229,15.3229,15.3229,15.3229,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,3.9,65,0,0,15.3229,15.3229,15.3229,15.3229,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,3.3,70,0,0,15.3229,15.3229,15.3229,15.3229,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-1.7,96,0,0,15.3229,15.3229,15.3229,15.3229,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-0.6,96,0,0,15.3229,15.3229,15.3229,15.3229,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,0.6,89,0,0,15.3229,15.3229,15.3229,15.3229,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-1.1,96,0,0,15.3229,15.3229,15.3229,15.3229,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-6.7,92,0,0,15.3229,15.3229,15.3229,15.3229,0,0,0,0
