Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,911630,0,12.9215,12.9215,15.8405,12.9215,0.0517213,0,2.27592e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,771844,0,12.9215,12.9215,15.8405,12.9215,0.0421624,0,1.85534e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,413371,0,12.9213,12.9213,15.8405,12.9213,0.0206438,0,908460,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,938630,0,12.9217,12.9217,15.8405,12.9217,0.0534811,0,2.3532e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.07934e+06,0,12.9215,12.9215,15.8405,12.9215,0.0630661,0,2.77513e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.22605e+06,0,12.9213,12.9213,15.8405,12.9213,0.0731322,0,3.21831e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.02798e+06,0,12.9213,12.9213,15.8405,12.9213,0.059534,0,2.61992e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.30172e+06,0,12.9213,12.9213,15.8405,12.9213,0.0783177,0,3.44653e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.30113e+06,0,12.9213,12.9213,15.8405,12.9213,0.0782812,0,3.44492e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,338430,0,12.9213,12.9213,15.8405,12.9213,0.0155791,0,685589,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,1.00464e+06,0,12.9216,12.9216,15.8405,12.9216,0.0580269,0,2.55337e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,705998,0,12.9214,12.9214,15.8405,12.9214,0.0405262,0,1.7834e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,432540,0,12.9213,12.9213,15.8405,12.9213,0.0219273,0,964953,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,12.9213,12.9213,12.9213,12.9213,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,12.9213,12.9213,12.9213,12.9213,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,12.9213,12.9213,12.9213,12.9213,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,12.9213,12.9213,12.9213,12.9213,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,12.9213,12.9213,12.9213,12.9213,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,102153,0,12.9214,12.9214,15.8405,12.9214,0.00339858,0,149559,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,159804,0,12.9214,12.9214,15.8405,12.9214,0.0060485,0,266173,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,251554,0,12.9213,12.9213,15.8405,12.9213,0.012224,0,537936,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,691033,0,12.9216,12.9216,15.8405,12.9216,0.0395391,0,1.73983e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,534063,0,12.9214,12.9214,15.8405,12.9214,0.0288375,0,1.26901e+06,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,589148,0,12.9213,12.9213,15.8405,12.9213,0.0325798,0,1.43373e+06,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,405776,0,12.9213,12.9213,15.8405,12.9213,0.0201355,0,886106,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,595582,0,12.9213,12.9213,15.8405,12.9213,0.0330047,0,1.45245e+06,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,591707,0,12.9213,12.9213,15.8405,12.9213,0.0327377,0,1.44069e+06,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,12.9213,12.9213,12.9213,12.9213,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,433020,0,12.9229,12.9229,15.8405,12.9229,0.0219402,0,964994,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,769818,0,12.9232,12.9232,15.8405,12.9232,0.0419492,0,1.84489e+06,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,2.02037e+07,0,13.189,13.189,15.8405,13.189,0.97495,0,3.91089e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,2.02001e+07,0,13.2326,13.2326,15.8405,13.2326,1.27837,0,5.02545e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,1.45806e+07,0,13.2326,13.2326,15.8405,13.2326,1.02938,0,4.04663e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,1.18854e+07,0,13.2325,13.2325,15.8405,13.2325,0.816461,0,3.20965e+07,0
01/02/2009 11:00,1,2,5,11,0,-5,81,9.93806e+06,0,13.2325,13.2325,15.8405,13.2325,0.668594,0,2.62838e+07,0
01/02/2009 12:00,1,2,5,12,0,-3.9,81,8.96511e+06,0,13.2325,13.2325,15.8405,13.2325,0.596149,0,2.34359e+07,0
01/02/2009 13:00,1,2,5,13,0,-2.2,78,9.19532e+06,0,13.2325,13.2325,15.8405,13.2325,0.612869,0,2.40934e+07,0
01/02/2009 14:00,1,2,5,14,0,-1.7,72,7.22477e+06,0,13.2325,13.2325,15.8405,13.2325,0.469944,0,1.84747e+07,0
01/02/2009 15:00,1,2,5,15,0,-1.7,78,6.29987e+06,0,13.2325,13.2325,15.8405,13.2325,0.404601,0,1.5906e+07,0
01/02/2009 16:00,1,2,5,16,0,-1.7,82,5.87882e+06,0,13.2324,13.2324,15.8405,13.2324,0.375479,0,1.47614e+07,0
01/02/2009 17:00,1,2,5,17,0,-1.7,82,5.49111e+06,0,13.2324,13.2324,15.8405,13.2324,0.348871,0,1.37156e+07,0
01/02/2009 18:00,1,2,5,18,0,0,75,7.62414e+06,0,13.2324,13.2324,15.8405,13.2324,0.498623,0,1.96031e+07,0
01/02/2009 19:00,1,2,5,19,0,1.1,73,8.70404e+06,0,13.2323,13.2323,15.8405,13.2323,0.576778,0,2.26759e+07,0
01/02/2009 20:00,1,2,5,20,0,1.7,73,0,0,13.2323,13.2323,13.2323,13.2323,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,2.2,73,0,0,13.2323,13.2323,13.2323,13.2323,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,3.9,65,0,0,13.2323,13.2323,13.2323,13.2323,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,3.3,70,0,0,13.2323,13.2323,13.2323,13.2323,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-1.7,96,0,0,13.2323,13.2323,13.2323,13.2323,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-0.6,96,0,0,13.2323,13.2323,13.2323,13.2323,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,0.6,89,0,0,13.2323,13.2323,13.2323,13.2323,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-1.1,96,0,0,13.2323,13.2323,13.2323,13.2323,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-6.7,92,0,0,13.2323,13.2323,13.2323,13.2323,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,-6.1,92,0,0,13.2323,13.2323,13.2323,13.2323,0,0,0,0
01/03/2009 06:00,1,3,6,6,0,-6.1,96,0,0,13.2323,13.2323,13.2323,13.2323,0,0,0,0
01/03/2009 07:00,1,3,6,7,0,-4.4,96,1.50855e+07,0,13.1967,13.1967,15.8405,13.1967,0.716842,0,2.86459e+07,0
01/03/2009 08:00,1,3,6,8,0,-6.7,92,1.13559e+07,0,13.2324,13.2324,15.8405,13.2324,0.776353,0,3.05209e+07,0
01/03/2009 09:00,1,3,6,9,0,-3.9,96,8.07432e+06,0,13.2325,13.2325,15.8405,13.2325,0.532355,0,2.09285e+07,0
01/03/2009 10:00,1,3,6,10,0,-3.3,92,5.44613e+06,0,13.2324,13.2324,15.8405,13.2324,0.346494,0,1.36218e+07,0
01/03/2009 11:00,1,3,6,11,0,-0.6,82,4.3862e+06,0,13.2324,13.2324,15.8405,13.2324,0.273724,0,1.07611e+07,0
01/03/2009 12:00,1,3,6,12,0,2.2,73,2.93924e+06,0,13.2324,13.2324,15.8405,13.2324,0.177905,0,6.99416e+06,0
01/03/2009 13:00,1,3,6,13,0,3.9,57,3.98945e+06,0,13.2324,13.2324,15.8405,13.2324,0.246518,0,9.69167e+06,0
01/03/2009 14:00,1,3,6,14,0,3.3,67,2.39649e+06,0,13.2324,13.2324,15.8405,13.2324,0.144061,0,5.66362e+06,0
01/03/2009 15:00,1,3,6,15,0,3.9,65,2.30425e+06,0,13.2324,13.2324,15.8405,13.2324,0.137585,0,5.40906e+06,0
01/03/2009 16:00,1,3,6,16,0,4.4,51,1.79658e+06,0,13.2323,13.2323,15.8405,13.2323,0.104602,0,4.11241e+06,0
01/03/2009 17:00,1,3,6,17,0,3.3,55,1.19729e+06,0,13.2323,13.2323,15.8405,13.2323,0.0691734,0,2.71957e+06,0
01/03/2009 18:00,1,3,6,18,0,-1.1,78,3.99399e+06,0,13.233,13.233,15.8405,13.233,0.246735,0,9.69793e+06,0
01/03/2009 19:00,1,3,6,19,0,-3.9,85,5.80985e+06,0,13.2322,13.2322,15.8405,13.2322,0.370874,0,1.45814e+07,0
01/03/2009 20:00,1,3,6,20,0,-6.1,88,0,0,13.2322,13.2322,13.2322,13.2322,0,0,0,0
01/03/2009 21:00,1,3,6,21,0,-7.2,96,0,0,13.2322,13.2322,13.2322,13.2322,0,0,0,0
01/03/2009 22:00,1,3,6,22,0,-6.7,92,0,0,13.2322,13.2322,13.2322,13.2322,0,0,0,0
01/03/2009 23:00,1,3,6,23,0,-7.2,88,0,0,13.2322,13.2322,13.2322,13.2322,0,0,0,0
01/04/2009 00:00,1,4,0,0,0,-10,92,0,0,13.2322,13.2322,13.2322,13.2322,0,0,0,0
01/04/2009 01:00,1,4,0,1,0,-7.8,88,0,0,13.2322,13.2322,13.2322,13.2322,0,0,0,0
01/04/2009 02:00,1,4,0,2,0,-7.8,88,0,0,13.2322,13.2322,13.2322,13.2322,0,0,0,0
01/04/2009 03:00,1,4,0,3,0,-7.2,92,0,0,13.2322,13.2322,13.2322,13.2322,0,0,0,0
01/04/2009 04:00,1,4,0,4,0,-6.7,84,0,0,13.2322,13.2322,13.2322,13.2322,0,0,0,0
01/04/2009 05:00,1,4,0,5,0,-6.1,78,0,0,13.2322,13.2322,13.2322,13.2322,0,0,0,0
01/04/2009 06:00,1,4,0,6,0,-6.1,78,0,0,13.2322,13.2322,13.2322,13.2322,0,0,0,0
01/04/2009 07:00,1,4,0,7,0,-7.2,77,1.60084e+07,0,13.1997,13.1997,15.8405,13.1997,0.801589,0,3.19964e+07,0
01/04/2009 08:00,1,4,0,8,0,-6.7,78,1.10027e+07,0,13.2324,13.2324,15.8405,13.2324,0.750485,0,2.95042e+07,0
01/04/2009 09:00,1,4,0,9,0,-6.7,74,7.94523e+06,0,13.2324,13.2324,15.8405,13.2324,0.524506,0,2.062e+07,0
01/04/2009 10:00,1,4,0,10,0,-6.7,74,5.94844e+06,0,13.2324,13.2324,15.8405,13.2324,0.382363,0,1.5032e+07,0
01/04/2009 11:00,1,4,0,11,0,-6.1,74,5.48392e+06,0,13.2324,13.2324,15.8405,13.2324,0.350109,0,1.37639e+07,0
01/04/2009 12:00,1,4,0,12,0,-6.7,74,4.29083e+06,0,13.2324,13.2324,15.8405,13.2324,0.268082,0,1.05392e+07,0
01/04/2009 13:00,1,4,0,13,0,-6.7,78,4.61948e+06,0,13.2324,13.2324,15.8405,13.2324,0.290192,0,1.14087e+07,0
01/04/2009 14:00,1,4,0,14,0,-5.6,74,2.986e+06,0,13.2324,13.2324,15.8405,13.2324,0.183714,0,7.22252e+06,0
01/04/2009 15:00,1,4,0,15,0,-4.4,72,2.80905e+06,0,13.2324,13.2324,15.8405,13.2324,0.17126,0,6.73301e+06,0
