Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,879416,0,23.0636,23.0636,23.949,23.0636,0.167006,0,2.22489e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,746674,0,23.0636,23.0636,23.949,23.0636,0.136145,0,1.81378e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,402421,0,23.0636,23.0636,23.949,23.0636,0.0666587,0,888091,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,904944,0,23.0637,23.0637,23.949,23.0637,0.172688,0,2.30044e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.03853e+06,0,23.0636,23.0636,23.949,23.0636,0.203643,0,2.71296e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.17788e+06,0,23.0636,23.0636,23.949,23.0636,0.23614,0,3.14611e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,989722,0,23.0636,23.0636,23.949,23.0636,0.192235,0,2.56117e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.24975e+06,0,23.0636,23.0636,23.949,23.0636,0.252886,0,3.36923e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.2492e+06,0,23.0636,23.0636,23.949,23.0636,0.252768,0,3.36766e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,331329,0,23.0636,23.0636,23.949,23.0636,0.0503049,0,670218,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,967685,0,23.0636,23.0636,23.949,23.0636,0.187371,0,2.49618e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,680152,0,23.0636,23.0636,23.949,23.0636,0.130859,0,1.74341e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,420588,0,23.0636,23.0636,23.949,23.0636,0.070803,0,943314,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,23.0636,23.0636,23.0636,23.0636,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,23.0636,23.0636,23.0636,23.0636,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,23.0636,23.0636,23.0636,23.0636,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,23.0636,23.0636,23.0636,23.0636,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,23.0636,23.0636,23.0636,23.0636,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,101900,0,23.0636,23.0636,23.949,23.0636,0.0109742,0,146209,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,158333,0,23.0636,23.0636,23.949,23.0636,0.0195304,0,260202,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,245336,0,23.0636,23.0636,23.949,23.0636,0.0394706,0,525868,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,665999,0,23.0637,23.0637,23.949,23.0637,0.127673,0,1.70086e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,516966,0,23.0636,23.0636,23.949,23.0636,0.0931174,0,1.24057e+06,0
