Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2009 01:00,1,1,4,1,0,2.8,93,0,0,0,2.59834e+07,6.69644e+06,0.0
01/01/2009 02:00,1,1,4,2,0,2.8,93,0,0,0,2.59834e+07,6.69644e+06,0.0
01/01/2009 03:00,1,1,4,3,0,2.2,96,0,0,0,2.59834e+07,6.69644e+06,0.0
01/01/2009 04:00,1,1,4,4,0,1.7,92,0,0,0,2.59834e+07,6.69644e+06,0.0
01/01/2009 05:00,1,1,4,5,0,1.7,96,0,0,0,2.59834e+07,6.69644e+06,0.0
01/01/2009 06:00,1,1,4,6,0,1.1,96,0,0,0,2.59834e+07,6.69644e+06,0.0
01/01/2009 07:00,1,1,4,7,0,1.7,92,0,0,0,3.20641e+07,6.69644e+06,0.0
01/01/2009 08:00,1,1,4,8,0,1.1,96,0,1.35766e+08,0,7.5271e+07,1.42463e+08,135766000.0
01/01/2009 09:00,1,1,4,9,0,6.7,83,0,5.8265e+07,1.29505e+06,7.6566e+07,6.49615e+07,58265000.0
01/01/2009 10:00,1,1,4,10,0,10.6,72,0,1.00961e+08,566820,9.08212e+07,1.07658e+08,100961000.0
01/01/2009 11:00,1,1,4,11,0,12.8,51,0,1.43512e+07,2.34044e+06,1.66128e+08,2.10476e+07,14351200.0
01/01/2009 12:00,1,1,4,12,0,14.4,44,0,3.25646e+06,7.34739e+06,1.71135e+08,9.9529e+06,3256460.0
01/01/2009 13:00,1,1,4,13,0,16.7,40,0,2.00208e+07,1.54205e+07,2.28229e+08,2.67173e+07,20020800.0
01/01/2009 14:00,1,1,4,14,0,17.2,33,0,1.94244e+07,1.61067e+07,2.28916e+08,2.61209e+07,19424400.0
01/01/2009 15:00,1,1,4,15,0,16.7,31,0,2.34138e+07,1.33261e+07,2.26135e+08,3.01102e+07,23413800.0
01/01/2009 16:00,1,1,4,16,0,16.7,31,0,2.16978e+07,1.2492e+07,2.25301e+08,2.83943e+07,21697800.0
01/01/2009 17:00,1,1,4,17,0,15,38,0,3.71703e+07,5.01136e+06,2.1782e+08,4.38668e+07,37170300.0
01/01/2009 18:00,1,1,4,18,0,11.7,49,0,7.9548e+07,0,1.80868e+08,8.62444e+07,79548000.0
01/01/2009 19:00,1,1,4,19,0,7.2,71,0,4.49908e+07,973393,1.32819e+08,5.16872e+07,44990800.0
01/01/2009 20:00,1,1,4,20,0,6.1,76,0,0,0,3.81423e+07,6.69644e+06,0.0
01/01/2009 21:00,1,1,4,21,0,6.7,68,0,0,0,3.20641e+07,6.69644e+06,0.0
01/01/2009 22:00,1,1,4,22,0,4.4,82,0,0,0,3.20641e+07,6.69644e+06,0.0
01/01/2009 23:00,1,1,4,23,0,5,73,0,0,0,3.20641e+07,6.69644e+06,0.0
01/02/2009 00:00,1,2,5,0,0,3.3,86,0,0,0,3.20641e+07,6.69644e+06,0.0
01/02/2009 01:00,1,2,5,1,0,5,76,0,0,0,2.73474e+07,6.69644e+06,0.0
01/02/2009 02:00,1,2,5,2,0,2.2,89,0,0,0,2.73474e+07,6.69644e+06,0.0
01/02/2009 03:00,1,2,5,3,0,3.3,79,0,0,0,2.73474e+07,6.69644e+06,0.0
01/02/2009 04:00,1,2,5,4,0,2.8,82,0,0,0,2.73474e+07,6.69644e+06,0.0
01/02/2009 05:00,1,2,5,5,0,2.2,82,0,0,0,2.73474e+07,6.69644e+06,0.0
01/02/2009 06:00,1,2,5,6,0,1.1,85,0,1.26867e+08,0,8.76349e+07,1.33563e+08,126867000.0
01/02/2009 07:00,1,2,5,7,0,1.7,82,0,6.54634e+07,374258,9.40899e+07,7.21599e+07,65463400.0
01/02/2009 08:00,1,2,5,8,0,2.2,85,0,2.52685e+08,0,1.13752e+08,2.59381e+08,252685000.0
01/02/2009 09:00,1,2,5,9,0,5.6,73,0,1.53455e+08,0,1.63787e+08,1.60151e+08,153455000.0
01/02/2009 10:00,1,2,5,10,0,8.3,58,0,2.20276e+07,329488,2.81215e+08,2.8724e+07,22027600.0
01/02/2009 11:00,1,2,5,11,0,10,54,0,3.3347e+06,1.92107e+06,2.82807e+08,1.00311e+07,3334700.0
01/02/2009 12:00,1,2,5,12,0,12.2,53,0,2.02457e+06,4.57597e+06,2.85462e+08,8.72101e+06,2024570.0
01/02/2009 13:00,1,2,5,13,0,13.9,53,0,4.99803e+07,7.3381e+06,2.88224e+08,5.66767e+07,49980300.0
01/02/2009 14:00,1,2,5,14,0,13.3,57,0,5.71509e+07,4.38206e+06,2.85268e+08,6.38474e+07,57150900.0
01/02/2009 15:00,1,2,5,15,0,13.9,58,0,4.39068e+07,1.381e+07,2.94696e+08,5.06032e+07,43906800.0
01/02/2009 16:00,1,2,5,16,0,13.3,62,0,5.02338e+07,1.39926e+07,2.94878e+08,5.69303e+07,50233800.0
01/02/2009 17:00,1,2,5,17,0,12.2,69,0,6.104e+07,2.73552e+06,2.83621e+08,6.77364e+07,61040000.0
01/02/2009 18:00,1,2,5,18,0,11.1,80,0,7.50532e+07,411277,2.98378e+08,8.17496e+07,75053200.0
01/02/2009 19:00,1,2,5,19,0,10.6,83,0,1.2798e+07,0,2.10835e+08,1.94945e+07,12798000.0
01/02/2009 20:00,1,2,5,20,0,10.6,86,0,1.4995e+07,0,2.05379e+08,2.16915e+07,14995000.0
01/02/2009 21:00,1,2,5,21,0,11.7,83,0,4.98923e+06,0,1.99301e+08,1.16857e+07,4989230.0
01/02/2009 22:00,1,2,5,22,0,11.7,90,0,0,0,6.61025e+07,6.69644e+06,0.0
01/02/2009 23:00,1,2,5,23,0,12.2,86,0,0,0,3.34281e+07,6.69644e+06,0.0
01/03/2009 00:00,1,3,6,0,0,11.7,90,0,0,0,3.34281e+07,6.69644e+06,0.0
01/03/2009 01:00,1,3,6,1,0,11.7,93,0,0,0,2.73474e+07,6.69644e+06,0.0
01/03/2009 02:00,1,3,6,2,0,11.7,96,0,0,0,2.73474e+07,6.69644e+06,0.0
01/03/2009 03:00,1,3,6,3,0,12.8,93,0,0,0,2.73474e+07,6.69644e+06,0.0
01/03/2009 04:00,1,3,6,4,0,13.3,93,0,0,0,2.73474e+07,6.69644e+06,0.0
01/03/2009 05:00,1,3,6,5,0,13.9,97,0,0,0,2.73474e+07,6.69644e+06,0.0
01/03/2009 06:00,1,3,6,6,0,14.4,97,0,1.25033e+07,304186,4.66879e+07,1.91997e+07,12503300.0
01/03/2009 07:00,1,3,6,7,0,15,90,0,4.33112e+06,2.42104e+06,9.37055e+07,1.10276e+07,4331120.0
01/03/2009 08:00,1,3,6,8,0,15.6,87,0,7.92856e+06,117215,1.08804e+08,1.4625e+07,7928560.0
01/03/2009 09:00,1,3,6,9,0,15,81,0,0,0,1.63787e+08,6.69644e+06,0.0
01/03/2009 10:00,1,3,6,10,0,12.2,67,0,2.05111e+06,2.67347e+06,2.83559e+08,8.74755e+06,2051110.0
01/03/2009 11:00,1,3,6,11,0,12.2,57,0,166973,4.35015e+06,2.85236e+08,6.86341e+06,166973.0
01/03/2009 12:00,1,3,6,12,0,13.9,55,0,3.74318e+06,1.42585e+07,2.95144e+08,1.04396e+07,3743180.0
01/03/2009 13:00,1,3,6,13,0,13.3,57,0,5.69152e+07,7.53512e+06,2.88421e+08,6.36116e+07,56915200.0
01/03/2009 14:00,1,3,6,14,0,11.1,64,0,6.95099e+07,4.02168e+06,2.84907e+08,7.62064e+07,69509900.0
01/03/2009 15:00,1,3,6,15,0,9.4,74,0,8.41333e+07,1.11393e+06,2.82e+08,9.08297e+07,84133300.0
01/03/2009 16:00,1,3,6,16,0,8.9,80,0,9.44173e+07,1.12103e+06,2.82007e+08,1.01114e+08,94417300.0
01/03/2009 17:00,1,3,6,17,0,8.9,80,0,8.90353e+07,388195,2.81274e+08,9.57317e+07,89035300.0
01/03/2009 18:00,1,3,6,18,0,8.3,80,0,1.00157e+08,0,2.97966e+08,1.06853e+08,100157000.0
01/03/2009 19:00,1,3,6,19,0,8.3,71,0,1.59814e+07,0,2.10835e+08,2.26778e+07,15981400.0
01/03/2009 20:00,1,3,6,20,0,8.3,68,0,1.79523e+07,0,2.05379e+08,2.46487e+07,17952300.0
01/03/2009 21:00,1,3,6,21,0,8.3,68,0,8.03396e+06,0,1.99301e+08,1.47304e+07,8033960.0
01/03/2009 22:00,1,3,6,22,0,8.3,66,0,0,0,6.61025e+07,6.69644e+06,0.0
01/03/2009 23:00,1,3,6,23,0,7.8,63,0,0,0,3.34281e+07,6.69644e+06,0.0
01/04/2009 00:00,1,4,0,0,0,7.2,66,0,0,0,3.34281e+07,6.69644e+06,0.0
01/04/2009 01:00,1,4,0,1,0,6.7,68,0,0,0,2.73474e+07,6.69644e+06,0.0
01/04/2009 02:00,1,4,0,2,0,7.2,66,0,0,0,2.73474e+07,6.69644e+06,0.0
01/04/2009 03:00,1,4,0,3,0,5,76,0,0,0,2.73474e+07,6.69644e+06,0.0
01/04/2009 04:00,1,4,0,4,0,5.6,73,0,0,0,2.73474e+07,6.69644e+06,0.0
01/04/2009 05:00,1,4,0,5,0,5,70,0,0,0,2.73474e+07,6.69644e+06,0.0
01/04/2009 06:00,1,4,0,6,0,3.9,76,0,6.93859e+07,2.28785e+06,8.99228e+07,7.60823e+07,69385900.0
01/04/2009 07:00,1,4,0,7,0,4.4,73,0,3.15198e+07,386180,9.41019e+07,3.82162e+07,31519800.0
01/04/2009 08:00,1,4,0,8,0,3.9,76,0,1.89598e+08,0,1.12739e+08,1.96295e+08,189598000.0
01/04/2009 09:00,1,4,0,9,0,4.4,73,0,1.5928e+08,0,1.63787e+08,1.65976e+08,159280000.0
01/04/2009 10:00,1,4,0,10,0,5,70,0,4.24544e+07,312975,2.81199e+08,4.91508e+07,42454400.0
01/04/2009 11:00,1,4,0,11,0,6.7,65,0,5.82789e+06,1.32606e+06,2.82212e+08,1.25243e+07,5827890.0
01/04/2009 12:00,1,4,0,12,0,7.8,63,0,4.00253e+06,5.78853e+06,2.86674e+08,1.0699e+07,4002530.0
01/04/2009 13:00,1,4,0,13,0,8.3,61,0,9.42175e+07,9.49944e+06,2.90385e+08,1.00914e+08,94217500.0
01/04/2009 14:00,1,4,0,14,0,9.4,56,0,8.00473e+07,1.32575e+07,2.94143e+08,8.67437e+07,80047300.0
01/04/2009 15:00,1,4,0,15,0,9.4,59,0,8.03026e+07,1.20398e+07,2.92925e+08,8.6999e+07,80302600.0
01/04/2009 16:00,1,4,0,16,0,10,57,0,7.56316e+07,1.34212e+07,2.94307e+08,8.2328e+07,75631600.0
01/04/2009 17:00,1,4,0,17,0,8.9,63,0,8.64165e+07,9.40628e+06,2.90292e+08,9.31129e+07,86416500.0
01/04/2009 18:00,1,4,0,18,0,6.7,74,0,1.16229e+08,0,2.97966e+08,1.22925e+08,116229000.0
01/04/2009 19:00,1,4,0,19,0,5,83,0,2.43684e+07,0,2.10835e+08,3.10648e+07,24368400.0
