Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2009 01:00,1,1,4,1,0,2.8,93,0,0,0,4.01527e+07,6.69644e+06,0.0
01/01/2009 02:00,1,1,4,2,0,2.8,93,0,0,0,4.01527e+07,6.69644e+06,0.0
01/01/2009 03:00,1,1,4,3,0,2.2,96,0,0,0,4.01527e+07,6.69644e+06,0.0
01/01/2009 04:00,1,1,4,4,0,1.7,92,0,0,0,4.01527e+07,6.69644e+06,0.0
01/01/2009 05:00,1,1,4,5,0,1.7,96,0,0,0,4.01527e+07,6.69644e+06,0.0
01/01/2009 06:00,1,1,4,6,0,1.1,96,0,0,0,4.01527e+07,6.69644e+06,0.0
01/01/2009 07:00,1,1,4,7,0,1.7,92,0,0,0,4.62335e+07,6.69644e+06,0.0
01/01/2009 08:00,1,1,4,8,0,1.1,96,0,5.67913e+07,3.5623e+06,1.10218e+08,6.34878e+07,56791300.0
01/01/2009 09:00,1,1,4,9,0,6.7,83,0,2.56431e+07,3.1613e+06,1.09817e+08,3.23396e+07,25643100.0
01/01/2009 10:00,1,1,4,10,0,10.6,72,0,4.20291e+07,1.15091e+06,1.3696e+08,4.87255e+07,42029100.0
01/01/2009 11:00,1,1,4,11,0,12.8,51,0,347470,9.66687e+06,2.67595e+08,7.04391e+06,347470.0
01/01/2009 12:00,1,1,4,12,0,14.4,44,0,2.20178e+06,1.55752e+07,2.73503e+08,8.89822e+06,2201780.0
01/01/2009 13:00,1,1,4,13,0,16.7,40,0,2.28173e+07,2.46764e+07,3.64017e+08,2.95137e+07,22817300.0
01/01/2009 14:00,1,1,4,14,0,17.2,33,0,1.55596e+07,3.60089e+07,3.7535e+08,2.2256e+07,15559600.0
01/01/2009 15:00,1,1,4,15,0,16.7,31,0,2.02194e+07,3.68446e+07,3.76185e+08,2.69159e+07,20219400.0
01/01/2009 16:00,1,1,4,16,0,16.7,31,0,2.08786e+07,3.71574e+07,3.76498e+08,2.75751e+07,20878600.0
01/01/2009 17:00,1,1,4,17,0,15,38,0,3.6386e+07,2.82988e+07,3.6764e+08,4.30824e+07,36386000.0
01/01/2009 18:00,1,1,4,18,0,11.7,49,0,6.55931e+07,3.54873e+06,2.78558e+08,7.22895e+07,65593100.0
01/01/2009 19:00,1,1,4,19,0,7.2,71,0,3.08133e+07,0,1.93596e+08,3.75098e+07,30813300.0
01/01/2009 20:00,1,1,4,20,0,6.1,76,0,0,0,5.23116e+07,6.69644e+06,0.0
01/01/2009 21:00,1,1,4,21,0,6.7,68,0,0,0,4.62335e+07,6.69644e+06,0.0
01/01/2009 22:00,1,1,4,22,0,4.4,82,0,0,0,4.62335e+07,6.69644e+06,0.0
01/01/2009 23:00,1,1,4,23,0,5,73,0,0,0,4.62335e+07,6.69644e+06,0.0
01/02/2009 00:00,1,2,5,0,0,3.3,86,0,0,0,4.62335e+07,6.69644e+06,0.0
01/02/2009 01:00,1,2,5,1,0,5,76,0,0,0,4.45525e+07,6.69644e+06,0.0
01/02/2009 02:00,1,2,5,2,0,2.2,89,0,0,0,4.45525e+07,6.69644e+06,0.0
01/02/2009 03:00,1,2,5,3,0,3.3,79,0,0,0,4.45525e+07,6.69644e+06,0.0
01/02/2009 04:00,1,2,5,4,0,2.8,82,0,0,0,4.45525e+07,6.69644e+06,0.0
01/02/2009 05:00,1,2,5,5,0,2.2,82,0,0,0,4.45525e+07,6.69644e+06,0.0
01/02/2009 06:00,1,2,5,6,0,1.1,85,0,4.39979e+07,3.18563e+06,1.25242e+08,5.06944e+07,43997900.0
01/02/2009 07:00,1,2,5,7,0,1.7,82,0,1.91481e+07,1.26218e+06,1.29399e+08,2.58446e+07,19148100.0
01/02/2009 08:00,1,2,5,8,0,2.2,85,0,1.63473e+08,0,1.73476e+08,1.70169e+08,163473000.0
01/02/2009 09:00,1,2,5,9,0,5.6,73,0,7.35982e+07,517549,2.58446e+08,8.02947e+07,73598200.0
01/02/2009 10:00,1,2,5,10,0,8.3,58,0,6.13593e+06,6.10191e+06,4.49963e+08,1.28324e+07,6135930.0
01/02/2009 11:00,1,2,5,11,0,10,54,0,7.61244e+06,1.04772e+07,4.54338e+08,1.43089e+07,7612440.0
01/02/2009 12:00,1,2,5,12,0,12.2,53,0,5.95965e+06,2.00223e+07,4.63883e+08,1.26561e+07,5959650.0
01/02/2009 13:00,1,2,5,13,0,13.9,53,0,4.61653e+07,3.73073e+07,4.81168e+08,5.28617e+07,46165300.0
01/02/2009 14:00,1,2,5,14,0,13.3,57,0,5.07833e+07,4.07472e+07,4.84608e+08,5.74797e+07,50783300.0
01/02/2009 15:00,1,2,5,15,0,13.9,58,0,4.27986e+07,5.45147e+07,4.98376e+08,4.94951e+07,42798600.0
01/02/2009 16:00,1,2,5,16,0,13.3,62,0,4.92136e+07,5.36746e+07,4.97535e+08,5.591e+07,49213600.0
01/02/2009 17:00,1,2,5,17,0,12.2,69,0,6.00864e+07,4.37214e+07,4.87582e+08,6.67829e+07,60086400.0
01/02/2009 18:00,1,2,5,18,0,11.1,80,0,7.0029e+07,3.31951e+07,4.94137e+08,7.67254e+07,70029000.0
01/02/2009 19:00,1,2,5,19,0,10.6,83,0,2.75181e+06,1.52307e+07,3.48545e+08,9.44824e+06,2751810.0
01/02/2009 20:00,1,2,5,20,0,10.6,86,0,3.18112e+06,3.3885e+06,3.19104e+08,9.87756e+06,3181120.0
01/02/2009 21:00,1,2,5,21,0,11.7,83,0,0,6.23776e+06,3.15875e+08,6.69644e+06,0.0
01/02/2009 22:00,1,2,5,22,0,11.7,90,0,0,0,9.84935e+07,6.69644e+06,0.0
01/02/2009 23:00,1,2,5,23,0,12.2,86,0,0,0,5.06333e+07,6.69644e+06,0.0
01/03/2009 00:00,1,3,6,0,0,11.7,90,0,0,0,5.06333e+07,6.69644e+06,0.0
01/03/2009 01:00,1,3,6,1,0,11.7,93,0,0,0,4.45525e+07,6.69644e+06,0.0
01/03/2009 02:00,1,3,6,2,0,11.7,96,0,0,0,4.45525e+07,6.69644e+06,0.0
01/03/2009 03:00,1,3,6,3,0,12.8,93,0,0,0,4.45525e+07,6.69644e+06,0.0
01/03/2009 04:00,1,3,6,4,0,13.3,93,0,0,0,4.45525e+07,6.69644e+06,0.0
01/03/2009 05:00,1,3,6,5,0,13.9,97,0,0,0,4.45525e+07,6.69644e+06,0.0
01/03/2009 06:00,1,3,6,6,0,14.4,97,0,0,0,4.86046e+07,6.69644e+06,0.0
01/03/2009 07:00,1,3,6,7,0,15,90,0,0,5.46637e+06,1.30564e+08,6.69644e+06,0.0
01/03/2009 08:00,1,3,6,8,0,15.6,87,0,0,1.13002e+06,1.71567e+08,6.69644e+06,0.0
01/03/2009 09:00,1,3,6,9,0,15,81,0,0,3.81984e+06,2.61748e+08,6.69644e+06,0.0
01/03/2009 10:00,1,3,6,10,0,12.2,67,0,1.66563e+06,1.07602e+07,4.54621e+08,8.36207e+06,1665630.0
