Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2009 01:00,1,1,4,1,0,2.8,93,0,0,0,2.69551e+07,6.69644e+06,0.0
01/01/2009 02:00,1,1,4,2,0,2.8,93,0,0,0,2.69551e+07,6.69644e+06,0.0
01/01/2009 03:00,1,1,4,3,0,2.2,96,0,0,0,2.69551e+07,6.69644e+06,0.0
01/01/2009 04:00,1,1,4,4,0,1.7,92,0,0,0,2.69551e+07,6.69644e+06,0.0
01/01/2009 05:00,1,1,4,5,0,1.7,96,0,0,0,2.69551e+07,6.69644e+06,0.0
01/01/2009 06:00,1,1,4,6,0,1.1,96,0,0,0,2.69551e+07,6.69644e+06,0.0
01/01/2009 07:00,1,1,4,7,0,1.7,92,0,0,0,3.30359e+07,6.69644e+06,0.0
01/01/2009 08:00,1,1,4,8,0,1.1,96,0,1.37653e+08,0,7.36468e+07,1.44349e+08,137653000.0
01/01/2009 09:00,1,1,4,9,0,6.7,83,0,6.15166e+07,1.27566e+06,7.49224e+07,6.8213e+07,61516600.0
01/01/2009 10:00,1,1,4,10,0,10.6,72,0,1.03426e+08,592249,9.01942e+07,1.10122e+08,103426000.0
01/01/2009 11:00,1,1,4,11,0,12.8,51,0,1.71513e+07,2.99281e+06,1.59568e+08,2.38478e+07,17151300.0
01/01/2009 12:00,1,1,4,12,0,14.4,44,0,602566,7.2747e+06,1.63849e+08,7.29901e+06,602566.0
01/01/2009 13:00,1,1,4,13,0,16.7,40,0,2.00223e+07,1.55895e+07,2.16813e+08,2.67188e+07,20022300.0
01/01/2009 14:00,1,1,4,14,0,17.2,33,0,1.92611e+07,1.60979e+07,2.17321e+08,2.59575e+07,19261100.0
01/01/2009 15:00,1,1,4,15,0,16.7,31,0,2.29206e+07,1.33943e+07,2.14617e+08,2.96171e+07,22920600.0
01/01/2009 16:00,1,1,4,16,0,16.7,31,0,2.1768e+07,1.24513e+07,2.13674e+08,2.84644e+07,21768000.0
01/01/2009 17:00,1,1,4,17,0,15,38,0,3.72445e+07,5.35361e+06,2.06577e+08,4.39409e+07,37244500.0
01/01/2009 18:00,1,1,4,18,0,11.7,49,0,7.87753e+07,0,1.73655e+08,8.54718e+07,78775300.0
01/01/2009 19:00,1,1,4,19,0,7.2,71,0,5.31022e+07,920385,1.29927e+08,5.97987e+07,53102200.0
01/01/2009 20:00,1,1,4,20,0,6.1,76,0,0,0,3.9114e+07,6.69644e+06,0.0
01/01/2009 21:00,1,1,4,21,0,6.7,68,0,0,0,3.30359e+07,6.69644e+06,0.0
01/01/2009 22:00,1,1,4,22,0,4.4,82,0,0,0,3.30359e+07,6.69644e+06,0.0
01/01/2009 23:00,1,1,4,23,0,5,73,0,0,0,3.30359e+07,6.69644e+06,0.0
01/02/2009 00:00,1,2,5,0,0,3.3,86,0,0,0,3.30359e+07,6.69644e+06,0.0
01/02/2009 01:00,1,2,5,1,0,5,76,0,0,0,2.93516e+07,6.69644e+06,0.0
01/02/2009 02:00,1,2,5,2,0,2.2,89,0,0,0,2.93516e+07,6.69644e+06,0.0
01/02/2009 03:00,1,2,5,3,0,3.3,79,0,0,0,2.93516e+07,6.69644e+06,0.0
01/02/2009 04:00,1,2,5,4,0,2.8,82,0,0,0,2.93516e+07,6.69644e+06,0.0
01/02/2009 05:00,1,2,5,5,0,2.2,82,0,0,0,2.93516e+07,6.69644e+06,0.0
01/02/2009 06:00,1,2,5,6,0,1.1,85,0,1.26918e+08,0,8.70432e+07,1.33615e+08,126918000.0
01/02/2009 07:00,1,2,5,7,0,1.7,82,0,6.69018e+07,341499,9.34655e+07,7.35982e+07,66901800.0
01/02/2009 08:00,1,2,5,8,0,2.2,85,0,2.54169e+08,0,1.10913e+08,2.60866e+08,254169000.0
01/02/2009 09:00,1,2,5,9,0,5.6,73,0,1.55329e+08,0,1.56575e+08,1.62026e+08,155329000.0
01/02/2009 10:00,1,2,5,10,0,8.3,58,0,2.55624e+07,495978,2.59106e+08,3.22589e+07,25562400.0
01/02/2009 11:00,1,2,5,11,0,10,54,0,3.8274e+06,1.32016e+06,2.5993e+08,1.05238e+07,3827400.0
01/02/2009 12:00,1,2,5,12,0,12.2,53,0,483703,5.26688e+06,2.63877e+08,7.18014e+06,483703.0
01/02/2009 13:00,1,2,5,13,0,13.9,53,0,5.02776e+07,7.48175e+06,2.66092e+08,5.6974e+07,50277600.0
01/02/2009 14:00,1,2,5,14,0,13.3,57,0,5.71734e+07,4.49626e+06,2.63106e+08,6.38699e+07,57173400.0
01/02/2009 15:00,1,2,5,15,0,13.9,58,0,4.40785e+07,1.23294e+07,2.70939e+08,5.0775e+07,44078500.0
01/02/2009 16:00,1,2,5,16,0,13.3,62,0,5.03989e+07,8.86366e+06,2.67474e+08,5.70954e+07,50398900.0
01/02/2009 17:00,1,2,5,17,0,12.2,69,0,6.11924e+07,4.85188e+06,2.63462e+08,6.78889e+07,61192400.0
01/02/2009 18:00,1,2,5,18,0,11.1,80,0,7.58225e+07,1.1264e+06,2.76817e+08,8.2519e+07,75822500.0
01/02/2009 19:00,1,2,5,19,0,10.6,83,0,1.20764e+07,135024,2.05701e+08,1.87728e+07,12076400.0
01/02/2009 20:00,1,2,5,20,0,10.6,86,0,1.41129e+07,0,1.9598e+08,2.08093e+07,14112900.0
01/02/2009 21:00,1,2,5,21,0,11.7,83,0,4.26091e+06,0,1.89902e+08,1.09574e+07,4260910.0
01/02/2009 22:00,1,2,5,22,0,11.7,90,0,0,0,6.17292e+07,6.69644e+06,0.0
01/02/2009 23:00,1,2,5,23,0,12.2,86,0,0,0,3.54324e+07,6.69644e+06,0.0
01/03/2009 00:00,1,3,6,0,0,11.7,90,0,0,0,3.54324e+07,6.69644e+06,0.0
01/03/2009 01:00,1,3,6,1,0,11.7,93,0,0,0,2.93516e+07,6.69644e+06,0.0
01/03/2009 02:00,1,3,6,2,0,11.7,96,0,0,0,2.93516e+07,6.69644e+06,0.0
01/03/2009 03:00,1,3,6,3,0,12.8,93,0,0,0,2.93516e+07,6.69644e+06,0.0
01/03/2009 04:00,1,3,6,4,0,13.3,93,0,0,0,2.93516e+07,6.69644e+06,0.0
01/03/2009 05:00,1,3,6,5,0,13.9,97,0,0,0,2.93516e+07,6.69644e+06,0.0
01/03/2009 06:00,1,3,6,6,0,14.4,97,0,1.16141e+07,136617,4.8341e+07,1.83106e+07,11614100.0
01/03/2009 07:00,1,3,6,7,0,15,90,0,3.24518e+06,2.25079e+06,9.29435e+07,9.94162e+06,3245180.0
01/03/2009 08:00,1,3,6,8,0,15.6,87,0,5.78973e+06,242682,1.08117e+08,1.24862e+07,5789730.0
01/03/2009 09:00,1,3,6,9,0,15,81,0,0,245055,1.5682e+08,6.69644e+06,0.0
01/03/2009 10:00,1,3,6,10,0,12.2,67,0,1.96221e+06,2.2567e+06,2.60867e+08,8.65865e+06,1962210.0
01/03/2009 11:00,1,3,6,11,0,12.2,57,0,382414,4.89759e+06,2.63508e+08,7.07885e+06,382414.0
