Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2009 01:00,1,1,4,1,0,2.8,93,0,0,0,3.2792e+07,6.69644e+06,0.0
01/01/2009 02:00,1,1,4,2,0,2.8,93,0,0,0,3.2792e+07,6.69644e+06,0.0
01/01/2009 03:00,1,1,4,3,0,2.2,96,0,0,0,3.2792e+07,6.69644e+06,0.0
01/01/2009 04:00,1,1,4,4,0,1.7,92,0,0,0,3.2792e+07,6.69644e+06,0.0
01/01/2009 05:00,1,1,4,5,0,1.7,96,0,0,0,3.2792e+07,6.69644e+06,0.0
01/01/2009 06:00,1,1,4,6,0,1.1,96,0,0,0,3.2792e+07,6.69644e+06,0.0
01/01/2009 07:00,1,1,4,7,0,1.7,92,0,0,0,3.88727e+07,6.69644e+06,0.0
01/01/2009 08:00,1,1,4,8,0,1.1,96,0,9.73837e+07,777332,9.01301e+07,1.0408e+08,97383700.0
01/01/2009 09:00,1,1,4,9,0,6.7,83,0,3.88972e+07,2.13189e+06,9.14847e+07,4.55937e+07,38897200.0
01/01/2009 10:00,1,1,4,10,0,10.6,72,0,7.62514e+07,811659,1.11957e+08,8.29478e+07,76251400.0
01/01/2009 11:00,1,1,4,11,0,12.8,51,0,1.16859e+06,4.78987e+06,2.09568e+08,7.86503e+06,1168590.0
01/01/2009 12:00,1,1,4,12,0,14.4,44,0,0,1.10645e+07,2.15842e+08,6.69644e+06,0.0
01/01/2009 13:00,1,1,4,13,0,16.7,40,0,2.12797e+07,1.89534e+07,2.86153e+08,2.79761e+07,21279700.0
01/01/2009 14:00,1,1,4,14,0,17.2,33,0,2.22632e+07,2.01687e+07,2.87368e+08,2.89596e+07,22263200.0
01/01/2009 15:00,1,1,4,15,0,16.7,31,0,2.06249e+07,2.13366e+07,2.88536e+08,2.73213e+07,20624900.0
01/01/2009 16:00,1,1,4,16,0,16.7,31,0,2.13287e+07,2.16448e+07,2.88845e+08,2.80252e+07,21328700.0
01/01/2009 17:00,1,1,4,17,0,15,38,0,3.68137e+07,1.19754e+07,2.79175e+08,4.35101e+07,36813700.0
01/01/2009 18:00,1,1,4,18,0,11.7,49,0,7.72999e+07,1.4154e+06,2.23274e+08,8.39964e+07,77299900.0
01/01/2009 19:00,1,1,4,19,0,7.2,71,0,3.04018e+07,427932,1.59864e+08,3.70982e+07,30401800.0
01/01/2009 20:00,1,1,4,20,0,6.1,76,0,0,0,4.49508e+07,6.69644e+06,0.0
01/01/2009 21:00,1,1,4,21,0,6.7,68,0,0,0,3.88727e+07,6.69644e+06,0.0
01/01/2009 22:00,1,1,4,22,0,4.4,82,0,0,0,3.88727e+07,6.69644e+06,0.0
01/01/2009 23:00,1,1,4,23,0,5,73,0,0,0,3.88727e+07,6.69644e+06,0.0
01/02/2009 00:00,1,2,5,0,0,3.3,86,0,0,0,3.88727e+07,6.69644e+06,0.0
01/02/2009 01:00,1,2,5,1,0,5,76,0,0,0,3.58853e+07,6.69644e+06,0.0
01/02/2009 02:00,1,2,5,2,0,2.2,89,0,0,0,3.58853e+07,6.69644e+06,0.0
01/02/2009 03:00,1,2,5,3,0,3.3,79,0,0,0,3.58853e+07,6.69644e+06,0.0
01/02/2009 04:00,1,2,5,4,0,2.8,82,0,0,0,3.58853e+07,6.69644e+06,0.0
01/02/2009 05:00,1,2,5,5,0,2.2,82,0,0,0,3.58853e+07,6.69644e+06,0.0
01/02/2009 06:00,1,2,5,6,0,1.1,85,0,8.45427e+07,1.26585e+06,1.04712e+08,9.12392e+07,84542700.0
01/02/2009 07:00,1,2,5,7,0,1.7,82,0,3.63353e+07,664408,1.10191e+08,4.30317e+07,36335300.0
01/02/2009 08:00,1,2,5,8,0,2.2,85,0,2.1567e+08,0,1.4033e+08,2.22366e+08,215670000.0
01/02/2009 09:00,1,2,5,9,0,5.6,73,0,1.14309e+08,0,2.04778e+08,1.21005e+08,114309000.0
01/02/2009 10:00,1,2,5,10,0,8.3,58,0,6.2332e+06,1.45897e+06,3.49919e+08,1.29296e+07,6233200.0
