Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2009 01:00,1,1,4,1,0,2.8,93,0,0,0,2.74325e+07,6.69644e+06,0.0
01/01/2009 02:00,1,1,4,2,0,2.8,93,0,0,0,2.74325e+07,6.69644e+06,0.0
01/01/2009 03:00,1,1,4,3,0,2.2,96,0,0,0,2.74325e+07,6.69644e+06,0.0
01/01/2009 04:00,1,1,4,4,0,1.7,92,0,0,0,2.74325e+07,6.69644e+06,0.0
01/01/2009 05:00,1,1,4,5,0,1.7,96,0,0,0,2.74325e+07,6.69644e+06,0.0
01/01/2009 06:00,1,1,4,6,0,1.1,96,0,0,0,2.74325e+07,6.69644e+06,0.0
01/01/2009 07:00,1,1,4,7,0,1.7,92,0,0,0,3.35132e+07,6.69644e+06,0.0
01/01/2009 08:00,1,1,4,8,0,1.1,96,0,1.20615e+08,0,8.14727e+07,1.27312e+08,120615000.0
01/01/2009 09:00,1,1,4,9,0,6.7,83,0,4.77907e+07,1.81162e+06,8.32844e+07,5.44872e+07,47790700.0
01/01/2009 10:00,1,1,4,10,0,10.6,72,0,9.08238e+07,622925,9.85282e+07,9.75202e+07,90823800.0
01/01/2009 11:00,1,1,4,11,0,12.8,51,0,9.53696e+06,2.67173e+06,1.87011e+08,1.62334e+07,9536960.0
01/01/2009 12:00,1,1,4,12,0,14.4,44,0,2.33627e+06,8.7669e+06,1.93106e+08,9.03271e+06,2336270.0
01/01/2009 13:00,1,1,4,13,0,16.7,40,0,2.12466e+07,1.60167e+07,2.57978e+08,2.7943e+07,21246600.0
01/01/2009 14:00,1,1,4,14,0,17.2,33,0,2.15461e+07,1.74381e+07,2.594e+08,2.82425e+07,21546100.0
01/01/2009 15:00,1,1,4,15,0,16.7,31,0,2.53845e+07,1.66077e+07,2.58569e+08,3.20809e+07,25384500.0
01/01/2009 16:00,1,1,4,16,0,16.7,31,0,2.15062e+07,1.60855e+07,2.58047e+08,2.82027e+07,21506200.0
01/01/2009 17:00,1,1,4,17,0,15,38,0,3.69794e+07,6.17959e+06,2.48141e+08,4.36758e+07,36979400.0
01/01/2009 18:00,1,1,4,18,0,11.7,49,0,7.88109e+07,0,2.0142e+08,8.55073e+07,78810900.0
