Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2009 01:00,1,1,4,1,0,2.8,93,0,0,0,3.38139e+07,6.69644e+06,0.0
01/01/2009 02:00,1,1,4,2,0,2.8,93,0,0,0,3.38139e+07,6.69644e+06,0.0
01/01/2009 03:00,1,1,4,3,0,2.2,96,0,0,0,3.38139e+07,6.69644e+06,0.0
01/01/2009 04:00,1,1,4,4,0,1.7,92,0,0,0,3.38139e+07,6.69644e+06,0.0
01/01/2009 05:00,1,1,4,5,0,1.7,96,0,0,0,3.38139e+07,6.69644e+06,0.0
01/01/2009 06:00,1,1,4,6,0,1.1,96,0,0,0,3.38139e+07,6.69644e+06,0.0
01/01/2009 07:00,1,1,4,7,0,1.7,92,0,0,0,3.98947e+07,6.69644e+06,0.0
01/01/2009 08:00,1,1,4,8,0,1.1,96,0,1.12875e+08,0,7.92266e+07,1.19571e+08,112875000.0
01/01/2009 09:00,1,1,4,9,0,6.7,83,0,5.09815e+07,1.44634e+06,8.06729e+07,5.76779e+07,50981500.0
01/01/2009 10:00,1,1,4,10,0,10.6,72,0,9.32644e+07,835475,1.02876e+08,9.99609e+07,93264400.0
01/01/2009 11:00,1,1,4,11,0,12.8,51,0,8.04256e+06,6.20211e+06,1.73845e+08,1.4739e+07,8042560.0
01/01/2009 12:00,1,1,4,12,0,14.4,44,0,0,1.0241e+07,1.77884e+08,6.69644e+06,0.0
01/01/2009 13:00,1,1,4,13,0,16.7,40,0,1.98595e+07,1.85121e+07,2.2989e+08,2.65559e+07,19859500.0
01/01/2009 14:00,1,1,4,14,0,17.2,33,0,1.94279e+07,1.86156e+07,2.29994e+08,2.61244e+07,19427900.0
01/01/2009 15:00,1,1,4,15,0,16.7,31,0,2.2857e+07,1.53855e+07,2.26763e+08,2.95534e+07,22857000.0
01/01/2009 16:00,1,1,4,16,0,16.7,31,0,2.16809e+07,1.51753e+07,2.26553e+08,2.83774e+07,21680900.0
