Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2009 01:00,1,1,4,1,0,2.8,93,0,0,0,2.41827e+07,6.69644e+06,0.0
01/01/2009 02:00,1,1,4,2,0,2.8,93,0,0,0,2.41827e+07,6.69644e+06,0.0
01/01/2009 03:00,1,1,4,3,0,2.2,96,0,0,0,2.41827e+07,6.69644e+06,0.0
01/01/2009 04:00,1,1,4,4,0,1.7,92,0,0,0,2.41827e+07,6.69644e+06,0.0
01/01/2009 05:00,1,1,4,5,0,1.7,96,0,0,0,2.41827e+07,6.69644e+06,0.0
01/01/2009 06:00,1,1,4,6,0,1.1,96,0,0,0,2.41827e+07,6.69644e+06,0.0
01/01/2009 07:00,1,1,4,7,0,1.7,92,0,0,0,3.02634e+07,6.69644e+06,0.0
01/01/2009 08:00,1,1,4,8,0,1.1,96,0,1.58631e+08,0,6.47967e+07,1.65328e+08,158631000.0
01/01/2009 09:00,1,1,4,9,0,6.7,83,0,7.60573e+07,608602,6.54053e+07,8.27537e+07,76057300.0
01/01/2009 10:00,1,1,4,10,0,10.6,72,0,1.17449e+08,488084,7.84675e+07,1.24146e+08,117449000.0
01/01/2009 11:00,1,1,4,11,0,12.8,51,0,3.48103e+07,2.23657e+06,1.32319e+08,4.15067e+07,34810300.0
01/01/2009 12:00,1,1,4,12,0,14.4,44,0,3.86624e+06,6.23172e+06,1.36314e+08,1.05627e+07,3866240.0
01/01/2009 13:00,1,1,4,13,0,16.7,40,0,2.02427e+07,1.35865e+07,1.78404e+08,2.69392e+07,20242700.0
01/01/2009 14:00,1,1,4,14,0,17.2,33,0,1.83071e+07,1.40982e+07,1.78915e+08,2.50035e+07,18307100.0
01/01/2009 15:00,1,1,4,15,0,16.7,31,0,2.24324e+07,1.12568e+07,1.76074e+08,2.91288e+07,22432400.0
01/01/2009 16:00,1,1,4,16,0,16.7,31,0,2.20172e+07,1.05537e+07,1.75371e+08,2.87136e+07,22017200.0
01/01/2009 17:00,1,1,4,17,0,15,38,0,3.74922e+07,3.8846e+06,1.68702e+08,4.41887e+07,37492200.0
01/01/2009 18:00,1,1,4,18,0,11.7,49,0,7.83354e+07,0,1.47163e+08,8.50319e+07,78335400.0
01/01/2009 19:00,1,1,4,19,0,7.2,71,0,8.54859e+07,690655,1.13118e+08,9.21823e+07,85485900.0
01/01/2009 20:00,1,1,4,20,0,6.1,76,0,0,0,3.63415e+07,6.69644e+06,0.0
01/01/2009 21:00,1,1,4,21,0,6.7,68,0,0,0,3.02634e+07,6.69644e+06,0.0
01/01/2009 22:00,1,1,4,22,0,4.4,82,0,0,0,3.02634e+07,6.69644e+06,0.0
01/01/2009 23:00,1,1,4,23,0,5,73,0,0,0,3.02634e+07,6.69644e+06,0.0
01/02/2009 00:00,1,2,5,0,0,3.3,86,0,0,0,3.02634e+07,6.69644e+06,0.0
01/02/2009 01:00,1,2,5,1,0,5,76,0,0,0,2.64322e+07,6.69644e+06,0.0
01/02/2009 02:00,1,2,5,2,0,2.2,89,0,0,0,2.64322e+07,6.69644e+06,0.0
01/02/2009 03:00,1,2,5,3,0,3.3,79,0,0,0,2.64322e+07,6.69644e+06,0.0
01/02/2009 04:00,1,2,5,4,0,2.8,82,0,0,0,2.64322e+07,6.69644e+06,0.0
01/02/2009 05:00,1,2,5,5,0,2.2,82,0,0,0,2.64322e+07,6.69644e+06,0.0
01/02/2009 06:00,1,2,5,6,0,1.1,85,0,1.50052e+08,0,7.80462e+07,1.56748e+08,150052000.0
01/02/2009 07:00,1,2,5,7,0,1.7,82,0,8.59688e+07,0,8.41269e+07,9.26652e+07,85968800.0
01/02/2009 08:00,1,2,5,8,0,2.2,85,0,2.74335e+08,0,9.4334e+07,2.81032e+08,274335000.0
01/02/2009 09:00,1,2,5,9,0,5.6,73,0,1.78803e+08,0,1.30082e+08,1.855e+08,178803000.0
01/02/2009 10:00,1,2,5,10,0,8.3,58,0,5.24763e+07,350780,2.08273e+08,5.91728e+07,52476300.0
01/02/2009 11:00,1,2,5,11,0,10,54,0,1.24675e+07,724322,2.08646e+08,1.91639e+07,12467500.0
01/02/2009 12:00,1,2,5,12,0,12.2,53,0,1.64634e+06,3.26207e+06,2.11184e+08,8.34278e+06,1646340.0
01/02/2009 13:00,1,2,5,13,0,13.9,53,0,4.9157e+07,5.46557e+06,2.13387e+08,5.58534e+07,49157000.0
01/02/2009 14:00,1,2,5,14,0,13.3,57,0,5.52399e+07,1.99083e+06,2.09913e+08,6.19363e+07,55239900.0
01/02/2009 15:00,1,2,5,15,0,13.9,58,0,4.44942e+07,1.05274e+07,2.18449e+08,5.11906e+07,44494200.0
01/02/2009 16:00,1,2,5,16,0,13.3,62,0,5.07995e+07,6.57449e+06,2.14496e+08,5.7496e+07,50799500.0
01/02/2009 17:00,1,2,5,17,0,12.2,69,0,6.21958e+07,1.40998e+06,2.09332e+08,6.88922e+07,62195800.0
01/02/2009 18:00,1,2,5,18,0,11.1,80,0,7.63272e+07,0,2.25002e+08,8.30237e+07,76327200.0
01/02/2009 19:00,1,2,5,19,0,10.6,83,0,1.05756e+07,484433,1.74013e+08,1.7272e+07,10575600.0
01/02/2009 20:00,1,2,5,20,0,10.6,86,0,1.06968e+07,80451.6,1.64611e+08,1.73932e+07,10696800.0
01/02/2009 21:00,1,2,5,21,0,11.7,83,0,1.17669e+07,0,1.58452e+08,1.84634e+07,11766900.0
01/02/2009 22:00,1,2,5,22,0,11.7,90,0,0,0,5.18158e+07,6.69644e+06,0.0
01/02/2009 23:00,1,2,5,23,0,12.2,86,0,0,0,3.25129e+07,6.69644e+06,0.0
01/03/2009 00:00,1,3,6,0,0,11.7,90,0,0,0,3.25129e+07,6.69644e+06,0.0
01/03/2009 01:00,1,3,6,1,0,11.7,93,0,0,0,2.64322e+07,6.69644e+06,0.0
01/03/2009 02:00,1,3,6,2,0,11.7,96,0,0,0,2.64322e+07,6.69644e+06,0.0
01/03/2009 03:00,1,3,6,3,0,12.8,93,0,0,0,2.64322e+07,6.69644e+06,0.0
01/03/2009 04:00,1,3,6,4,0,13.3,93,0,0,0,2.64322e+07,6.69644e+06,0.0
01/03/2009 05:00,1,3,6,5,0,13.9,97,0,0,0,2.64322e+07,6.69644e+06,0.0
01/03/2009 06:00,1,3,6,6,0,14.4,97,0,1.87795e+07,0,4.58037e+07,2.54759e+07,18779500.0
01/03/2009 07:00,1,3,6,7,0,15,90,0,1.41913e+07,1.68153e+06,8.33772e+07,2.08877e+07,14191300.0
01/03/2009 08:00,1,3,6,8,0,15.6,87,0,1.86724e+07,65918.1,9.23739e+07,2.53688e+07,18672400.0
01/03/2009 09:00,1,3,6,9,0,15,81,0,4.17129e+06,169924,1.30252e+08,1.08677e+07,4171290.0
01/03/2009 10:00,1,3,6,10,0,12.2,67,0,1.9718e+06,1.40374e+06,2.09326e+08,8.66824e+06,1971800.0
01/03/2009 11:00,1,3,6,11,0,12.2,57,0,8895.48,3.31171e+06,2.11234e+08,6.70533e+06,8895.48
01/03/2009 12:00,1,3,6,12,0,13.9,55,0,1.39778e+06,1.17252e+07,2.19647e+08,8.09422e+06,1397780.0
01/03/2009 13:00,1,3,6,13,0,13.3,57,0,5.65697e+07,3.02954e+06,2.10951e+08,6.32662e+07,56569700.0
01/03/2009 14:00,1,3,6,14,0,11.1,64,0,7.03793e+07,1.47363e+06,2.09395e+08,7.70757e+07,70379300.0
01/03/2009 15:00,1,3,6,15,0,9.4,74,0,8.86578e+07,615337,2.08537e+08,9.53542e+07,88657800.0
01/03/2009 16:00,1,3,6,16,0,8.9,80,0,8.96623e+07,590033,2.08512e+08,9.63587e+07,89662300.0
01/03/2009 17:00,1,3,6,17,0,8.9,80,0,9.0159e+07,0,2.07922e+08,9.68554e+07,90159000.0
01/03/2009 18:00,1,3,6,18,0,8.3,80,0,1.01318e+08,0,2.25002e+08,1.08014e+08,101318000.0
01/03/2009 19:00,1,3,6,19,0,8.3,71,0,1.3557e+07,0,1.73528e+08,2.02534e+07,13557000.0
01/03/2009 20:00,1,3,6,20,0,8.3,68,0,3.14523e+07,0,1.6453e+08,3.81488e+07,31452300.0
01/03/2009 21:00,1,3,6,21,0,8.3,68,0,3.43308e+07,0,1.62504e+08,4.10273e+07,34330800.0
01/03/2009 22:00,1,3,6,22,0,8.3,66,0,0,0,5.18158e+07,6.69644e+06,0.0
01/03/2009 23:00,1,3,6,23,0,7.8,63,0,0,0,3.25129e+07,6.69644e+06,0.0
01/04/2009 00:00,1,4,0,0,0,7.2,66,0,0,0,3.25129e+07,6.69644e+06,0.0
01/04/2009 01:00,1,4,0,1,0,6.7,68,0,0,0,2.64322e+07,6.69644e+06,0.0
01/04/2009 02:00,1,4,0,2,0,7.2,66,0,0,0,2.64322e+07,6.69644e+06,0.0
01/04/2009 03:00,1,4,0,3,0,5,76,0,0,0,2.64322e+07,6.69644e+06,0.0
01/04/2009 04:00,1,4,0,4,0,5.6,73,0,0,0,2.64322e+07,6.69644e+06,0.0
01/04/2009 05:00,1,4,0,5,0,5,70,0,0,0,2.64322e+07,6.69644e+06,0.0
01/04/2009 06:00,1,4,0,6,0,3.9,76,0,1.11947e+08,689283,7.87354e+07,1.18643e+08,111947000.0
01/04/2009 07:00,1,4,0,7,0,4.4,73,0,5.32505e+07,220994,8.43479e+07,5.9947e+07,53250500.0
01/04/2009 08:00,1,4,0,8,0,3.9,76,0,2.27377e+08,0,9.4334e+07,2.34074e+08,227377000.0
01/04/2009 09:00,1,4,0,9,0,4.4,73,0,1.90536e+08,0,1.30082e+08,1.97233e+08,190536000.0
01/04/2009 10:00,1,4,0,10,0,5,70,0,8.667e+07,324086,2.08246e+08,9.33664e+07,86670000.0
01/04/2009 11:00,1,4,0,11,0,6.7,65,0,3.80696e+07,1.11107e+06,2.09033e+08,4.4766e+07,38069600.0
01/04/2009 12:00,1,4,0,12,0,7.8,63,0,3.8316e+06,3.41604e+06,2.11338e+08,1.0528e+07,3831600.0
