Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2009 01:00,1,1,4,1,0,2.8,93,0,0,0,4.50467e+07,6.69644e+06,0.0
01/01/2009 02:00,1,1,4,2,0,2.8,93,0,0,0,4.50467e+07,6.69644e+06,0.0
01/01/2009 03:00,1,1,4,3,0,2.2,96,0,0,0,4.50467e+07,6.69644e+06,0.0
01/01/2009 04:00,1,1,4,4,0,1.7,92,0,0,0,4.50467e+07,6.69644e+06,0.0
01/01/2009 05:00,1,1,4,5,0,1.7,96,0,0,0,4.50467e+07,6.69644e+06,0.0
01/01/2009 06:00,1,1,4,6,0,1.1,96,0,0,0,4.50467e+07,6.69644e+06,0.0
01/01/2009 07:00,1,1,4,7,0,1.7,92,0,0,0,5.11274e+07,6.69644e+06,0.0
01/01/2009 08:00,1,1,4,8,0,1.1,96,0,3.85582e+07,4.73062e+06,1.21308e+08,4.52547e+07,38558200.0
01/01/2009 09:00,1,1,4,9,0,6.7,83,0,2.16578e+07,4.43067e+06,1.21008e+08,2.83542e+07,21657800.0
01/01/2009 10:00,1,1,4,10,0,10.6,72,0,2.45235e+07,1.75702e+06,1.52382e+08,3.12199e+07,24523500.0
01/01/2009 11:00,1,1,4,11,0,12.8,51,0,0,1.2665e+07,3.00416e+08,6.69644e+06,0.0
01/01/2009 12:00,1,1,4,12,0,14.4,44,0,3.88786e+06,1.8082e+07,3.05833e+08,1.05843e+07,3887860.0
01/01/2009 13:00,1,1,4,13,0,16.7,40,0,2.30849e+07,3.12793e+07,4.10447e+08,2.97813e+07,23084900.0
01/01/2009 14:00,1,1,4,14,0,17.2,33,0,1.50155e+07,4.40789e+07,4.23247e+08,2.17119e+07,15015500.0
01/01/2009 15:00,1,1,4,15,0,16.7,31,0,1.90647e+07,4.81073e+07,4.27275e+08,2.57612e+07,19064700.0
01/01/2009 16:00,1,1,4,16,0,16.7,31,0,2.06456e+07,4.76643e+07,4.26832e+08,2.73421e+07,20645600.0
01/01/2009 17:00,1,1,4,17,0,15,38,0,3.61575e+07,3.8463e+07,4.17631e+08,4.28539e+07,36157500.0
01/01/2009 18:00,1,1,4,18,0,11.7,49,0,6.5403e+07,5.31594e+06,3.10147e+08,7.20994e+07,65403000.0
01/01/2009 19:00,1,1,4,19,0,7.2,71,0,2.93328e+07,795358,2.14209e+08,3.60293e+07,29332800.0
01/01/2009 20:00,1,1,4,20,0,6.1,76,0,0,0,5.72055e+07,6.69644e+06,0.0
01/01/2009 21:00,1,1,4,21,0,6.7,68,0,0,0,5.11274e+07,6.69644e+06,0.0
01/01/2009 22:00,1,1,4,22,0,4.4,82,0,0,0,5.11274e+07,6.69644e+06,0.0
01/01/2009 23:00,1,1,4,23,0,5,73,0,0,0,5.11274e+07,6.69644e+06,0.0
01/02/2009 00:00,1,2,5,0,0,3.3,86,0,0,0,5.11274e+07,6.69644e+06,0.0
01/02/2009 01:00,1,2,5,1,0,5,76,0,0,0,5.06428e+07,6.69644e+06,0.0
01/02/2009 02:00,1,2,5,2,0,2.2,89,0,0,0,5.06428e+07,6.69644e+06,0.0
01/02/2009 03:00,1,2,5,3,0,3.3,79,0,0,0,5.06428e+07,6.69644e+06,0.0
01/02/2009 04:00,1,2,5,4,0,2.8,82,0,0,0,5.06428e+07,6.69644e+06,0.0
01/02/2009 05:00,1,2,5,5,0,2.2,82,0,0,0,5.06428e+07,6.69644e+06,0.0
01/02/2009 06:00,1,2,5,6,0,1.1,85,0,3.10852e+07,463097,1.00205e+08,3.77816e+07,31085200.0
01/02/2009 07:00,1,2,5,7,0,1.7,82,0,1.43453e+07,3.61374e+06,1.42868e+08,2.10417e+07,14345300.0
