Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2009 01:00,1,1,4,1,0,2.8,93,0,0,0,4.04349e+07,6.69644e+06,0.0
01/01/2009 02:00,1,1,4,2,0,2.8,93,0,0,0,4.04349e+07,6.69644e+06,0.0
01/01/2009 03:00,1,1,4,3,0,2.2,96,0,0,0,4.04349e+07,6.69644e+06,0.0
01/01/2009 04:00,1,1,4,4,0,1.7,92,0,0,0,4.04349e+07,6.69644e+06,0.0
01/01/2009 05:00,1,1,4,5,0,1.7,96,0,0,0,4.04349e+07,6.69644e+06,0.0
01/01/2009 06:00,1,1,4,6,0,1.1,96,0,0,0,4.04349e+07,6.69644e+06,0.0
01/01/2009 07:00,1,1,4,7,0,1.7,92,0,0,0,4.65156e+07,6.69644e+06,0.0
01/01/2009 08:00,1,1,4,8,0,1.1,96,0,6.65157e+07,1.93904e+06,1.014e+08,7.32121e+07,66515700.0
01/01/2009 09:00,1,1,4,9,0,6.7,83,0,2.70385e+07,2.5936e+06,1.02055e+08,3.37349e+07,27038500.0
01/01/2009 10:00,1,1,4,10,0,10.6,72,0,5.80645e+07,1.32841e+06,1.30225e+08,6.47609e+07,58064500.0
01/01/2009 11:00,1,1,4,11,0,12.8,51,0,409819,8.86452e+06,2.38681e+08,7.10626e+06,409819.0
01/01/2009 12:00,1,1,4,12,0,14.4,44,0,2.72557e+06,1.46018e+07,2.44419e+08,9.42201e+06,2725570.0
01/01/2009 13:00,1,1,4,13,0,16.7,40,0,2.1629e+07,2.26681e+07,3.19765e+08,2.83254e+07,21629000.0
01/01/2009 14:00,1,1,4,14,0,17.2,33,0,2.30942e+07,2.73281e+07,3.24425e+08,2.97906e+07,23094200.0
01/01/2009 15:00,1,1,4,15,0,16.7,31,0,1.95692e+07,2.95968e+07,3.26694e+08,2.62657e+07,19569200.0
01/01/2009 16:00,1,1,4,16,0,16.7,31,0,2.11296e+07,2.99534e+07,3.27051e+08,2.7826e+07,21129600.0
01/01/2009 17:00,1,1,4,17,0,15,38,0,3.6627e+07,2.07273e+07,3.17825e+08,4.33234e+07,36627000.0
01/01/2009 18:00,1,1,4,18,0,11.7,49,0,7.40692e+07,4.28998e+06,2.51187e+08,8.07656e+07,74069200.0
01/01/2009 19:00,1,1,4,19,0,7.2,71,0,2.83972e+07,178074,1.79795e+08,3.50937e+07,28397200.0
01/01/2009 20:00,1,1,4,20,0,6.1,76,0,0,0,5.25937e+07,6.69644e+06,0.0
01/01/2009 21:00,1,1,4,21,0,6.7,68,0,0,0,4.65156e+07,6.69644e+06,0.0
01/01/2009 22:00,1,1,4,22,0,4.4,82,0,0,0,4.65156e+07,6.69644e+06,0.0
01/01/2009 23:00,1,1,4,23,0,5,73,0,0,0,4.65156e+07,6.69644e+06,0.0
01/02/2009 00:00,1,2,5,0,0,3.3,86,0,0,0,4.65156e+07,6.69644e+06,0.0
01/02/2009 01:00,1,2,5,1,0,5,76,0,0,0,4.67423e+07,6.69644e+06,0.0
01/02/2009 02:00,1,2,5,2,0,2.2,89,0,0,0,4.67423e+07,6.69644e+06,0.0
01/02/2009 03:00,1,2,5,3,0,3.3,79,0,0,0,4.67423e+07,6.69644e+06,0.0
01/02/2009 04:00,1,2,5,4,0,2.8,82,0,0,0,4.67423e+07,6.69644e+06,0.0
01/02/2009 05:00,1,2,5,5,0,2.2,82,0,0,0,4.67423e+07,6.69644e+06,0.0
01/02/2009 06:00,1,2,5,6,0,1.1,85,0,5.21392e+07,3.17472e+06,1.19943e+08,5.88356e+07,52139200.0
01/02/2009 07:00,1,2,5,7,0,1.7,82,0,1.90152e+07,731747,1.23581e+08,2.57116e+07,19015200.0
01/02/2009 08:00,1,2,5,8,0,2.2,85,0,1.82489e+08,0,1.59497e+08,1.89186e+08,182489000.0
01/02/2009 09:00,1,2,5,9,0,5.6,73,0,9.01883e+07,724800,2.30542e+08,9.68848e+07,90188300.0
01/02/2009 10:00,1,2,5,10,0,8.3,58,0,6.27351e+06,5.94904e+06,3.78737e+08,1.297e+07,6273510.0
01/02/2009 11:00,1,2,5,11,0,10,54,0,5.27506e+06,9.6052e+06,3.82394e+08,1.19715e+07,5275060.0
01/02/2009 12:00,1,2,5,12,0,12.2,53,0,5.50227e+06,1.36655e+07,3.86454e+08,1.21987e+07,5502270.0
01/02/2009 13:00,1,2,5,13,0,13.9,53,0,4.56527e+07,2.15535e+07,3.94342e+08,5.23492e+07,45652700.0
01/02/2009 14:00,1,2,5,14,0,13.3,57,0,5.12511e+07,2.7317e+07,4.00105e+08,5.79475e+07,51251100.0
01/02/2009 15:00,1,2,5,15,0,13.9,58,0,4.32715e+07,3.97596e+07,4.12548e+08,4.99679e+07,43271500.0
01/02/2009 16:00,1,2,5,16,0,13.3,62,0,4.96504e+07,3.88579e+07,4.11646e+08,5.63469e+07,49650400.0
01/02/2009 17:00,1,2,5,17,0,12.2,69,0,6.04948e+07,2.85797e+07,4.01368e+08,6.71912e+07,60494800.0
01/02/2009 18:00,1,2,5,18,0,11.1,80,0,7.04273e+07,1.77092e+07,4.07578e+08,7.71237e+07,70427300.0
01/02/2009 19:00,1,2,5,19,0,10.6,83,0,3.0483e+06,9.06631e+06,3.14834e+08,9.74474e+06,3048300.0
01/02/2009 20:00,1,2,5,20,0,10.6,86,0,9.2286e+06,4.81359e+06,2.85351e+08,1.5925e+07,9228600.0
01/02/2009 21:00,1,2,5,21,0,11.7,83,0,164066,5.35239e+06,2.79812e+08,6.86051e+06,164066.0
01/02/2009 22:00,1,2,5,22,0,11.7,90,0,0,0,8.43612e+07,6.69644e+06,0.0
01/02/2009 23:00,1,2,5,23,0,12.2,86,0,0,0,5.2823e+07,6.69644e+06,0.0
01/03/2009 00:00,1,3,6,0,0,11.7,90,0,0,0,5.2823e+07,6.69644e+06,0.0
01/03/2009 01:00,1,3,6,1,0,11.7,93,0,0,0,4.67423e+07,6.69644e+06,0.0
01/03/2009 02:00,1,3,6,2,0,11.7,96,0,0,0,4.67423e+07,6.69644e+06,0.0
01/03/2009 03:00,1,3,6,3,0,12.8,93,0,0,0,4.67423e+07,6.69644e+06,0.0
01/03/2009 04:00,1,3,6,4,0,13.3,93,0,0,0,4.67423e+07,6.69644e+06,0.0
01/03/2009 05:00,1,3,6,5,0,13.9,97,0,0,0,4.67423e+07,6.69644e+06,0.0
01/03/2009 06:00,1,3,6,6,0,14.4,97,0,0,0,5.07944e+07,6.69644e+06,0.0
01/03/2009 07:00,1,3,6,7,0,15,90,0,0,4.56776e+06,1.25391e+08,6.69644e+06,0.0
01/03/2009 08:00,1,3,6,8,0,15.6,87,0,6.29617e+06,1.42329e+06,1.57882e+08,1.29926e+07,6296170.0
01/03/2009 09:00,1,3,6,9,0,15,81,0,0,3.84025e+06,2.33657e+08,6.69644e+06,0.0
01/03/2009 10:00,1,3,6,10,0,12.2,67,0,1.7589e+06,9.83023e+06,3.82619e+08,8.45534e+06,1758900.0
01/03/2009 11:00,1,3,6,11,0,12.2,57,0,2.99884e+06,1.56286e+07,3.88417e+08,9.69528e+06,2998840.0
01/03/2009 12:00,1,3,6,12,0,13.9,55,0,0,4.15198e+07,4.14308e+08,6.69644e+06,0.0
01/03/2009 13:00,1,3,6,13,0,13.3,57,0,5.00487e+07,3.65216e+07,4.0931e+08,5.67451e+07,50048700.0
01/03/2009 14:00,1,3,6,14,0,11.1,64,0,6.88177e+07,2.9584e+07,4.02372e+08,7.55141e+07,68817700.0
