Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,2.98123e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,2.98123e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,2.98123e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,2.98123e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,2.98123e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,2.98123e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,3.58931e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,7.67587e+07,0,1.08588e+08,6.69644e+06,22.3755,22.3755,24.6383,22.3755,5.16292,0,1.75996e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,3.12204e+07,0,5.48591e+07,6.69644e+06,22.4186,22.4186,24.6383,22.4186,2.43631,0,8.13784e+07,0
01/01/2009 10:00,1,1,4,10,0,2,80,3.5879e+07,0,7.97458e+07,6.69644e+06,22.4284,22.4284,24.6383,22.4284,2.85449,0,9.49223e+07,0
01/01/2009 11:00,1,1,4,11,0,2,80,9.0516e+06,0,1.15098e+08,6.69644e+06,22.4498,22.4498,24.6383,22.4498,0.609661,0,2.00777e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,8.50056e+06,0,1.14409e+08,6.69644e+06,22.4732,22.4732,24.6383,22.4732,0.560058,0,1.82463e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.76051e+07,234430,1.83905e+08,6.69644e+06,22.5182,22.5182,24.6383,22.5182,2.23621,0,7.13373e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,2.89071e+07,0,1.85076e+08,6.69644e+06,22.5298,22.5298,24.6383,22.5298,2.34596,0,7.44313e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.04228e+07,0,2.12998e+08,6.69644e+06,22.5216,22.5216,24.6383,22.5216,2.48307,0,7.90906e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,2.99073e+07,0,2.12453e+08,6.69644e+06,22.5217,22.5217,24.6383,22.5217,2.47138,0,7.87136e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.13152e+07,0,2.14028e+08,6.69644e+06,22.5216,22.5216,24.6383,22.5216,2.59889,0,8.27766e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,3.47304e+07,0,1.80247e+08,6.69644e+06,22.519,22.519,24.6383,22.519,2.86057,0,9.12273e+07,0
01/01/2009 19:00,1,1,4,19,0,-2,71,1.07885e+07,0,9.58097e+07,6.69644e+06,22.5025,22.5025,24.6383,22.5025,0.746222,0,2.39833e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.89051e+06,0,4.11855e+07,6.69644e+06,22.4547,22.4547,24.6383,22.4547,0.306677,0,1.0082e+07,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,3.58931e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,3.58931e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,3.58931e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,0,0,3.58931e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,3.19737e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,3.19737e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,3.19737e+07,6.69644e+06,22.4201,22.4201,22.4201,22.4201,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,1.56488e+06,0,3.35468e+07,6.69644e+06,22.4196,22.4196,24.6383,22.4196,0.0062874,0,209919,0
01/02/2009 05:00,1,2,5,5,0,-12,91,1.70186e+06,0,3.36935e+07,6.69644e+06,22.4178,22.4178,24.6383,22.4178,0.0125283,0,418627,0
01/02/2009 06:00,1,2,5,6,0,-15,83,1.04616e+08,0,1.54998e+08,6.69644e+06,22.3013,22.3013,24.6383,22.3013,7.26856,0,2.55503e+08,0
01/02/2009 07:00,1,2,5,7,0,-14,83,5.20239e+07,0,1.01586e+08,6.69644e+06,22.3253,22.3253,24.6383,22.3253,4.54318,0,1.58133e+08,0
01/02/2009 08:00,1,2,5,8,0,-13,83,4.94762e+07,0,1.26922e+08,6.69644e+06,22.3291,22.3291,24.6383,22.3291,4.2804,0,1.4874e+08,0
01/02/2009 09:00,1,2,5,9,0,-11,84,2.91963e+07,0,1.52324e+08,6.69644e+06,22.3772,22.3772,24.6383,22.3772,2.27488,0,7.74037e+07,0
