Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,2.27132e+07,6.69644e+06,13.3055,13.3055,13.3055,13.3055,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,2.27132e+07,6.69644e+06,13.3055,13.3055,13.3055,13.3055,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,1.45005e+06,0,2.41642e+07,6.69644e+06,13.3054,13.3054,17.5413,13.3054,0.000531104,0,33910.1,0
01/01/2009 04:00,1,1,4,4,0,-2,78,1.44439e+06,0,2.41582e+07,6.69644e+06,13.3053,13.3053,17.5413,13.3053,0.000369611,0,23599.9,0
01/01/2009 05:00,1,1,4,5,0,-2,85,1.49846e+06,0,2.42165e+07,6.69644e+06,13.3047,13.3047,17.5413,13.3047,0.00285802,0,182511,0
01/01/2009 06:00,1,1,4,6,0,-1,92,1.44217e+06,0,2.41558e+07,6.69644e+06,13.3041,13.3041,17.5413,13.3041,0.000262994,0,16796.8,0
01/01/2009 07:00,1,1,4,7,0,-1,100,1.49762e+06,0,3.02964e+07,6.69644e+06,13.3036,13.3036,17.5413,13.3036,0.00281475,0,179794,0
01/01/2009 08:00,1,1,4,8,0,-1,100,8.44921e+07,0,1.08699e+08,6.69644e+06,13.24,13.24,17.5413,13.24,3.37451,0,2.19568e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,4.02697e+07,0,5.75589e+07,6.69644e+06,13.3275,13.3275,17.5413,13.3275,1.73241,0,1.10034e+08,0
01/01/2009 10:00,1,1,4,10,0,2,80,4.45396e+07,0,7.45207e+07,6.69644e+06,13.3567,13.3567,17.5413,13.3567,1.93184,0,1.2185e+08,0
01/01/2009 11:00,1,1,4,11,0,2,80,1.52568e+07,0,7.63518e+07,6.69644e+06,13.4073,13.4073,17.5413,13.4073,0.554126,0,3.45274e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,1.21965e+07,0,7.27704e+07,6.69644e+06,13.4649,13.4649,17.5413,13.4649,0.412203,0,2.53262e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,3.03843e+07,0,1.17564e+08,6.69644e+06,13.6044,13.6044,17.5413,13.6044,1.27012,0,7.53648e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,3.20647e+07,0,1.19368e+08,6.69644e+06,13.6378,13.6378,17.5413,13.6378,1.34487,0,7.91214e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.44575e+07,0,1.33153e+08,6.69644e+06,13.6337,13.6337,17.5413,13.6337,1.45225,0,8.55286e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.44436e+07,0,1.33144e+08,6.69644e+06,13.6331,13.6331,17.5413,13.6331,1.45172,0,8.55111e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.55497e+07,0,1.34291e+08,6.69644e+06,13.6352,13.6352,17.5413,13.6352,1.50357,0,8.85187e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,3.98864e+07,0,1.28128e+08,6.69644e+06,13.6206,13.6206,17.5413,13.6206,1.70503,0,1.00754e+08,0
01/01/2009 19:00,1,1,4,19,0,-2,71,2.17757e+07,0,7.97628e+07,6.69644e+06,13.4831,13.4831,17.5413,13.4831,0.845676,0,5.1893e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.83921e+06,0,3.3902e+07,6.69644e+06,13.3413,13.3413,17.5413,13.3413,0.157048,0,9.94493e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,2.87939e+07,6.69644e+06,13.3059,13.3059,13.3059,13.3059,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,2.87939e+07,6.69644e+06,13.3059,13.3059,13.3059,13.3059,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,2.87939e+07,6.69644e+06,13.3059,13.3059,13.3059,13.3059,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,741643,0,2.95374e+07,6.69644e+06,13.3058,13.3058,15.4236,13.3058,0.00107766,0,68801.5,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,2.48745e+07,6.69644e+06,13.3055,13.3055,13.3055,13.3055,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,1.44896e+06,0,2.63242e+07,6.69644e+06,13.3055,13.3055,17.5413,13.3055,0.000421942,0,26940,0
01/02/2009 03:00,1,2,5,3,0,-10,91,1.48486e+06,0,2.63633e+07,6.69644e+06,13.305,13.305,17.5413,13.305,0.00226846,0,144852,0
01/02/2009 04:00,1,2,5,4,0,-11,91,1.796e+06,0,2.67177e+07,6.69644e+06,13.3003,13.3003,17.5413,13.3003,0.0144744,0,925743,0
01/02/2009 05:00,1,2,5,5,0,-12,91,2.40989e+06,0,2.74495e+07,6.69644e+06,13.2626,13.2626,17.5413,13.2626,0.0419871,0,2.70777e+06,0
01/02/2009 06:00,1,2,5,6,0,-15,83,1.22074e+08,0,1.64881e+08,6.69644e+06,13.005,13.005,17.5413,13.005,4.81387,0,3.29637e+08,0
