Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,3.20137e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,3.20137e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,3.20137e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,3.20137e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,3.20137e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,3.20137e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,3.80944e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,8.14592e+07,0,1.16955e+08,6.69644e+06,15.0658,15.0658,16.8401,15.0658,6.06771,0,1.62368e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,3.06021e+07,0,5.67395e+07,6.69644e+06,15.1049,15.1049,16.8401,15.1049,2.78446,0,7.27899e+07,0
01/01/2009 10:00,1,1,4,10,0,2,80,3.58869e+07,0,8.47654e+07,6.69644e+06,15.1127,15.1127,16.8401,15.1127,3.33852,0,8.68818e+07,0
01/01/2009 11:00,1,1,4,11,0,2,80,9.1052e+06,0,1.29401e+08,6.69644e+06,15.1305,15.1305,16.8401,15.1305,0.724419,0,1.86584e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,8.47266e+06,0,1.28596e+08,6.69644e+06,15.1501,15.1501,16.8401,15.1501,0.658086,0,1.67549e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.8643e+07,420951,2.06845e+08,6.69644e+06,15.2151,15.2151,16.8401,15.2151,2.75673,0,6.74804e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,2.98292e+07,0,2.07721e+08,6.69644e+06,15.2026,15.2026,16.8401,15.2026,2.88921,0,7.12773e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.15236e+07,0,2.40561e+08,6.69644e+06,15.1889,15.1889,16.8401,15.1889,3.06901,0,7.63461e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.15464e+07,0,2.40587e+08,6.69644e+06,15.1886,15.1886,16.8401,15.1886,3.07142,0,7.64197e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.30307e+07,3.85743e+06,2.46754e+08,6.69644e+06,15.447,15.447,16.8401,15.447,3.48342,0,7.31056e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,3.5376e+07,0,1.99057e+08,6.69644e+06,15.2566,15.2566,16.8401,15.2566,3.45816,0,8.25372e+07,0
01/01/2009 19:00,1,1,4,19,0,-2,71,1.00751e+07,0,1.03871e+08,6.69644e+06,15.1789,15.1789,16.8401,15.1789,0.807991,0,2.02237e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.95039e+06,0,4.35169e+07,6.69644e+06,15.1335,15.1335,16.8401,15.1335,0.372526,0,9.58413e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,3.80944e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,3.80944e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,3.80944e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,0,0,3.80944e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,3.4175e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,3.4175e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,3.4175e+07,6.69644e+06,15.0999,15.0999,15.0999,15.0999,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,1.47957e+06,0,3.56608e+07,6.69644e+06,15.0997,15.0997,16.8401,15.0997,0.00494407,0,129642,0
01/02/2009 05:00,1,2,5,5,0,-12,91,1.53832e+06,0,3.57279e+07,6.69644e+06,15.0984,15.0984,16.8401,15.0984,0.011474,0,301077,0
01/02/2009 06:00,1,2,5,6,0,-15,83,1.13357e+08,0,1.68029e+08,6.69644e+06,15.0047,15.0047,16.8401,15.0047,8.56329,0,2.36561e+08,0
