Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,2.95199e+07,6.69644e+06,17.6966,17.6966,17.6966,17.6966,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,2.95199e+07,6.69644e+06,17.6966,17.6966,17.6966,17.6966,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,2.95199e+07,6.69644e+06,17.6966,17.6966,17.6966,17.6966,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,2.95199e+07,6.69644e+06,17.6966,17.6966,17.6966,17.6966,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,2.95199e+07,6.69644e+06,17.6966,17.6966,17.6966,17.6966,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,2.95199e+07,6.69644e+06,17.6966,17.6966,17.6966,17.6966,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,3.56007e+07,6.69644e+06,17.6966,17.6966,17.6966,17.6966,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,7.93107e+07,0,1.088e+08,6.69644e+06,17.6115,17.6115,22.0564,17.6115,2.65898,0,1.78192e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,3.21373e+07,0,5.45914e+07,6.69644e+06,17.6971,17.6971,22.0564,17.6971,1.27151,0,8.34669e+07,0
01/01/2009 10:00,1,1,4,10,0,2,80,3.68049e+07,0,7.90095e+07,6.69644e+06,17.7169,17.7169,22.0564,17.7169,1.48278,0,9.68925e+07,0
01/01/2009 11:00,1,1,4,11,0,2,80,9.21028e+06,0,1.13133e+08,6.69644e+06,17.7618,17.7618,22.0564,17.7618,0.314963,0,2.03683e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,8.65462e+06,0,1.1246e+08,6.69644e+06,17.8102,17.8102,22.0564,17.8102,0.289731,0,1.85255e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.81293e+07,125957,1.8054e+08,6.69644e+06,17.893,17.893,22.0564,17.893,1.14849,0,7.19988e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,2.94566e+07,0,1.81803e+08,6.69644e+06,17.9183,17.9183,22.0564,17.9183,1.20644,0,7.51734e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.10092e+07,0,2.09081e+08,6.69644e+06,17.9067,17.9067,22.0564,17.9067,1.27722,0,7.9807e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.04293e+07,0,2.08465e+08,6.69644e+06,17.9074,17.9074,22.0564,17.9074,1.26828,0,7.92356e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.18631e+07,0,2.1001e+08,6.69644e+06,17.9074,17.9074,22.0564,17.9074,1.33374,0,8.33254e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,3.54815e+07,0,1.77443e+08,6.69644e+06,17.9011,17.9011,22.0564,17.9011,1.47492,0,9.22851e+07,0
01/01/2009 19:00,1,1,4,19,0,-2,71,1.11121e+07,0,9.46823e+07,6.69644e+06,17.8658,17.8658,22.0564,17.8658,0.391179,0,2.46853e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.92174e+06,0,4.07896e+07,6.69644e+06,17.7671,17.7671,22.0564,17.7671,0.156794,0,1.01324e+07,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,3.56007e+07,6.69644e+06,17.6967,17.6967,17.6967,17.6967,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,3.56007e+07,6.69644e+06,17.6967,17.6967,17.6967,17.6967,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,3.56007e+07,6.69644e+06,17.6967,17.6967,17.6967,17.6967,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,0,0,3.56007e+07,6.69644e+06,17.6967,17.6967,17.6967,17.6967,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,3.16813e+07,6.69644e+06,17.6967,17.6967,17.6967,17.6967,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,3.16813e+07,6.69644e+06,17.6967,17.6967,17.6967,17.6967,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,3.16813e+07,6.69644e+06,17.6967,17.6967,17.6967,17.6967,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,1.54827e+06,0,3.32353e+07,6.69644e+06,17.6955,17.6955,22.0564,17.6955,0.00337949,0,221928,0
01/02/2009 05:00,1,2,5,5,0,-12,91,1.71034e+06,0,3.34099e+07,6.69644e+06,17.6913,17.6913,22.0564,17.6913,0.00777768,0,511290,0
01/02/2009 06:00,1,2,5,6,0,-15,83,1.0806e+08,0,1.55366e+08,6.69644e+06,17.4593,17.4593,22.0564,17.4593,3.76594,0,2.60605e+08,0
01/02/2009 07:00,1,2,5,7,0,-14,83,5.37229e+07,0,1.01358e+08,6.69644e+06,17.5067,17.5067,22.0564,17.5067,2.37825,0,1.62941e+08,0
01/02/2009 08:00,1,2,5,8,0,-13,83,5.10717e+07,0,1.25802e+08,6.69644e+06,17.5145,17.5145,22.0564,17.5145,2.23973,0,1.5319e+08,0
01/02/2009 09:00,1,2,5,9,0,-11,84,3.03156e+07,0,1.50457e+08,6.69644e+06,17.612,17.612,22.0564,17.612,1.20031,0,8.03326e+07,0
01/02/2009 10:00,1,2,5,10,0,-7,64,1.20469e+07,0,2.59302e+08,6.69644e+06,17.7191,17.7191,22.0564,17.7191,0.432993,0,2.82799e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,1.00967e+07,0,2.23326e+08,6.69644e+06,17.7962,17.7962,22.0564,17.7962,0.345948,0,2.21929e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,7.24096e+06,489756,2.20638e+08,6.69644e+06,17.9782,17.9782,22.0564,17.9782,0.257486,0,1.57945e+07,0
01/02/2009 13:00,1,2,5,13,0,-5,54,3.92474e+07,6.52105e+06,2.62016e+08,6.69644e+06,18.9058,18.9058,22.0564,18.9058,1.90205,0,8.89847e+07,0
