Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,3.0257e+07,6.69644e+06,19.3484,19.3484,19.3484,19.3484,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,3.0257e+07,6.69644e+06,19.3484,19.3484,19.3484,19.3484,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,3.0257e+07,6.69644e+06,19.3484,19.3484,19.3484,19.3484,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,3.0257e+07,6.69644e+06,19.3484,19.3484,19.3484,19.3484,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,3.0257e+07,6.69644e+06,19.3484,19.3484,19.3484,19.3484,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,3.0257e+07,6.69644e+06,19.3484,19.3484,19.3484,19.3484,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,3.63378e+07,6.69644e+06,19.3484,19.3484,19.3484,19.3484,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,8.11738e+07,0,1.20847e+08,6.69644e+06,19.3316,19.3316,20.1877,19.3316,12.7703,0,1.64761e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,3.16616e+07,0,5.92096e+07,6.69644e+06,19.3496,19.3496,20.1877,19.3496,6.04902,0,7.63197e+07,0
01/01/2009 10:00,1,1,4,10,0,2,80,3.66609e+07,0,8.55935e+07,6.69644e+06,19.3535,19.3535,20.1877,19.3535,7.14449,0,8.97177e+07,0
01/01/2009 11:00,1,1,4,11,0,2,80,9.19644e+06,0,1.18965e+08,6.69644e+06,19.3625,19.3625,20.1877,19.3625,1.52492,0,1.89419e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,8.61652e+06,0,1.18168e+08,6.69644e+06,19.3723,19.3723,20.1877,19.3723,1.39762,0,1.71542e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.83343e+07,254256,1.92103e+08,6.69644e+06,19.3934,19.3934,20.1877,19.3934,5.62775,0,6.72897e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,2.96735e+07,0,1.9343e+08,6.69644e+06,19.3957,19.3957,20.1877,19.3957,5.89585,0,7.02901e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.12199e+07,0,2.22519e+08,6.69644e+06,19.3919,19.3919,20.1877,19.3919,6.23802,0,7.47242e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.08137e+07,0,2.22099e+08,6.69644e+06,19.3919,19.3919,20.1877,19.3919,6.23096,0,7.46414e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.2265e+07,0,2.23899e+08,6.69644e+06,19.3919,19.3919,20.1877,19.3919,6.5523,0,7.84956e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,3.54846e+07,0,1.88562e+08,6.69644e+06,19.3909,19.3909,20.1877,19.3909,7.16247,0,8.5906e+07,0
01/01/2009 19:00,1,1,4,19,0,-2,71,1.08311e+07,0,9.86458e+07,6.69644e+06,19.3843,19.3843,20.1877,19.3843,1.8355,0,2.22002e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.94136e+06,0,4.21116e+07,6.69644e+06,19.3635,19.3635,20.1877,19.3635,0.767455,0,9.52739e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,3.63378e+07,6.69644e+06,19.3484,19.3484,19.3484,19.3484,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,3.63378e+07,6.69644e+06,19.3484,19.3484,19.3484,19.3484,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,3.63378e+07,6.69644e+06,19.3484,19.3484,19.3484,19.3484,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,0,0,3.63378e+07,6.69644e+06,19.3484,19.3484,19.3484,19.3484,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,3.24184e+07,6.69644e+06,19.3484,19.3484,19.3484,19.3484,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,3.24184e+07,6.69644e+06,19.3484,19.3484,19.3484,19.3484,0,0,0,0
