Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,2.20817e+07,6.69644e+06,16.1953,16.1953,16.1953,16.1953,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,741537,0,2.28237e+07,6.69644e+06,16.1953,16.1953,18.7817,16.1953,0.000258511,0,20142,0
01/01/2009 03:00,1,1,4,3,0,-4,77,1.4865e+06,0,2.35695e+07,6.69644e+06,16.1951,16.1951,21.3681,16.1951,0.000747247,0,58224.4,0
01/01/2009 04:00,1,1,4,4,0,-2,78,1.48201e+06,0,2.35647e+07,6.69644e+06,16.1948,16.1948,21.3681,16.1948,0.000563258,0,43890.5,0
01/01/2009 05:00,1,1,4,5,0,-2,85,1.53394e+06,0,2.36204e+07,6.69644e+06,16.1942,16.1942,21.3681,16.1942,0.00260427,0,202957,0
01/01/2009 06:00,1,1,4,6,0,-1,92,1.47789e+06,0,2.35603e+07,6.69644e+06,16.1936,16.1936,21.3681,16.1936,0.00039758,0,30988.1,0
01/01/2009 07:00,1,1,4,7,0,-1,100,1.53132e+06,0,2.96983e+07,6.69644e+06,16.193,16.193,21.3681,16.193,0.00249769,0,194696,0
01/01/2009 08:00,1,1,4,8,0,-1,100,8.10752e+07,0,1.03791e+08,6.69644e+06,16.1085,16.1085,21.3681,16.1085,2.85431,0,2.26933e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,3.95953e+07,0,5.58491e+07,6.69644e+06,16.2118,16.2118,21.3681,16.2118,1.45736,0,1.13188e+08,0
01/01/2009 10:00,1,1,4,10,0,2,80,4.37983e+07,0,7.20406e+07,6.69644e+06,16.2472,16.2472,21.3681,16.2472,1.62552,0,1.2538e+08,0
01/01/2009 11:00,1,1,4,11,0,2,80,1.55691e+07,0,7.25687e+07,6.69644e+06,16.3046,16.3046,21.3681,16.3046,0.487301,0,3.71648e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,1.26173e+07,0,6.9143e+07,6.69644e+06,16.3679,16.3679,21.3681,16.3679,0.3698,0,2.78508e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.9691e+07,0,1.10556e+08,6.69644e+06,16.5454,16.5454,21.3681,16.5454,1.05676,0,7.6759e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,3.14165e+07,0,1.12407e+08,6.69644e+06,16.59,16.59,21.3681,16.59,1.12218,0,8.07577e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.3774e+07,0,1.24793e+08,6.69644e+06,16.5847,16.5847,21.3681,16.5847,1.21243,0,8.73481e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.37934e+07,0,1.24823e+08,6.69644e+06,16.5837,16.5837,21.3681,16.5837,1.21329,0,8.74288e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.4888e+07,0,1.25954e+08,6.69644e+06,16.5859,16.5859,21.3681,16.5859,1.25692,0,9.05314e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,4.02739e+07,0,1.23272e+08,6.69644e+06,16.5626,16.5626,21.3681,16.5626,1.45658,0,1.05433e+08,0
01/01/2009 19:00,1,1,4,19,0,-2,71,2.28358e+07,0,7.83179e+07,6.69644e+06,16.3653,16.3653,21.3681,16.3653,0.767458,0,5.79259e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.77636e+06,0,3.31771e+07,6.69644e+06,16.23,16.23,21.3681,16.23,0.130379,0,1.00925e+07,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,2.81624e+07,6.69644e+06,16.1958,16.1958,16.1958,16.1958,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,2.81624e+07,6.69644e+06,16.1958,16.1958,16.1958,16.1958,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,2.81624e+07,6.69644e+06,16.1958,16.1958,16.1958,16.1958,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,759919,0,2.89242e+07,6.69644e+06,16.1957,16.1957,18.782,16.1957,0.00103336,0,80509.9,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,2.4243e+07,6.69644e+06,16.1954,16.1954,16.1954,16.1954,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,1.48438e+06,0,2.57284e+07,6.69644e+06,16.1953,16.1953,21.3681,16.1953,0.000541475,0,42189.3,0
01/02/2009 03:00,1,2,5,3,0,-10,91,1.51885e+06,0,2.57656e+07,6.69644e+06,16.1948,16.1948,21.3681,16.1948,0.0020421,0,159127,0
01/02/2009 04:00,1,2,5,4,0,-11,91,1.86203e+06,0,2.61569e+07,6.69644e+06,16.1888,16.1888,21.3681,16.1888,0.0138217,0,1.07889e+06,0
01/02/2009 05:00,1,2,5,5,0,-12,91,2.45561e+06,0,2.68587e+07,6.69644e+06,16.1439,16.1439,21.3681,16.1439,0.0364675,0,2.86958e+06,0
01/02/2009 06:00,1,2,5,6,0,-15,83,1.19513e+08,0,1.60212e+08,6.69644e+06,15.823,15.823,21.3681,15.823,4.00938,0,3.35277e+08,0
01/02/2009 07:00,1,2,5,7,0,-14,83,6.43444e+07,0,1.05723e+08,6.69644e+06,15.8867,15.8867,21.3681,15.8867,2.67354,0,2.2075e+08,0
01/02/2009 08:00,1,2,5,8,0,-13,83,6.29624e+07,0,1.09328e+08,6.69644e+06,15.8905,15.8905,21.3681,15.8905,2.6029,0,2.1477e+08,0
01/02/2009 09:00,1,2,5,9,0,-11,84,4.45167e+07,0,1.1116e+08,6.69644e+06,16.0153,16.0153,21.3681,16.0153,1.70086,0,1.37139e+08,0
01/02/2009 10:00,1,2,5,10,0,-7,64,2.02344e+07,0,1.40562e+08,6.69644e+06,16.2101,16.2101,21.3681,16.2101,0.664902,0,5.16574e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,1.46307e+07,0,1.21356e+08,6.69644e+06,16.3554,16.3554,21.3681,16.3554,0.480131,0,3.62505e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,8.1913e+06,0,1.13852e+08,6.69644e+06,16.4589,16.4589,21.3681,16.4589,0.235377,0,1.74041e+07,0
01/02/2009 13:00,1,2,5,13,0,-5,54,4.00574e+07,0,1.47951e+08,6.69644e+06,16.5871,16.5871,21.3681,16.5871,1.47208,0,1.06003e+08,0
01/02/2009 14:00,1,2,5,14,0,-5,54,3.99204e+07,0,1.60691e+08,6.69644e+06,16.6037,16.6037,21.3681,16.6037,1.47592,0,1.0591e+08,0
01/02/2009 15:00,1,2,5,15,0,-6,77,4.09697e+07,1.2459e+06,1.61481e+08,6.69644e+06,16.8562,16.8562,21.3681,16.8562,1.56338,0,1.062e+08,0
01/02/2009 16:00,1,2,5,16,0,-7,92,4.27622e+07,0,1.67338e+08,6.69644e+06,16.656,16.656,21.3681,16.656,1.59379,0,1.1311e+08,0
01/02/2009 17:00,1,2,5,17,0,-8,92,4.43614e+07,0,1.67258e+08,6.69644e+06,16.6028,16.6028,21.3681,16.6028,1.65904,0,1.19071e+08,0
01/02/2009 18:00,1,2,5,18,0,-8,92,4.63228e+07,0,1.88352e+08,6.69644e+06,16.5926,16.5926,21.3681,16.5926,1.72019,0,1.23726e+08,0
01/02/2009 19:00,1,2,5,19,0,-9,84,1.20026e+07,0,1.14985e+08,6.69644e+06,16.5268,16.5268,21.3681,16.5268,0.379663,0,2.76849e+07,0
01/02/2009 20:00,1,2,5,20,0,-11,84,1.59904e+07,0,1.10956e+08,6.69644e+06,16.4302,16.4302,21.3681,16.4302,0.537895,0,4.00059e+07,0
01/02/2009 21:00,1,2,5,21,0,-11,91,8.58972e+06,0,1.03033e+08,6.69644e+06,16.3154,16.3154,21.3681,16.3154,0.262075,0,1.99472e+07,0
01/02/2009 22:00,1,2,5,22,0,-11,91,0,0,4.41168e+07,6.69644e+06,16.2556,16.2556,16.2556,16.2556,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,-12,83,0,0,3.03237e+07,6.69644e+06,16.2556,16.2556,16.2556,16.2556,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-12,83,0,0,3.03237e+07,6.69644e+06,16.2556,16.2556,16.2556,16.2556,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-13,83,0,0,2.4243e+07,6.69644e+06,16.2556,16.2556,16.2556,16.2556,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,-13.2,79,1.52959e+06,0,2.57769e+07,6.69644e+06,16.2551,16.2551,21.3681,16.2551,0.00235275,0,181202,0
01/03/2009 03:00,1,3,6,3,0,-13.6,77,2.30832e+06,0,2.66835e+07,6.69644e+06,16.2236,16.2236,21.3681,16.2236,0.0303321,0,2.35058e+06,0
01/03/2009 04:00,1,3,6,4,0,-14,76,3.41965e+06,0,2.80098e+07,6.69644e+06,16.1275,16.1275,21.3681,16.1275,0.074832,0,5.91177e+06,0
01/03/2009 05:00,1,3,6,5,0,-14,76,3.64275e+06,0,2.82667e+07,6.69644e+06,16.0066,16.0066,21.3681,16.0066,0.081066,0,6.54693e+06,0
