Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,2.18782e+07,6.69644e+06,15.7604,15.7604,15.7604,15.7604,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,726417,0,2.26057e+07,6.69644e+06,15.7604,15.7604,16.6011,15.7604,0.000868617,0,21998.9,0
01/01/2009 03:00,1,1,4,3,0,-4,77,1.45644e+06,0,2.33376e+07,6.69644e+06,15.7603,15.7603,17.4417,15.7603,0.00240907,0,61015.6,0
01/01/2009 04:00,1,1,4,4,0,-2,78,1.45145e+06,0,2.33319e+07,6.69644e+06,15.7603,15.7603,17.4417,15.7603,0.0018173,0,46030.1,0
01/01/2009 05:00,1,1,4,5,0,-2,85,1.50485e+06,0,2.33928e+07,6.69644e+06,15.76,15.76,17.4417,15.76,0.00791801,0,200580,0
01/01/2009 06:00,1,1,4,6,0,-1,92,1.44712e+06,0,2.33269e+07,6.69644e+06,15.7598,15.7598,17.4417,15.7598,0.001312,0,33239.9,0
01/01/2009 07:00,1,1,4,7,0,-1,100,1.50201e+06,0,2.94703e+07,6.69644e+06,15.7596,15.7596,17.4417,15.7596,0.00758234,0,192123,0
01/01/2009 08:00,1,1,4,8,0,-1,100,8.81012e+07,0,1.16211e+08,6.69644e+06,15.7312,15.7312,17.4417,15.7312,8.49853,0,2.19704e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,4.11504e+07,0,6.02569e+07,6.69644e+06,15.7673,15.7673,17.4417,15.7673,4.44531,0,1.12126e+08,0
01/01/2009 10:00,1,1,4,10,0,2,80,4.55199e+07,0,7.67645e+07,6.69644e+06,15.7798,15.7798,17.4417,15.7798,4.95621,0,1.24072e+08,0
01/01/2009 11:00,1,1,4,11,0,2,80,1.62046e+07,0,7.29316e+07,6.69644e+06,15.8005,15.8005,17.4417,15.8005,1.50016,0,3.70863e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,1.31286e+07,0,6.91376e+07,6.69644e+06,15.8227,15.8227,17.4417,15.8227,1.143,0,2.78759e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,3.05762e+07,0,1.11501e+08,6.69644e+06,15.888,15.888,17.4417,15.888,3.17435,0,7.42903e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,3.23808e+07,0,1.13563e+08,6.69644e+06,15.9034,15.9034,17.4417,15.9034,3.37405,0,7.8185e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.4824e+07,0,1.25782e+08,6.69644e+06,15.9014,15.9014,17.4417,15.9014,3.6469,0,8.46173e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.48593e+07,0,1.25834e+08,6.69644e+06,15.901,15.901,17.4417,15.901,3.65127,0,8.47402e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.59888e+07,0,1.2708e+08,6.69644e+06,15.9018,15.9018,17.4417,15.9018,3.78246,0,8.77407e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,4.23049e+07,0,1.26588e+08,6.69644e+06,15.8919,15.8919,17.4417,15.8919,4.4348,0,1.03548e+08,0
01/01/2009 19:00,1,1,4,19,0,-2,71,2.41262e+07,0,8.04993e+07,6.69644e+06,15.8159,15.8159,17.4417,15.8159,2.39556,0,5.87538e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.83556e+06,0,3.32774e+07,6.69644e+06,15.7719,15.7719,17.4417,15.7719,0.389556,0,9.80072e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,2.79589e+07,6.69644e+06,15.7606,15.7606,15.7606,15.7606,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,2.79589e+07,6.69644e+06,15.7606,15.7606,15.7606,15.7606,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,2.79589e+07,6.69644e+06,15.7606,15.7606,15.7606,15.7606,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,1.46598e+06,0,2.94289e+07,6.69644e+06,15.7606,15.7606,16.6011,15.7606,0.00318477,0,80653.6,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,2.40395e+07,6.69644e+06,15.7604,15.7604,15.7604,15.7604,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,1.45413e+06,0,2.54959e+07,6.69644e+06,15.7604,15.7604,17.4417,15.7604,0.00180868,0,45807.6,0
01/02/2009 03:00,1,2,5,3,0,-10,91,1.48942e+06,0,2.55367e+07,6.69644e+06,15.7602,15.7602,17.4417,15.7602,0.00624525,0,158187,0
01/02/2009 04:00,1,2,5,4,0,-11,91,1.85469e+06,0,2.59782e+07,6.69644e+06,15.758,15.758,17.4417,15.758,0.0434311,0,1.10232e+06,0
01/02/2009 05:00,1,2,5,5,0,-12,91,2.46798e+06,0,2.67478e+07,6.69644e+06,15.7411,15.7411,17.4417,15.7411,0.112078,0,2.87124e+06,0
01/02/2009 06:00,1,2,5,6,0,-15,83,1.2716e+08,0,1.76128e+08,6.69644e+06,15.6276,15.6276,17.4417,15.6276,12.2406,0,3.34783e+08,0
01/02/2009 07:00,1,2,5,7,0,-14,83,6.796e+07,0,1.15128e+08,6.69644e+06,15.6494,15.6494,17.4417,15.6494,8.32985,0,2.24896e+08,0
01/02/2009 08:00,1,2,5,8,0,-13,83,6.63332e+07,0,1.17668e+08,6.69644e+06,15.6508,15.6508,17.4417,15.6508,8.08727,0,2.18178e+08,0
