index,uuid,total_runtime,energyplus_runtime,total_measure_runtime,other_runtime,number_of_measures,ambient_loop_prototype_building_runtime,change_building_location_runtime,ambient_loop_add_ets_system_runtime,ambient_loop_temperature_setpoint_runtime,hot_water_loop_design_temperature_runtime,internal_loads_multiplier_runtime,openstudio_results_runtime,ambient_loop_reports_runtime
0,03c63a04-28fc-49ce-b90b-c91bc83349ed,42,12.32,24,5.68,8,12,1,0,1,0,0,9,1
1,0597e53d-f3ba-4916-92ed-5db5c2477aeb,143,13.57,121,8.43,8,108,0,1,0,0,1,9,2
2,0b54d317-c02f-4eba-bfc6-0999a7da1e1f,47,14.54,25,7.46,8,12,0,1,0,0,0,10,2
3,0c66e1d9-019c-4e8d-a61c-ba23cc70a659,45,14.92,25,5.08,8,12,0,1,0,1,0,10,1
4,0cca151b-b15c-4669-9dd5-95e3331c98a7,37,13.08,20,3.92,8,9,1,1,0,0,0,8,1
5,0d155773-1474-47ce-aea9-ad28bb811272,39,12.62,22,4.38,8,12,1,0,0,1,0,7,1
6,0e172f63-077e-4214-baa7-3aaa547e44b2,46,13.36,27,5.64,8,13,1,0,0,1,0,10,2
7,11442f9f-7302-4369-ae1d-21deb1e51810,84,26.37,47,10.63,8,27,1,1,0,0,1,13,4
8,143ea411-48c8-497e-b3c3-2fac33121a2e,47,14.17,23,9.83,8,11,0,1,0,0,0,9,2
9,1682190d-51cd-4576-8b10-865aaeaa3da2,46,14.97,24,7.03,8,11,1,1,0,0,1,9,1
10,17494660-8ee2-4931-8f68-eaea62c0e964,45,13.43,25,6.57,8,13,1,0,1,0,0,9,1
11,1d460179-158a-4410-b282-d8b4ba7497dc,94,30.71,51,12.29,8,28,2,1,0,0,0,17,3
12,1ee3fc3f-b771-4b9e-b9c0-5b78b644eab3,122,46.84,59,16.16,8,28,2,2,0,0,0,23,4
13,23810617-7a6e-4335-8bcc-095ee86d5642,94,32.95,47,14.05,8,20,2,1,0,1,0,20,3
14,28de7614-bf8e-4fef-9814-cb99902dac9a,39,11.26,20,7.74,8,8,1,0,0,0,0,9,2
15,2aff3f02-d924-49a3-a93b-e77cc502f722,44,13.29,24,6.71,8,12,1,1,0,0,0,9,1
16,2c5fe1fe-b6f8-45f0-96a8-da126fb927f4,123,45.62,61,16.38,8,30,2,1,1,0,0,23,4
17,2fc4ed93-c451-4d56-901e-c787da02b345,37,13.25,19,4.75,8,9,1,0,0,0,0,8,1
18,30071ca8-87dc-4eb6-aeb8-f6ecd266a48f,42,12.95,21,8.05,8,11,1,0,0,0,0,7,2
19,3461a22e-6813-4321-a1dc-01426218509f,38,12.34,21,4.66,8,10,1,1,0,0,0,7,2
20,35633a20-ded9-4cd5-a28b-30db4fe097eb,41,14.12,21,5.88,8,11,0,1,0,0,0,8,1
21,38876bb2-3b06-4d27-9f3e-a8d241106a49,37,12.45,20,4.55,8,9,1,0,1,0,0,8,1
22,3c673dd8-ea0a-406a-853a-b4471da7cd65,43,12.58,23,7.42,8,12,1,0,0,0,0,9,1
