Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,883030,0,18.2582,18.2582,22.9376,18.2582,0.0330986,0,2.332e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,749482,0,18.2581,18.2581,22.9376,18.2581,0.0269822,0,1.90109e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,403621,0,18.2579,18.2579,22.9376,18.2579,0.0132109,0,930843,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,908726,0,18.2585,18.2585,22.9376,18.2585,0.0342246,0,2.41119e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.04313e+06,0,18.2582,18.2582,22.9376,18.2582,0.0403595,0,2.84356e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.18332e+06,0,18.2579,18.2579,22.9376,18.2579,0.0468002,0,3.29756e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,994027,0,18.2579,18.2579,22.9376,18.2579,0.0380986,0,2.68447e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.25563e+06,0,18.2579,18.2579,22.9376,18.2579,0.0501189,0,3.53143e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.25507e+06,0,18.2579,18.2579,22.9376,18.2579,0.0500955,0,3.52978e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,332089,0,18.2579,18.2579,22.9376,18.2579,0.00996982,0,702482,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,971841,0,18.2582,18.2582,22.9376,18.2582,0.0371346,0,2.61635e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,683057,0,18.258,18.258,22.9376,18.258,0.0259346,0,1.82734e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,421903,0,18.2579,18.2579,22.9376,18.2579,0.0140323,0,988725,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,18.2579,18.2579,18.2579,18.2579,0,0,0,0
