Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,911268,0,11.7134,11.7134,15.9215,11.7134,0.0360899,0,2.29022e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,771560,0,11.7133,11.7133,15.9215,11.7133,0.0294199,0,1.867e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,413245,0,11.7132,11.7132,15.9215,11.7132,0.0144047,0,914168,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,938252,0,11.7137,11.7137,15.9215,11.7137,0.0373178,0,2.36798e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.07888e+06,0,11.7134,11.7134,15.9215,11.7134,0.0440061,0,2.79257e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.22552e+06,0,11.7131,11.7131,15.9215,11.7131,0.05103,0,3.23853e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.02755e+06,0,11.7131,11.7131,15.9215,11.7131,0.0415415,0,2.63638e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.30114e+06,0,11.7131,11.7131,15.9215,11.7131,0.0546483,0,3.46818e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.30055e+06,0,11.7131,11.7131,15.9215,11.7131,0.0546228,0,3.46656e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,338347,0,11.7131,11.7131,15.9215,11.7131,0.0108707,0,689897,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,1.00422e+06,0,11.7135,11.7135,15.9215,11.7135,0.0404898,0,2.56942e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,705709,0,11.7132,11.7132,15.9215,11.7132,0.0282782,0,1.79461e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,432403,0,11.7131,11.7131,15.9215,11.7131,0.0153004,0,971016,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,11.7131,11.7131,11.7131,11.7131,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,11.7131,11.7131,11.7131,11.7131,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,11.7131,11.7131,11.7131,11.7131,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,11.7131,11.7131,11.7131,11.7131,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,11.7131,11.7131,11.7131,11.7131,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,102148,0,11.7132,11.7132,15.9215,11.7132,0.00237145,0,150499,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,159785,0,11.7132,11.7132,15.9215,11.7132,0.0042205,0,267845,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,251482,0,11.7131,11.7131,15.9215,11.7131,0.00852959,0,541316,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,690752,0,11.7135,11.7135,15.9215,11.7135,0.0275894,0,1.75076e+06,0
