Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,883903,0,18.0344,18.0344,22.6977,18.0344,0.0331926,0,2.33069e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,750161,0,18.0343,18.0343,22.6977,18.0343,0.0270588,0,1.90003e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,403912,0,18.0341,18.0341,22.6977,18.0341,0.0132485,0,930323,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,909639,0,18.0346,18.0346,22.6977,18.0346,0.0343219,0,2.40984e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.04424e+06,0,18.0344,18.0344,22.6977,18.0344,0.0404742,0,2.84197e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.18463e+06,0,18.0341,18.0341,22.6977,18.0341,0.0469332,0,3.29572e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,995067,0,18.034,18.034,22.6977,18.034,0.0382069,0,2.68297e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.25704e+06,0,18.034,18.034,22.6977,18.034,0.0502614,0,3.52945e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.25648e+06,0,18.034,18.034,22.6977,18.034,0.0502379,0,3.5278e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,332274,0,18.034,18.034,22.6977,18.034,0.00999815,0,702089,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,972845,0,18.0344,18.0344,22.6977,18.0344,0.0372401,0,2.61488e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,683758,0,18.0341,18.0341,22.6977,18.0341,0.0260083,0,1.82632e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,422222,0,18.0341,18.0341,22.6977,18.0341,0.0140722,0,988172,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,18.034,18.034,18.034,18.034,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,18.034,18.034,18.034,18.034,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,18.034,18.034,18.034,18.034,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,18.034,18.034,18.034,18.034,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,18.034,18.034,18.034,18.034,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,101906,0,18.0341,18.0341,22.6977,18.0341,0.00218113,0,153161,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,158501,0,18.0341,18.0341,22.6977,18.0341,0.00388169,0,272577,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,246177,0,18.0341,18.0341,22.6977,18.0341,0.00784483,0,550876,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,669491,0,18.0344,18.0344,22.6977,18.0344,0.0253751,0,1.78174e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,519330,0,18.0342,18.0342,22.6977,18.0342,0.0185071,0,1.29956e+06,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,571999,0,18.0341,18.0341,22.6977,18.0341,0.0209084,0,1.46822e+06,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,396658,0,18.034,18.034,22.6977,18.034,0.0129223,0,907431,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,578144,0,18.034,18.034,22.6977,18.034,0.0211813,0,1.4874e+06,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,574434,0,18.034,18.034,22.6977,18.034,0.0210099,0,1.47536e+06,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,18.034,18.034,18.034,18.034,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,422669,0,18.0362,18.0362,22.6977,18.0362,0.0140794,0,988227,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,748177,0,18.0366,18.0366,22.6977,18.0366,0.0269231,0,1.88954e+06,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,1.88954e+07,0,18.4167,18.4167,22.6977,18.4167,0.632417,0,4.09371e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.8241e+07,0,18.4801,18.4801,22.6977,18.4801,0.833167,0,5.29062e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,1.39673e+07,0,18.4801,18.4801,22.6977,18.4801,0.656951,0,4.17165e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,1.13712e+07,0,18.4801,18.4801,22.6977,18.4801,0.521048,0,3.30868e+07,0
