Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,902225,0,13.665,13.665,18.0139,13.665,0.0351428,0,2.30346e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,764465,0,13.6649,13.6649,18.0139,13.6649,0.0286481,0,1.8778e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,410120,0,13.6647,13.6647,18.0139,13.6647,0.0140267,0,919451,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,928801,0,13.6652,13.6652,18.0139,13.6652,0.0363384,0,2.38167e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.06746e+06,0,13.665,13.665,18.0139,13.665,0.0428515,0,2.80872e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.21206e+06,0,13.6647,13.6647,18.0139,13.6647,0.0496906,0,3.25724e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.01684e+06,0,13.6646,13.6646,18.0139,13.6646,0.0404513,0,2.65161e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.28663e+06,0,13.6646,13.6646,18.0139,13.6646,0.0532141,0,3.48822e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.28605e+06,0,13.6646,13.6646,18.0139,13.6646,0.0531893,0,3.48659e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,336287,0,13.6646,13.6646,18.0139,13.6646,0.0105855,0,693884,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,993868,0,13.665,13.665,18.0139,13.665,0.0394275,0,2.58429e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,698463,0,13.6647,13.6647,18.0139,13.6647,0.0275361,0,1.80498e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,429001,0,13.6647,13.6647,18.0139,13.6647,0.0148988,0,976626,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,13.6646,13.6646,13.6646,13.6646,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,13.6646,13.6646,13.6646,13.6646,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,13.6646,13.6646,13.6646,13.6646,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,13.6646,13.6646,13.6646,13.6646,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,13.6646,13.6646,13.6646,13.6646,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,102033,0,13.6647,13.6647,18.0139,13.6647,0.00230923,0,151369,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,159316,0,13.6647,13.6647,18.0139,13.6647,0.00410974,0,269392,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,249699,0,13.6647,13.6647,18.0139,13.6647,0.00830573,0,544442,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,683731,0,13.665,13.665,18.0139,13.665,0.0268655,0,1.76089e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,529044,0,13.6648,13.6648,18.0139,13.6648,0.0195942,0,1.28437e+06,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,583319,0,13.6647,13.6647,18.0139,13.6647,0.0221368,0,1.45107e+06,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,402640,0,13.6646,13.6646,18.0139,13.6646,0.0136814,0,896826,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,589656,0,13.6646,13.6646,18.0139,13.6646,0.0224256,0,1.47002e+06,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,585836,0,13.6646,13.6646,18.0139,13.6646,0.0222441,0,1.45812e+06,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,13.6646,13.6646,13.6646,13.6646,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,429470,0,13.6669,13.6669,18.0139,13.6669,0.0149072,0,976675,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,762453,0,13.6673,13.6673,18.0139,13.6673,0.0285036,0,1.8673e+06,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,1.978e+07,0,14.0477,14.0477,18.0139,14.0477,0.66464,0,3.98785e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.95689e+07,0,14.1104,14.1104,18.0139,14.1104,0.872814,0,5.13428e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,1.4375e+07,0,14.1104,14.1104,18.0139,14.1104,0.698119,0,4.10665e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,1.17129e+07,0,14.1104,14.1104,18.0139,14.1104,0.553713,0,3.25721e+07,0
01/02/2009 11:00,1,2,5,11,0,-5,81,9.79098e+06,0,14.1104,14.1104,18.0139,14.1104,0.453429,0,2.66731e+07,0
01/02/2009 12:00,1,2,5,12,0,-3.9,81,8.83107e+06,0,14.1104,14.1104,18.0139,14.1104,0.404295,0,2.37828e+07,0
01/02/2009 13:00,1,2,5,13,0,-2.2,78,9.05804e+06,0,14.1103,14.1103,18.0139,14.1103,0.415632,0,2.445e+07,0
01/02/2009 14:00,1,2,5,14,0,-1.7,72,7.1151e+06,0,14.1103,14.1103,18.0139,14.1103,0.318703,0,1.87481e+07,0
01/02/2009 15:00,1,2,5,15,0,-1.7,78,6.20364e+06,0,14.1103,14.1103,18.0139,14.1103,0.274386,0,1.61411e+07,0
01/02/2009 16:00,1,2,5,16,0,-1.7,82,5.78891e+06,0,14.1102,14.1102,18.0139,14.1102,0.254634,0,1.49795e+07,0
01/02/2009 17:00,1,2,5,17,0,-1.7,82,5.4071e+06,0,14.1102,14.1102,18.0139,14.1102,0.236589,0,1.39181e+07,0
01/02/2009 18:00,1,2,5,18,0,0,75,7.50853e+06,0,14.1101,14.1101,18.0139,14.1101,0.338139,0,1.98924e+07,0
01/02/2009 19:00,1,2,5,19,0,1.1,73,8.57314e+06,0,14.1101,14.1101,18.0139,14.1101,0.391137,0,2.30103e+07,0
01/02/2009 20:00,1,2,5,20,0,1.7,73,0,0,14.1101,14.1101,14.1101,14.1101,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,2.2,73,0,0,14.1101,14.1101,14.1101,14.1101,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,3.9,65,0,0,14.1101,14.1101,14.1101,14.1101,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,3.3,70,0,0,14.1101,14.1101,14.1101,14.1101,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-1.7,96,0,0,14.1101,14.1101,14.1101,14.1101,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-0.6,96,0,0,14.1101,14.1101,14.1101,14.1101,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,0.6,89,0,0,14.1101,14.1101,14.1101,14.1101,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-1.1,96,0,0,14.1101,14.1101,14.1101,14.1101,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-6.7,92,0,0,14.1101,14.1101,14.1101,14.1101,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,-6.1,92,0,0,14.1101,14.1101,14.1101,14.1101,0,0,0,0
01/03/2009 06:00,1,3,6,6,0,-6.1,96,0,0,14.1101,14.1101,14.1101,14.1101,0,0,0,0
01/03/2009 07:00,1,3,6,7,0,-4.4,96,1.47537e+07,0,14.0586,14.0586,18.0139,14.0586,0.488839,0,2.92206e+07,0
01/03/2009 08:00,1,3,6,8,0,-6.7,92,1.119e+07,0,14.1103,14.1103,18.0139,14.1103,0.526496,0,3.09721e+07,0
01/03/2009 09:00,1,3,6,9,0,-3.9,96,7.9531e+06,0,14.1103,14.1103,18.0139,14.1103,0.361034,0,2.12385e+07,0
01/03/2009 10:00,1,3,6,10,0,-3.3,92,5.36315e+06,0,14.1102,14.1102,18.0139,14.1102,0.234982,0,1.38234e+07,0
01/03/2009 11:00,1,3,6,11,0,-0.6,82,4.31942e+06,0,14.1102,14.1102,18.0139,14.1102,0.185631,0,1.09203e+07,0
01/03/2009 12:00,1,3,6,12,0,2.2,73,2.89587e+06,0,14.1102,14.1102,18.0139,14.1102,0.12065,0,7.09763e+06,0
01/03/2009 13:00,1,3,6,13,0,3.9,57,3.92873e+06,0,14.1101,14.1101,18.0139,14.1101,0.16718,0,9.83498e+06,0
01/03/2009 14:00,1,3,6,14,0,3.3,67,2.36053e+06,0,14.1102,14.1102,18.0139,14.1102,0.0976983,0,5.74743e+06,0
01/03/2009 15:00,1,3,6,15,0,3.9,65,2.26962e+06,0,14.1101,14.1101,18.0139,14.1101,0.093306,0,5.48908e+06,0
01/03/2009 16:00,1,3,6,16,0,4.4,51,1.77039e+06,0,14.1101,14.1101,18.0139,14.1101,0.070938,0,4.17323e+06,0
01/03/2009 17:00,1,3,6,17,0,3.3,55,1.18007e+06,0,14.1101,14.1101,18.0139,14.1101,0.0469107,0,2.75975e+06,0
01/03/2009 18:00,1,3,6,18,0,-1.1,78,3.93314e+06,0,14.111,14.111,18.0139,14.111,0.167326,0,9.84133e+06,0
01/03/2009 19:00,1,3,6,19,0,-3.9,85,5.72097e+06,0,14.11,14.11,18.0139,14.11,0.251508,0,1.47966e+07,0
01/03/2009 20:00,1,3,6,20,0,-6.1,88,0,0,14.1099,14.1099,14.1099,14.1099,0,0,0,0
01/03/2009 21:00,1,3,6,21,0,-7.2,96,0,0,14.1099,14.1099,14.1099,14.1099,0,0,0,0
01/03/2009 22:00,1,3,6,22,0,-6.7,92,0,0,14.1099,14.1099,14.1099,14.1099,0,0,0,0
01/03/2009 23:00,1,3,6,23,0,-7.2,88,0,0,14.1099,14.1099,14.1099,14.1099,0,0,0,0
01/04/2009 00:00,1,4,0,0,0,-10,92,0,0,14.1099,14.1099,14.1099,14.1099,0,0,0,0
