Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,907232,0,12.5695,12.5695,16.8393,12.5695,0.0356683,0,2.29612e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,768390,0,12.5694,12.5694,16.8393,12.5694,0.0290763,0,1.87181e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,411846,0,12.5692,12.5692,16.8393,12.5692,0.0142364,0,916521,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,934034,0,12.5698,12.5698,16.8393,12.5698,0.0368818,0,2.37408e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.07378e+06,0,12.5695,12.5695,16.8393,12.5695,0.0434921,0,2.79977e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.21951e+06,0,12.5692,12.5692,16.8393,12.5692,0.0504337,0,3.24686e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.02277e+06,0,12.5691,12.5691,16.8393,12.5691,0.0410561,0,2.64316e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.29467e+06,0,12.5691,12.5691,16.8393,12.5691,0.0540098,0,3.47711e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.29408e+06,0,12.5691,12.5691,16.8393,12.5691,0.0539846,0,3.47548e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,337422,0,12.5691,12.5691,16.8393,12.5691,0.0107437,0,691673,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,999602,0,12.5695,12.5695,16.8393,12.5695,0.0400169,0,2.57604e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,702475,0,12.5692,12.5692,16.8393,12.5692,0.0279478,0,1.79923e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,430880,0,12.5692,12.5692,16.8393,12.5692,0.0151216,0,973515,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,12.5691,12.5691,12.5691,12.5691,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,12.5691,12.5691,12.5691,12.5691,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,12.5691,12.5691,12.5691,12.5691,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,12.5691,12.5691,12.5691,12.5691,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,12.5691,12.5691,12.5691,12.5691,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,102093,0,12.5692,12.5692,16.8393,12.5692,0.00234375,0,150887,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,159571,0,12.5692,12.5692,16.8393,12.5692,0.00417119,0,268534,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,250683,0,12.5692,12.5692,16.8393,12.5692,0.00842993,0,542708,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,687619,0,12.5695,12.5695,16.8393,12.5695,0.0272672,0,1.75528e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,531713,0,12.5693,12.5693,16.8393,12.5693,0.0198871,0,1.28027e+06,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,586421,0,12.5692,12.5692,16.8393,12.5692,0.0224678,0,1.44645e+06,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,404304,0,12.5691,12.5691,16.8393,12.5691,0.013886,0,893969,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,592809,0,12.5691,12.5691,16.8393,12.5691,0.0227609,0,1.46533e+06,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,588960,0,12.5691,12.5691,16.8393,12.5691,0.0225767,0,1.45348e+06,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,12.5691,12.5691,12.5691,12.5691,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,431355,0,12.5714,12.5714,16.8393,12.5714,0.0151303,0,973561,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,766370,0,12.5718,12.5718,16.8393,12.5718,0.0289294,0,1.8613e+06,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,2.00079e+07,0,12.9523,12.9523,16.8393,12.9523,0.673365,0,3.96034e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.99088e+07,0,13.0148,13.0148,16.8393,13.0148,0.883548,0,5.09388e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,1.44847e+07,0,13.0148,13.0148,16.8393,13.0148,0.709265,0,4.0891e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,1.18049e+07,0,13.0148,13.0148,16.8393,13.0148,0.562557,0,3.24331e+07,0
01/02/2009 11:00,1,2,5,11,0,-5,81,9.86945e+06,0,13.0148,13.0148,16.8393,13.0148,0.460673,0,2.65593e+07,0
01/02/2009 12:00,1,2,5,12,0,-3.9,81,8.90258e+06,0,13.0148,13.0148,16.8393,13.0148,0.410755,0,2.36815e+07,0
01/02/2009 13:00,1,2,5,13,0,-2.2,78,9.13128e+06,0,13.0147,13.0147,16.8393,13.0147,0.422274,0,2.43458e+07,0
01/02/2009 14:00,1,2,5,14,0,-1.7,72,7.17359e+06,0,13.0147,13.0147,16.8393,13.0147,0.323797,0,1.86683e+07,0
01/02/2009 15:00,1,2,5,15,0,-1.7,78,6.25496e+06,0,13.0147,13.0147,16.8393,13.0147,0.278774,0,1.60725e+07,0
01/02/2009 16:00,1,2,5,16,0,-1.7,82,5.83686e+06,0,13.0146,13.0146,16.8393,13.0146,0.258707,0,1.49159e+07,0
