Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,896499,0,14.9669,14.9669,19.4098,14.9669,0.034538,0,2.3119e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,759983,0,14.9668,14.9668,19.4098,14.9668,0.0281552,0,1.88468e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,408161,0,14.9666,14.9666,19.4098,14.9666,0.0137854,0,922818,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,922814,0,14.9671,14.9671,19.4098,14.9671,0.0357131,0,2.3904e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.06021e+06,0,14.9669,14.9669,19.4098,14.9669,0.0421143,0,2.81902e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.20351e+06,0,14.9666,14.9666,19.4098,14.9666,0.0488355,0,3.26916e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.01004e+06,0,14.9665,14.9665,19.4098,14.9665,0.0397553,0,2.66132e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.27741e+06,0,14.9665,14.9665,19.4098,14.9665,0.0522984,0,3.50099e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.27684e+06,0,14.9665,14.9665,19.4098,14.9665,0.052274,0,3.49936e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,335009,0,14.9665,14.9665,19.4098,14.9665,0.0104033,0,696426,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,987305,0,14.9669,14.9669,19.4098,14.9669,0.0387492,0,2.59376e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,693870,0,14.9666,14.9666,19.4098,14.9666,0.0270623,0,1.81159e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,426865,0,14.9666,14.9666,19.4098,14.9666,0.0146425,0,980203,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,14.9665,14.9665,14.9665,14.9665,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,14.9665,14.9665,14.9665,14.9665,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,14.9665,14.9665,14.9665,14.9665,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,14.9665,14.9665,14.9665,14.9665,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,14.9665,14.9665,14.9665,14.9665,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,101977,0,14.9666,14.9666,19.4098,14.9666,0.00226951,0,151924,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,159041,0,14.9666,14.9666,19.4098,14.9666,0.00403902,0,270379,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,248585,0,14.9666,14.9666,19.4098,14.9666,0.0081628,0,546435,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,679283,0,14.9669,14.9669,19.4098,14.9669,0.0264033,0,1.76735e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,525998,0,14.9667,14.9667,19.4098,14.9667,0.0192571,0,1.28907e+06,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,579776,0,14.9666,14.9666,19.4098,14.9666,0.0217559,0,1.45638e+06,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,400751,0,14.9665,14.9665,19.4098,14.9665,0.013446,0,900111,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,586053,0,14.9665,14.9665,19.4098,14.9665,0.0220397,0,1.4754e+06,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,582267,0,14.9665,14.9665,19.4098,14.9665,0.0218614,0,1.46346e+06,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,14.9665,14.9665,14.9665,14.9665,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,427327,0,14.9688,14.9688,19.4098,14.9688,0.0146505,0,980254,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,757980,0,14.9692,14.9692,19.4098,14.9692,0.0280135,0,1.87419e+06,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,1.95124e+07,0,15.3495,15.3495,19.4098,15.3495,0.654621,0,4.02011e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.91688e+07,0,15.4124,15.4124,19.4098,15.4124,0.860488,0,5.18179e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,1.42486e+07,0,15.4124,15.4124,19.4098,15.4124,0.68532,0,4.12695e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,1.1607e+07,0,15.4124,15.4124,19.4098,15.4124,0.543557,0,3.27329e+07,0
01/02/2009 11:00,1,2,5,11,0,-5,81,9.7007e+06,0,15.4124,15.4124,19.4098,15.4124,0.445112,0,2.68047e+07,0
01/02/2009 12:00,1,2,5,12,0,-3.9,81,8.74883e+06,0,15.4124,15.4124,19.4098,15.4124,0.396876,0,2.39e+07,0
01/02/2009 13:00,1,2,5,13,0,-2.2,78,8.97379e+06,0,15.4123,15.4123,19.4098,15.4123,0.408004,0,2.45703e+07,0
01/02/2009 14:00,1,2,5,14,0,-1.7,72,7.04784e+06,0,15.4123,15.4123,19.4098,15.4123,0.312853,0,1.88403e+07,0
01/02/2009 15:00,1,2,5,15,0,-1.7,78,6.14466e+06,0,15.4123,15.4123,19.4098,15.4123,0.269348,0,1.62205e+07,0
01/02/2009 16:00,1,2,5,16,0,-1.7,82,5.73381e+06,0,15.4122,15.4122,19.4098,15.4122,0.249958,0,1.50531e+07,0
01/02/2009 17:00,1,2,5,17,0,-1.7,82,5.35563e+06,0,15.4122,15.4122,19.4098,15.4122,0.232243,0,1.39864e+07,0
01/02/2009 18:00,1,2,5,18,0,0,75,7.43762e+06,0,15.4121,15.4121,19.4098,15.4121,0.331925,0,1.99898e+07,0
01/02/2009 19:00,1,2,5,19,0,1.1,73,8.49283e+06,0,15.4121,15.4121,19.4098,15.4121,0.383948,0,2.31229e+07,0
01/02/2009 20:00,1,2,5,20,0,1.7,73,0,0,15.4121,15.4121,15.4121,15.4121,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,2.2,73,0,0,15.4121,15.4121,15.4121,15.4121,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,3.9,65,0,0,15.4121,15.4121,15.4121,15.4121,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,3.3,70,0,0,15.4121,15.4121,15.4121,15.4121,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-1.7,96,0,0,15.4121,15.4121,15.4121,15.4121,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-0.6,96,0,0,15.4121,15.4121,15.4121,15.4121,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,0.6,89,0,0,15.4121,15.4121,15.4121,15.4121,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-1.1,96,0,0,15.4121,15.4121,15.4121,15.4121,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-6.7,92,0,0,15.4121,15.4121,15.4121,15.4121,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,-6.1,92,0,0,15.4121,15.4121,15.4121,15.4121,0,0,0,0
01/03/2009 06:00,1,3,6,6,0,-6.1,96,0,0,15.4121,15.4121,15.4121,15.4121,0,0,0,0
01/03/2009 07:00,1,3,6,7,0,-4.4,96,1.45443e+07,0,15.3603,15.3603,19.4098,15.3603,0.481568,0,2.94637e+07,0
01/03/2009 08:00,1,3,6,8,0,-6.7,92,1.10882e+07,0,15.4123,15.4123,19.4098,15.4123,0.516829,0,3.11244e+07,0
01/03/2009 09:00,1,3,6,9,0,-3.9,96,7.87874e+06,0,15.4123,15.4123,19.4098,15.4123,0.354411,0,2.13432e+07,0
01/03/2009 10:00,1,3,6,10,0,-3.3,92,5.31231e+06,0,15.4123,15.4123,19.4098,15.4123,0.230669,0,1.38914e+07,0
01/03/2009 11:00,1,3,6,11,0,-0.6,82,4.27854e+06,0,15.4122,15.4122,19.4098,15.4122,0.182224,0,1.0974e+07,0
01/03/2009 12:00,1,3,6,12,0,2.2,73,2.86935e+06,0,15.4122,15.4122,19.4098,15.4122,0.118436,0,7.13255e+06,0
01/03/2009 13:00,1,3,6,13,0,3.9,57,3.89155e+06,0,15.4122,15.4122,19.4098,15.4122,0.164111,0,9.88334e+06,0
01/03/2009 14:00,1,3,6,14,0,3.3,67,2.33854e+06,0,15.4122,15.4122,19.4098,15.4122,0.0959054,0,5.77573e+06,0
01/03/2009 15:00,1,3,6,15,0,3.9,65,2.24845e+06,0,15.4122,15.4122,19.4098,15.4122,0.0915934,0,5.51609e+06,0
01/03/2009 16:00,1,3,6,16,0,4.4,51,1.7544e+06,0,15.4121,15.4121,19.4098,15.4121,0.0696357,0,4.19375e+06,0
01/03/2009 17:00,1,3,6,17,0,3.3,55,1.16956e+06,0,15.4121,15.4121,19.4098,15.4121,0.0460492,0,2.7733e+06,0
01/03/2009 18:00,1,3,6,18,0,-1.1,78,3.89589e+06,0,15.4131,15.4131,19.4098,15.4131,0.164253,0,9.88971e+06,0
01/03/2009 19:00,1,3,6,19,0,-3.9,85,5.66649e+06,0,15.412,15.412,19.4098,15.412,0.246887,0,1.48691e+07,0
01/03/2009 20:00,1,3,6,20,0,-6.1,88,0,0,15.4119,15.4119,15.4119,15.4119,0,0,0,0
01/03/2009 21:00,1,3,6,21,0,-7.2,96,0,0,15.4119,15.4119,15.4119,15.4119,0,0,0,0
01/03/2009 22:00,1,3,6,22,0,-6.7,92,0,0,15.4119,15.4119,15.4119,15.4119,0,0,0,0
01/03/2009 23:00,1,3,6,23,0,-7.2,88,0,0,15.4119,15.4119,15.4119,15.4119,0,0,0,0
01/04/2009 00:00,1,4,0,0,0,-10,92,0,0,15.4119,15.4119,15.4119,15.4119,0,0,0,0
01/04/2009 01:00,1,4,0,1,0,-7.8,88,0,0,15.4119,15.4119,15.4119,15.4119,0,0,0,0
01/04/2009 02:00,1,4,0,2,0,-7.8,88,0,0,15.4119,15.4119,15.4119,15.4119,0,0,0,0
01/04/2009 03:00,1,4,0,3,0,-7.2,92,0,0,15.4119,15.4119,15.4119,15.4119,0,0,0,0
01/04/2009 04:00,1,4,0,4,0,-6.7,84,0,0,15.4119,15.4119,15.4119,15.4119,0,0,0,0
01/04/2009 05:00,1,4,0,5,0,-6.1,78,0,0,15.4119,15.4119,15.4119,15.4119,0,0,0,0
01/04/2009 06:00,1,4,0,6,0,-6.1,78,0,0,15.4119,15.4119,15.4119,15.4119,0,0,0,0
01/04/2009 07:00,1,4,0,7,0,-7.2,77,1.5469e+07,0,15.3648,15.3648,19.4098,15.3648,0.537573,0,3.28533e+07,0
01/04/2009 08:00,1,4,0,8,0,-6.7,78,1.07428e+07,0,15.4122,15.4122,19.4098,15.4122,0.499602,0,3.00872e+07,0
01/04/2009 09:00,1,4,0,9,0,-6.7,74,7.75347e+06,0,15.4123,15.4123,19.4098,15.4123,0.349192,0,2.1029e+07,0
01/04/2009 10:00,1,4,0,10,0,-6.7,74,5.80309e+06,0,15.4123,15.4123,19.4098,15.4123,0.25455,0,1.53295e+07,0
01/04/2009 11:00,1,4,0,11,0,-6.1,74,5.34984e+06,0,15.4123,15.4123,19.4098,15.4123,0.233076,0,1.40363e+07,0
01/04/2009 12:00,1,4,0,12,0,-6.7,74,4.18606e+06,0,15.4123,15.4123,19.4098,15.4123,0.178467,0,1.07477e+07,0
01/04/2009 13:00,1,4,0,13,0,-6.7,78,4.50623e+06,0,15.4122,15.4122,19.4098,15.4122,0.193183,0,1.16341e+07,0
01/04/2009 14:00,1,4,0,14,0,-5.6,74,2.91299e+06,0,15.4122,15.4122,19.4098,15.4122,0.1223,0,7.36527e+06,0
01/04/2009 15:00,1,4,0,15,0,-4.4,72,2.74018e+06,0,15.4121,15.4121,19.4098,15.4121,0.114008,0,6.86602e+06,0
01/04/2009 16:00,1,4,0,16,0,-4.4,69,2.42271e+06,0,15.4121,15.4121,19.4098,15.4121,0.0996565,0,6.00176e+06,0
01/04/2009 17:00,1,4,0,17,0,-5,75,2.60833e+06,0,15.4121,15.4121,19.4098,15.4121,0.10785,0,6.4953e+06,0
01/04/2009 18:00,1,4,0,18,0,-5.6,81,5.01053e+06,0,15.4126,15.4126,19.4098,15.4126,0.216376,0,1.30296e+07,0
01/04/2009 19:00,1,4,0,19,0,-5,78,6.37067e+06,0,15.4119,15.4119,19.4098,15.4119,0.280556,0,1.68971e+07,0
01/04/2009 20:00,1,4,0,20,0,-3.9,78,0,0,15.4119,15.4119,15.4119,15.4119,0,0,0,0
01/04/2009 21:00,1,4,0,21,0,-5,81,0,0,15.4119,15.4119,15.4119,15.4119,0,0,0,0
