Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,1.27551e+06,0,9.49681e+06,15.4647,15.4647,17.3707,15.4647,0.119634,0,3.4351e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,1.11244e+06,0,9.29083e+06,15.4647,15.4647,17.3707,15.4647,0.102283,0,2.93689e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,730891,0,8.80983e+06,15.4647,15.4647,17.3707,15.4647,0.0620616,0,1.782e+06,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,1.30719e+06,0,9.53651e+06,15.4647,15.4647,17.3707,15.4647,0.122908,0,3.52911e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.4128e+06,0,9.66986e+06,15.4647,15.4647,17.3707,15.4647,0.134144,0,3.85174e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.56699e+06,0,9.86483e+06,15.4647,15.4647,17.3707,15.4647,0.150646,0,4.32556e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.36699e+06,0,1.07256e+07,15.4647,15.4647,17.3707,15.4647,0.129215,0,3.71018e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.63492e+06,0,1.10644e+07,15.4647,15.4647,17.3707,15.4647,0.157908,0,4.53407e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.63464e+06,0,7.69226e+06,15.4647,15.4647,17.3707,15.4647,0.157888,0,4.53349e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,564987,0,6.3526e+06,15.4647,15.4647,17.3707,15.4647,0.0486315,0,1.39637e+06,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,1.3031e+06,0,7.27348e+06,15.4648,15.4648,17.3707,15.4648,0.122543,0,3.51841e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,975765,0,6.86091e+06,15.4647,15.4647,17.3707,15.4647,0.0879932,0,2.52656e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,630274,0,6.43494e+06,15.4647,15.4647,17.3707,15.4647,0.0554731,0,1.59282e+06,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,133862,0,5.81914e+06,15.4647,15.4647,17.3707,15.4647,0.00737784,0,211843,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,5.66712e+06,15.4647,15.4647,15.4647,15.4647,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,48242,0,5.71966e+06,15.4647,15.4647,17.3707,15.4647,0.00175401,0,50363.4,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,46902.3,0,5.71798e+06,15.4647,15.4647,17.3707,15.4647,0.00161613,0,46404.6,0
01/01/2009 18:00,1,1,4,18,0,0,82,207859,0,9.28389e+06,15.4647,15.4647,17.3707,15.4647,0.0150404,0,431848,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,307709,0,9.40946e+06,15.4647,15.4647,17.3707,15.4647,0.0254392,0,730435,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,335212,0,9.44408e+06,15.4647,15.4647,17.3707,15.4647,0.0283136,0,812978,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,493114,0,9.63388e+06,15.4647,15.4647,17.3707,15.4647,0.0411486,0,1.18151e+06,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,988863,0,1.02542e+07,15.4647,15.4647,17.3707,15.4647,0.0914068,0,2.62455e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,812425,0,1.00267e+07,15.4647,15.4647,17.3707,15.4647,0.0707778,0,2.03223e+06,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,897629,0,1.0134e+07,15.4647,15.4647,17.3707,15.4647,0.0797153,0,2.2889e+06,0
