Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,737670,0,1.13615e+07,15.839,15.839,18.2999,15.839,0.0509924,0,1.89029e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,610292,0,1.12034e+07,15.839,15.839,18.2999,15.839,0.0404745,0,1.5004e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,327885,0,1.08534e+07,15.839,15.839,18.2999,15.839,0.0173354,0,642626,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,785790,0,1.14101e+07,15.8392,15.8392,18.2999,15.8392,0.0511837,0,1.89725e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,944150,0,1.16062e+07,15.8391,15.8391,18.2999,15.8391,0.0641585,0,2.37824e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.08303e+06,0,1.17785e+07,15.839,15.839,18.2999,15.839,0.0756356,0,2.8038e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,892605,0,1.26559e+07,15.839,15.839,18.2999,15.839,0.0598921,0,2.2202e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.16581e+06,0,1.29948e+07,15.839,15.839,18.2999,15.839,0.0824645,0,3.05696e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.1676e+06,0,9.62526e+06,15.839,15.839,18.2999,15.839,0.0826165,0,3.0626e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,252130,0,8.50153e+06,15.839,15.839,18.2999,15.839,0.0111603,0,413713,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,847435,0,9.2339e+06,15.839,15.839,18.2999,15.839,0.0581284,0,2.15481e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,606801,0,8.94094e+06,15.839,15.839,18.2999,15.839,0.0401754,0,1.4893e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,333612,0,8.60242e+06,15.839,15.839,18.2999,15.839,0.0177893,0,659450,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,8.21687e+06,15.839,15.839,15.839,15.839,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,8.21687e+06,15.839,15.839,15.839,15.839,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,8.21687e+06,15.839,15.839,15.839,15.839,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,8.21687e+06,15.839,15.839,15.839,15.839,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,1.15887e+07,15.839,15.839,15.839,15.839,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,23143.5,0,1.1613e+07,15.839,15.839,17.0695,15.839,0.000417002,0,15458.2,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,58497.3,0,1.16525e+07,15.8391,15.8391,18.2999,15.8391,0.00182503,0,67652.6,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,181421,0,1.17953e+07,15.8391,15.8391,18.2999,15.8391,0.00864714,0,320542,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,588793,0,1.22904e+07,15.8393,15.8393,18.2999,15.8393,0.0387326,0,1.43569e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,440051,0,1.21061e+07,15.8391,15.8391,18.2999,15.8391,0.0265132,0,982803,0
