Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,1.5617e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,1.5617e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,1.5617e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,1.5617e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,1.5617e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,1.5617e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,1.67307e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,0,0,1.33589e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 09:00,1,1,4,9,0,0,92,0,0,1.2298e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 10:00,1,1,4,10,0,2,80,0,0,1.33589e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,2,80,0,0,1.18621e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,1,79,0,0,1.22556e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,3,63,0,0,1.23752e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2,62,0,0,1.26491e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,1,67,0,0,1.33589e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,1,67,0,0,1.33589e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,0,72,0,0,1.31621e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,-1,78,0,0,1.67307e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-2,71,0,0,1.67307e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-4,71,0,0,1.67307e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,1.67307e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,1.67307e+07,21.5342,21.5342,21.5342,21.5342,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,121011,0,1.68638e+07,21.3805,21.3805,22.5695,21.3805,0.00222462,0,43051.7,0
01/02/2009 00:00,1,2,5,0,0,-7,84,179361,0,1.69306e+07,20.6736,20.6736,22.5695,20.6736,0.00376493,0,107434,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,1.93606e+07,20.3281,20.3281,20.3281,20.3281,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,1.93606e+07,20.3281,20.3281,20.3281,20.3281,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,1.93606e+07,20.3281,20.3281,20.3281,20.3281,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,0,0,1.93606e+07,20.3281,20.3281,20.3281,20.3281,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-12,91,0,0,1.93606e+07,20.3281,20.3281,20.3281,20.3281,0,0,0,0
01/02/2009 06:00,1,2,5,6,0,-15,83,88235.4,0,2.19047e+07,20.1824,20.1824,22.5695,20.1824,0.00172592,0,62012.4,0
01/02/2009 07:00,1,2,5,7,0,-14,83,2.26218e+07,0,4.9334e+07,17.3618,17.3618,22.5695,17.3618,0.69792,0,5.45108e+07,0
01/02/2009 08:00,1,2,5,8,0,-13,83,1.7979e+07,0,5.09647e+07,17.3768,17.3768,22.5695,17.3768,0.762224,0,5.96049e+07,0
01/02/2009 09:00,1,2,5,9,0,-11,84,1.13233e+07,0,7.00048e+07,17.3972,17.3972,22.5695,17.3972,0.453274,0,3.53061e+07,0
01/02/2009 10:00,1,2,5,10,0,-7,64,8.46677e+06,0,6.78376e+07,17.4339,17.4339,22.5695,17.4339,0.328115,0,2.53755e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,7.03214e+06,0,6.56896e+07,17.4464,17.4464,22.5695,17.4464,0.267792,0,2.06599e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,4.71598e+06,0,5.87166e+07,17.4542,17.4542,22.5695,17.4542,0.173303,0,1.33497e+07,0
01/02/2009 13:00,1,2,5,13,0,-5,54,5.44281e+06,0,5.45697e+07,17.4597,17.4597,22.5695,17.4597,0.20203,0,1.55458e+07,0
01/02/2009 14:00,1,2,5,14,0,-5,54,3.70547e+06,0,6.24148e+07,17.462,17.462,22.5695,17.462,0.135176,0,1.03969e+07,0
01/02/2009 15:00,1,2,5,15,0,-6,77,1.95674e+06,0,5.44099e+07,17.4584,17.4584,22.5695,17.4584,0.0695034,0,5.34954e+06,0
01/02/2009 16:00,1,2,5,16,0,-7,92,2.58756e+06,0,6.16566e+07,17.4522,17.4522,22.5695,17.4522,0.0912719,0,7.03352e+06,0
01/02/2009 17:00,1,2,5,17,0,-8,92,1.94203e+06,0,5.98925e+07,17.4402,17.4402,22.5695,17.4402,0.0663883,0,5.12802e+06,0
01/02/2009 18:00,1,2,5,18,0,-8,92,4.40893e+06,0,4.6811e+07,17.435,17.435,22.5695,17.435,0.163221,0,1.26205e+07,0
01/02/2009 19:00,1,2,5,19,0,-9,84,6.60801e+06,0,3.64465e+07,17.4221,17.4221,22.5695,17.4221,0.251064,0,1.94612e+07,0
01/02/2009 20:00,1,2,5,20,0,-11,84,0,0,2.84741e+07,17.4211,17.4211,17.4211,17.4211,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,-11,91,0,0,2.3581e+07,17.4211,17.4211,17.4211,17.4211,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,-11,91,0,0,2.3581e+07,17.4211,17.4211,17.4211,17.4211,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,-12,83,0,0,1.91772e+07,17.4211,17.4211,17.4211,17.4211,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-12,83,0,0,1.67307e+07,17.4211,17.4211,17.4211,17.4211,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-13,83,0,0,1.93606e+07,17.4211,17.4211,17.4211,17.4211,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,-13.2,79,0,0,1.93606e+07,17.4211,17.4211,17.4211,17.4211,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-13.6,77,0,0,1.93606e+07,17.4211,17.4211,17.4211,17.4211,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-14,76,0,0,1.93606e+07,17.4211,17.4211,17.4211,17.4211,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,-14,76,0,0,1.93606e+07,17.4211,17.4211,17.4211,17.4211,0,0,0,0
