Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,652499,0,1.22245e+07,16.497,16.497,20.686,16.497,0.0261957,0,1.65276e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,527435,0,1.20733e+07,16.497,16.497,20.686,16.497,0.019965,0,1.25966e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,208254,0,1.16968e+07,16.497,16.497,20.686,16.497,0.00626917,0,395542,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,633937,0,1.22021e+07,16.497,16.497,20.686,16.497,0.0252624,0,1.59388e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,815279,0,1.24108e+07,16.4972,16.4972,20.686,16.4972,0.0318256,0,2.00787e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,957330,0,1.25824e+07,16.4971,16.4971,20.686,16.4971,0.0389077,0,2.45472e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,766832,0,1.34659e+07,16.497,16.497,20.686,16.497,0.0294075,0,1.8554e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.03766e+06,0,1.37931e+07,16.497,16.497,20.686,16.497,0.042904,0,2.70694e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.04045e+06,0,1.04246e+07,16.497,16.497,20.686,16.497,0.0430443,0,2.71579e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,152165,0,9.37022e+06,16.497,16.497,20.686,16.497,0.00331327,0,209044,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,773189,0,1.0107e+07,16.4972,16.4972,20.686,16.4972,0.0309591,0,1.95319e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,513631,0,9.79855e+06,16.4974,16.4974,20.686,16.4974,0.0192724,0,1.21583e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,241156,0,9.46967e+06,16.4972,16.4972,20.686,16.4972,0.00579842,0,365821,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,9.20423e+06,16.4972,16.4972,16.4972,16.4972,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,9.20423e+06,16.4972,16.4972,16.4972,16.4972,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,9.20423e+06,16.4972,16.4972,16.4972,16.4972,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,9.20423e+06,16.4972,16.4972,16.4972,16.4972,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,1.2576e+07,16.4972,16.4972,16.4972,16.4972,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,0,0,1.2576e+07,16.4972,16.4972,16.4972,16.4972,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,0,0,1.2576e+07,16.4972,16.4972,16.4972,16.4972,0,0,0,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,94862.3,0,1.26782e+07,16.4972,16.4972,20.686,16.4972,0.00173057,0,109181,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,469282,0,1.31212e+07,16.4973,16.4973,20.686,16.4973,0.0181466,0,1.14485e+06,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,352131,0,1.29754e+07,16.4972,16.4972,20.686,16.4972,0.0112861,0,712049,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,404119,0,1.30381e+07,16.4971,16.4971,20.686,16.4971,0.0138581,0,874337,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,230263,0,1.49507e+07,16.497,16.497,20.686,16.497,0.00735663,0,464149,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,454183,0,1.52122e+07,16.4971,16.4971,20.686,16.4971,0.0163303,0,1.03031e+06,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,457082,0,1.52157e+07,16.4971,16.4971,20.686,16.4971,0.0164722,0,1.03927e+06,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,1.46896e+07,16.497,16.497,16.497,16.497,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,281957,0,1.50042e+07,16.4989,16.4989,20.686,16.4989,0.00778619,0,491032,0
