Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,949887,0,1.09469e+07,14.1467,14.1467,18.0424,14.1467,0.0414738,0,2.43479e+06,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,806915,0,1.07734e+07,14.1466,14.1466,18.0424,14.1466,0.0339596,0,1.99371e+06,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,439868,0,1.03378e+07,14.1464,14.1464,18.0424,14.1464,0.0170455,0,1.00076e+06,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,975664,0,1.09779e+07,14.1469,14.1469,18.0424,14.1469,0.0427695,0,2.51075e+06,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.10929e+06,0,1.11398e+07,14.1467,14.1467,18.0424,14.1467,0.0497749,0,2.92218e+06,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.25638e+06,0,1.13183e+07,14.1464,14.1464,18.0424,14.1464,0.0575347,0,3.37796e+06,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.06069e+06,0,1.21945e+07,14.1464,14.1464,18.0424,14.1464,0.0472023,0,2.77134e+06,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.33035e+06,0,1.25218e+07,14.1464,14.1464,18.0424,14.1464,0.0614332,0,3.60687e+06,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.32998e+06,0,9.14949e+06,14.1464,14.1464,18.0424,14.1464,0.0614167,0,3.6059e+06,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,359099,0,7.9818e+06,14.1464,14.1464,18.0424,14.1464,0.0128465,0,754242,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,1.01852e+06,0,8.77191e+06,14.1467,14.1467,18.0424,14.1467,0.045055,0,2.64505e+06,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,711923,0,8.40949e+06,14.1465,14.1465,18.0424,14.1465,0.0312655,0,1.83563e+06,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,439537,0,8.07925e+06,14.1464,14.1464,18.0424,14.1464,0.01702,0,999275,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,7.57057e+06,14.1464,14.1464,14.1464,14.1464,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,7.57057e+06,14.1464,14.1464,14.1464,14.1464,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,7.57057e+06,14.1464,14.1464,14.1464,14.1464,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,7.57057e+06,14.1464,14.1464,14.1464,14.1464,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,1.09424e+07,14.1464,14.1464,14.1464,14.1464,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,141170,0,1.1098e+07,14.1465,14.1465,18.0424,14.1465,0.00357443,0,209857,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,182117,0,1.11476e+07,14.1465,14.1465,18.0424,14.1465,0.00568885,0,333996,0
