Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,0,0,1.67727e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,0,0,1.67727e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,0,0,1.67727e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,0,0,1.67727e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,0,0,1.67727e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,0,0,1.67727e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,0,0,1.78864e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,0,0,1.78864e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,0,0,1.45146e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,0,0,1.45146e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,0,0,1.45146e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,0,0,1.45146e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,0,0,1.45146e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,1.45146e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,1.45146e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,1.45146e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,1.45146e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,1.78864e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,0,0,1.78864e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,0,0,1.78864e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,0,0,1.78864e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,0,0,1.78864e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,0,0,1.78864e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,0,0,1.78864e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,0,0,2.51422e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,0,0,2.51422e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,0,0,2.51422e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,2.51422e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,0,0,2.51422e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,0,0,2.70532e+07,21.4891,21.4891,21.4891,21.4891,0,0,0,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,1.5531e+07,0,4.62588e+07,18.8642,18.8642,21.4891,18.8642,0.800202,0,3.06692e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.28328e+07,0,5.11278e+07,18.8589,18.8589,21.4891,18.8589,0.89518,0,3.54466e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,7.56163e+06,0,7.35286e+07,18.8589,18.8589,21.4891,18.8589,0.504025,0,1.9958e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,4.62244e+06,0,6.99355e+07,18.8589,18.8589,21.4891,18.8589,0.299779,0,1.18705e+07,0
01/02/2009 11:00,1,2,5,11,0,-5,81,2.83155e+06,0,6.7745e+07,18.8589,18.8589,21.4891,18.8589,0.175228,0,6.93866e+06,0
01/02/2009 12:00,1,2,5,12,0,-3.9,81,2.07003e+06,0,6.68155e+07,18.8589,18.8589,21.4891,18.8589,0.12291,0,4.86701e+06,0
01/02/2009 13:00,1,2,5,13,0,-2.2,78,2.48857e+06,0,6.18292e+07,18.8588,18.8588,21.4891,18.8588,0.151253,0,5.98941e+06,0
01/02/2009 14:00,1,2,5,14,0,-1.7,72,848129,0,6.53435e+07,18.8588,18.8588,21.4891,18.8588,0.0450238,0,1.78289e+06,0
01/02/2009 15:00,1,2,5,15,0,-1.7,78,305351,0,6.46845e+07,18.8588,18.8588,21.4891,18.8588,0.00888967,0,352021,0
01/02/2009 16:00,1,2,5,16,0,-1.7,82,67888.8,0,6.44219e+07,18.8588,18.8588,21.4891,18.8588,0.00105485,0,41771,0
01/02/2009 17:00,1,2,5,17,0,-1.7,82,0,0,6.43506e+07,18.8588,18.8588,18.8588,18.8588,0,0,0,0
01/02/2009 18:00,1,2,5,18,0,0,75,2.3594e+06,0,4.55058e+07,18.8611,18.8611,21.4891,18.8611,0.142207,0,5.62637e+06,0
01/02/2009 19:00,1,2,5,19,0,1.1,73,4.10097e+06,0,3.19923e+07,18.8588,18.8588,21.4891,18.8588,0.259377,0,1.02712e+07,0
01/02/2009 20:00,1,2,5,20,0,1.7,73,0,0,2.70588e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,2.2,73,0,0,2.3237e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,3.9,65,0,0,2.3237e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,3.3,70,0,0,1.97973e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-1.7,96,0,0,1.78864e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-0.6,96,0,0,2.51422e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,0.6,89,0,0,2.51422e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-1.1,96,0,0,2.51422e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-6.7,92,0,0,2.51422e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,-6.1,92,0,0,2.51422e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/03/2009 06:00,1,3,6,6,0,-6.1,96,0,0,2.70532e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/03/2009 07:00,1,3,6,7,0,-4.4,96,6.72688e+06,0,3.63715e+07,18.8193,18.8193,21.4891,18.8193,0.46082,0,1.85744e+07,0
01/03/2009 08:00,1,3,6,8,0,-6.7,92,5.90825e+06,0,4.25736e+07,18.8588,18.8588,21.4891,18.8588,0.385501,0,1.52654e+07,0
01/03/2009 09:00,1,3,6,9,0,-3.9,96,1.49835e+06,0,6.61182e+07,18.8588,18.8588,21.4891,18.8588,0.0838291,0,3.31954e+06,0
01/03/2009 10:00,1,3,6,10,0,-3.3,92,163229,0,6.453e+07,18.8588,18.8588,21.4891,18.8588,0.00500094,0,198032,0
01/03/2009 11:00,1,3,6,11,0,-0.6,82,0,0,6.43506e+07,18.8588,18.8588,18.8588,18.8588,0,0,0,0
01/03/2009 12:00,1,3,6,12,0,2.2,73,0,0,6.43506e+07,18.8588,18.8588,18.8588,18.8588,0,0,0,0
01/03/2009 13:00,1,3,6,13,0,3.9,57,0,0,5.88549e+07,18.8588,18.8588,18.8588,18.8588,0,0,0,0
01/03/2009 14:00,1,3,6,14,0,3.3,67,0,0,6.43506e+07,18.8588,18.8588,18.8588,18.8588,0,0,0,0
01/03/2009 15:00,1,3,6,15,0,3.9,65,0,0,6.43506e+07,18.8588,18.8588,18.8588,18.8588,0,0,0,0
01/03/2009 16:00,1,3,6,16,0,4.4,51,0,0,6.43506e+07,18.8588,18.8588,18.8588,18.8588,0,0,0,0
01/03/2009 17:00,1,3,6,17,0,3.3,55,0,504476,6.49453e+07,20.7915,20.7915,22.8755,20.5587,0.020525,0.0080183,612979,56176.9
01/03/2009 18:00,1,3,6,18,0,-1.1,78,0,0,4.26898e+07,22.5604,22.5604,22.5604,22.5604,0,0,0,0
01/03/2009 19:00,1,3,6,19,0,-3.9,85,816870,0,2.80118e+07,21.5145,21.5145,21.8643,21.1393,0.0255578,0.0168258,261184,116498
01/03/2009 20:00,1,3,6,20,0,-6.1,88,0,0,2.70588e+07,20.3102,20.3102,20.3102,20.3102,0,0,0,0
01/03/2009 21:00,1,3,6,21,0,-7.2,96,0,0,2.3237e+07,20.3102,20.3102,20.3102,20.3102,0,0,0,0
01/03/2009 22:00,1,3,6,22,0,-6.7,92,0,0,2.3237e+07,20.3102,20.3102,20.3102,20.3102,0,0,0,0
01/03/2009 23:00,1,3,6,23,0,-7.2,88,0,0,1.97973e+07,20.3102,20.3102,20.3102,20.3102,0,0,0,0
01/04/2009 00:00,1,4,0,0,0,-10,92,0,0,1.78864e+07,20.3102,20.3102,20.3102,20.3102,0,0,0,0
01/04/2009 01:00,1,4,0,1,0,-7.8,88,0,0,2.51422e+07,20.3102,20.3102,20.3102,20.3102,0,0,0,0
01/04/2009 02:00,1,4,0,2,0,-7.8,88,0,0,2.51422e+07,20.3102,20.3102,20.3102,20.3102,0,0,0,0
01/04/2009 03:00,1,4,0,3,0,-7.2,92,0,0,2.51422e+07,20.3102,20.3102,20.3102,20.3102,0,0,0,0
01/04/2009 04:00,1,4,0,4,0,-6.7,84,0,0,2.51422e+07,20.3102,20.3102,20.3102,20.3102,0,0,0,0
01/04/2009 05:00,1,4,0,5,0,-6.1,78,0,0,2.51422e+07,20.3102,20.3102,20.3102,20.3102,0,0,0,0
01/04/2009 06:00,1,4,0,6,0,-6.1,78,0,0,2.70532e+07,20.3102,20.3102,20.3102,20.3102,0,0,0,0
01/04/2009 07:00,1,4,0,7,0,-7.2,77,6.95331e+06,0,3.66722e+07,18.8776,18.8776,21.4891,18.8776,0.483485,0,1.85091e+07,0
01/04/2009 08:00,1,4,0,8,0,-6.7,78,4.76027e+06,0,4.11817e+07,18.8588,18.8588,21.4891,18.8588,0.309333,0,1.22491e+07,0
01/04/2009 09:00,1,4,0,9,0,-6.7,74,890673,0,6.53799e+07,18.8588,18.8588,21.4891,18.8588,0.043141,0,1.70832e+06,0
01/04/2009 10:00,1,4,0,10,0,-6.7,74,70098.3,0,6.44237e+07,18.8588,18.8588,21.4891,18.8588,0.000914666,0,36219.6,0
01/04/2009 11:00,1,4,0,11,0,-6.1,74,0,0,6.43506e+07,18.8588,18.8588,18.8588,18.8588,0,0,0,0
01/04/2009 12:00,1,4,0,12,0,-6.7,74,0,0,6.43506e+07,18.8588,18.8588,18.8588,18.8588,0,0,0,0
01/04/2009 13:00,1,4,0,13,0,-6.7,78,0,0,5.88549e+07,18.8588,18.8588,18.8588,18.8588,0,0,0,0
01/04/2009 14:00,1,4,0,14,0,-5.6,74,0,146610,6.45201e+07,19.1728,19.1728,20.174,19.1728,0.00723365,0,218044,0
01/04/2009 15:00,1,4,0,15,0,-4.4,72,0,622234,6.50875e+07,22.2076,22.2076,22.2076,21.4891,0,0.0362786,0,392240
01/04/2009 16:00,1,4,0,16,0,-4.4,69,0,1.05648e+06,6.56148e+07,25.0856,25.0856,25.0856,21.4891,0,0.065691,0,3.55439e+06
01/04/2009 17:00,1,4,0,17,0,-5,75,0,1.43617e+06,6.60777e+07,26.1425,26.1425,26.1425,21.4891,0,0.0920099,0,6.44171e+06
01/04/2009 18:00,1,4,0,18,0,-5.6,81,0,0,4.26898e+07,26.2846,26.2846,26.2846,26.2846,0,0,0,0
01/04/2009 19:00,1,4,0,19,0,-5,78,1.19902e+06,0,2.8468e+07,23.1292,23.1292,23.35,21.2683,0.0218814,0.0435219,218145,1.2628e+06
01/04/2009 20:00,1,4,0,20,0,-3.9,78,0,0,2.70588e+07,20.3439,20.3439,20.3439,20.3439,0,0,0,0
01/04/2009 21:00,1,4,0,21,0,-5,81,0,0,2.3237e+07,20.3439,20.3439,20.3439,20.3439,0,0,0,0
01/04/2009 22:00,1,4,0,22,0,-3.3,75,0,0,2.3237e+07,20.3439,20.3439,20.3439,20.3439,0,0,0,0
01/04/2009 23:00,1,4,0,23,0,-3.9,81,0,0,1.97973e+07,20.3439,20.3439,20.3439,20.3439,0,0,0,0
01/05/2009 00:00,1,5,1,0,0,-3.3,78,0,0,1.78864e+07,20.3439,20.3439,20.3439,20.3439,0,0,0,0
01/05/2009 01:00,1,5,1,1,0,-3.9,92,0,0,2.51422e+07,20.3439,20.3439,20.3439,20.3439,0,0,0,0
01/05/2009 02:00,1,5,1,2,0,-3.9,92,0,0,2.51422e+07,20.3439,20.3439,20.3439,20.3439,0,0,0,0
01/05/2009 03:00,1,5,1,3,0,-3.9,96,0,0,2.51422e+07,20.3439,20.3439,20.3439,20.3439,0,0,0,0
01/05/2009 04:00,1,5,1,4,0,-3.9,96,0,0,2.51422e+07,20.3439,20.3439,20.3439,20.3439,0,0,0,0
01/05/2009 05:00,1,5,1,5,0,-3.3,92,0,0,2.51422e+07,20.3439,20.3439,20.3439,20.3439,0,0,0,0
01/05/2009 06:00,1,5,1,6,0,-3.3,96,0,0,2.70532e+07,20.3439,20.3439,20.3439,20.3439,0,0,0,0
01/05/2009 07:00,1,5,1,7,0,-1.7,92,4.03982e+06,0,3.30525e+07,18.9564,18.9564,21.4891,18.9564,0.263469,0,9.65174e+06,0
01/05/2009 08:00,1,5,1,8,0,-1.1,92,3.84854e+06,0,4.00638e+07,18.8589,18.8589,21.4891,18.8589,0.245102,0,9.70555e+06,0
01/05/2009 09:00,1,5,1,9,0,-2.2,96,90819,0,6.44488e+07,18.8587,18.8587,21.4891,18.8587,0.00228343,0,90424.3,0
01/05/2009 10:00,1,5,1,10,0,-2.2,100,0,0,6.43506e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/05/2009 11:00,1,5,1,11,0,-1.1,92,0,0,6.43506e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/05/2009 12:00,1,5,1,12,0,0.6,82,0,0,6.43506e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/05/2009 13:00,1,5,1,13,0,0,89,0,0,5.88549e+07,18.8587,18.8587,18.8587,18.8587,0,0,0,0
01/05/2009 14:00,1,5,1,14,0,0,85,0,911754,6.54389e+07,21.5543,21.5543,22.7848,19.923,0.034699,0.0211645,611503,1.03901e+06
01/05/2009 15:00,1,5,1,15,0,0.6,85,0,1.32802e+06,6.59444e+07,25.7409,25.7409,25.7409,21.4891,0,0.0840808,0,5.3686e+06
