Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-8.3,84,0,0,1.44478e+07,17.9395,17.9395,17.9395,17.9395,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,0,0,1.44478e+07,17.9395,17.9395,17.9395,17.9395,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,0,0,1.44478e+07,17.9395,17.9395,17.9395,17.9395,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,0,0,1.44478e+07,17.9395,17.9395,17.9395,17.9395,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,83988.9,0,1.45426e+07,17.884,17.884,18.3732,17.884,0.00439471,0,32373,0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,99077.6,0,1.45616e+07,17.7603,17.7603,18.3732,17.7603,0.00602681,0,55619,0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,66260.3,0,1.56338e+07,17.6671,17.6671,18.3732,17.6671,0.0024799,0,26366.5,0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,119277,0,1.57009e+07,17.5614,17.5614,18.3732,17.5614,0.0082152,0,100422,0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,241204,0,1.24574e+07,17.3965,17.3965,18.3732,17.3965,0.0108138,0,159049,0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,0,0,1.21897e+07,17.3133,17.3133,17.3133,17.3133,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,3.9,70,117405,0,1.23194e+07,17.2958,17.2958,17.8432,17.2958,0.00503412,0,82996.9,0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,0,0,1.21897e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,0,0,1.21897e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,1.21897e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,1.21897e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,1.21897e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,1.21897e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,1.55615e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,0,0,1.55615e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,0,0,1.55615e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,0,0,1.55615e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,0,0,1.55615e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,0,0,1.55615e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-3.3,78,0,0,1.55615e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,-2.8,78,0,0,2.40577e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-3.3,85,0,0,2.40577e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-2.8,81,0,0,2.40577e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-2.2,78,0,0,2.40577e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/02/2009 05:00,1,2,5,5,0,-3.9,81,0,0,2.40577e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/02/2009 06:00,1,2,5,6,0,-6.7,92,0,0,2.50931e+07,17.2446,17.2446,17.2446,17.2446,0,0,0,0
01/02/2009 07:00,1,2,5,7,0,-6.1,92,1.68202e+07,0,4.60272e+07,16.71,16.71,18.3732,16.71,1.23526,0,3.07691e+07,0
01/02/2009 08:00,1,2,5,8,0,-6.7,92,1.44536e+07,0,4.84361e+07,16.7276,16.7276,18.3732,16.7276,1.58017,0,3.91639e+07,0
01/02/2009 09:00,1,2,5,9,0,-3.3,75,9.45695e+06,0,6.45959e+07,16.7276,16.7276,18.3732,16.7276,0.991617,0,2.45769e+07,0
01/02/2009 10:00,1,2,5,10,0,-2.2,75,6.58161e+06,0,6.09354e+07,16.7275,16.7275,18.3732,16.7275,0.668467,0,1.65678e+07,0
01/02/2009 11:00,1,2,5,11,0,-5,81,4.46929e+06,0,5.82655e+07,16.7275,16.7275,18.3732,16.7275,0.439087,0,1.08828e+07,0
01/02/2009 12:00,1,2,5,12,0,-3.9,81,3.48888e+06,0,5.70458e+07,16.7275,16.7275,18.3732,16.7275,0.340642,0,8.44289e+06,0
01/02/2009 13:00,1,2,5,13,0,-2.2,78,4.01755e+06,0,5.37012e+07,16.7275,16.7275,18.3732,16.7275,0.389896,0,9.66362e+06,0
01/02/2009 14:00,1,2,5,14,0,-1.7,72,2.15637e+06,0,5.53695e+07,16.7275,16.7275,18.3732,16.7275,0.199619,0,4.94767e+06,0
01/02/2009 15:00,1,2,5,15,0,-1.7,78,1.43113e+06,0,5.44608e+07,16.7275,16.7275,18.3732,16.7275,0.124394,0,3.08319e+06,0
01/02/2009 16:00,1,2,5,16,0,-1.7,82,1.22999e+06,0,5.42089e+07,16.7275,16.7275,18.3732,16.7275,0.103575,0,2.56722e+06,0
01/02/2009 17:00,1,2,5,17,0,-1.7,82,1.08981e+06,0,5.40334e+07,16.7274,16.7274,18.3732,16.7274,0.0891258,0,2.20912e+06,0
01/02/2009 18:00,1,2,5,18,0,0,75,3.97318e+06,0,3.89926e+07,16.7275,16.7275,18.3732,16.7275,0.387128,0,9.5954e+06,0
01/02/2009 19:00,1,2,5,19,0,1.1,73,6.25481e+06,0,2.832e+07,16.7274,16.7274,18.3732,16.7274,0.630394,0,1.56257e+07,0
